area_id,area_name,c27006001,c27006001_moe,c27006002,c27006002_moe,c27006003,c27006003_moe,c27006004,c27006004_moe,c27006005,c27006005_moe,c27006006,c27006006_moe,c27006007,c27006007_moe,c27006008,c27006008_moe,c27006009,c27006009_moe,c27006010,c27006010_moe,c27006011,c27006011_moe,c27006012,c27006012_moe,c27006013,c27006013_moe,c27006014,c27006014_moe,c27006015,c27006015_moe,c27006016,c27006016_moe,c27006017,c27006017_moe,c27006018,c27006018_moe,c27006019,c27006019_moe,c27006020,c27006020_moe,c27006021,c27006021_moe
1,Rogers Park,56493,2171,28398,1311,5719,626,185,148,5534,617,21140,1015,566,167,20574,1015,1539,256,1459,255,80,77,28095,1411,5717,659,98,93,5619,654,20230,1112,550,167,19680,1113,2148,302,1953,304,195,94
2,West Ridge,72744,2584,35480,1555,9182,880,163,183,9019,849,22673,1085,494,186,22179,1078,3625,405,3202,360,423,205,37264,1544,9854,913,109,130,9745,912,22244,1025,841,257,21403,1001,5166,491,4657,424,509,264
3,Uptown,53670,1701,28324,1220,3701,526,91,115,3610,520,22795,1050,829,235,21966,1014,1828,307,1683,295,145,88,25346,1095,2860,488,53,65,2807,484,19220,847,565,167,18655,839,3266,432,3010,413,256,152
4,Lincoln Square,38116,1327,18919,850,3174,480,9,41,3165,480,14173,612,105,76,14068,610,1572,248,1519,245,53,61,19197,880,3144,470,125,111,3019,459,14286,625,316,135,13970,622,1767,265,1686,266,81,52
5,North Center,33402,1096,16644,751,3239,338,5,43,3234,338,12346,648,64,55,12282,646,1059,181,1020,177,39,52,16758,773,3004,429,5,42,2999,429,12312,533,183,116,12129,525,1442,214,1406,211,36,53
6,Lake View,96425,1729,47189,1391,4629,526,85,121,4544,498,39709,1257,404,156,39305,1254,2851,291,2733,285,118,84,49236,1438,5172,480,13,69,5159,481,40387,1270,402,148,39985,1270,3677,343,3537,334,140,92
7,Lincoln Park,64028,1704,31324,1161,4602,472,0,51,4602,472,24341,999,332,148,24009,1003,2381,272,2265,268,116,71,32704,1205,4269,534,12,53,4257,534,26297,982,369,128,25928,980,2138,263,2050,263,88,68
8,Near North Side,80315,1814,36801,1353,2932,434,0,54,2932,434,28513,1180,260,108,28253,1180,5356,447,5050,433,306,134,43514,1395,2960,512,0,54,2960,512,33677,1200,523,176,33154,1202,6877,497,6654,479,223,122
9,Edison Park,11135,498,5169,358,1053,188,0,25,1053,188,3483,287,73,61,3410,282,633,110,624,109,9,27,5966,353,1213,206,0,25,1213,206,3719,287,114,76,3605,283,1034,121,996,123,38,35
10,Norwood Park,36933,1214,17999,779,3978,489,0,39,3978,489,11341,578,336,143,11005,561,2680,245,2640,247,40,44,18934,822,3458,478,0,39,3458,478,11216,555,187,83,11029,555,4260,293,4170,295,90,59
11,Jefferson Park,26760,1243,13423,782,3163,481,0,29,3163,481,8723,556,55,50,8668,552,1537,246,1363,212,174,111,13337,715,2639,380,0,29,2639,380,8529,542,201,107,8328,533,2169,272,2094,268,75,69
12,Forest Glen,18542,646,9116,458,2192,265,0,29,2192,265,5574,343,89,67,5485,334,1350,140,1294,144,56,56,9426,455,2245,260,0,29,2245,260,5458,281,121,77,5337,286,1723,174,1700,175,23,34
