area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
1,Rogers Park,55070,2108,19894,1772,5298,874,4883,845,415,232,12904,1133,6634,824,6270,801,1692,318,1643,314,49,64,6632,1062,1667,433,1469,417,198,126,4647,747,2389,403,2258,527,318,118,318,118,0,48,13533,1312,2091,425,1970,413,121,95,10676,1020,6779,731,3897,667,766,233,729,226,37,66,15011,1133,2261,371,2244,370,17,52,11839,884,10816,844,1023,253,911,247,874,244,37,61
2,West Ridge,72693,2583,21591,2428,7614,1288,6986,1249,628,341,11636,1321,5684,820,5952,1040,2341,472,1962,363,379,302,10953,1615,3326,773,3204,765,122,97,6641,1000,3504,695,3137,661,986,260,895,250,91,86,20521,1941,4539,748,4182,720,357,186,13265,1323,8890,991,4375,817,2717,416,2629,407,88,96,19628,1702,3520,579,3427,574,93,92,13361,1217,11543,1035,1818,529,2747,435,2613,395,134,172
3,Uptown,53569,1703,17092,1385,2416,555,2264,550,152,135,12088,1102,7167,816,4921,757,2588,413,2450,399,138,134,4899,955,982,520,972,520,10,50,3474,593,1954,397,1520,394,443,177,443,177,0,48,10717,1073,1008,340,923,317,85,131,8735,848,6286,669,2449,515,974,276,963,275,11,49,20861,1240,2082,404,1952,398,130,119,17690,1035,16233,933,1457,450,1089,203,1042,192,47,68
4,Lincoln Square,38116,1327,7067,1062,1444,501,1420,504,24,58,4877,641,2520,413,2357,471,746,280,728,284,18,44,4185,888,943,411,924,411,19,49,2709,546,1559,352,1150,350,533,182,523,181,10,41,10223,981,1466,330,1427,327,39,51,7716,753,6120,629,1596,353,1041,252,1041,252,0,40,16641,1094,2465,406,2346,389,119,115,13157,826,12054,793,1103,302,1019,210,997,205,22,44
5,North Center,33372,1094,2933,474,195,99,145,81,50,70,2389,412,1443,297,946,253,349,117,349,117,0,43,1908,470,197,127,197,127,0,43,1317,365,788,247,529,262,394,186,394,186,0,43,7223,854,1257,375,1257,375,0,43,5249,605,4360,542,889,232,717,192,717,192,0,43,21308,994,4564,454,4564,454,0,43,15703,694,15152,683,551,169,1041,183,1026,183,15,43
6,Lake View,96324,1728,14813,1175,1189,379,1126,372,63,83,12232,980,8380,787,3852,577,1392,237,1356,237,36,73,5915,665,478,214,478,214,0,66,4583,511,3440,426,1143,267,854,220,854,220,0,66,19701,1185,827,306,793,300,34,73,17517,1065,15212,1007,2305,385,1357,256,1343,256,14,67,55895,1658,7281,589,7266,589,15,67,45689,1329,44211,1307,1478,303,2925,389,2925,389,0,66
7,Lincoln Park,61618,1651,9083,834,668,232,646,229,22,61,7499,746,6019,667,1480,365,916,198,916,198,0,51,2988,474,229,138,229,138,0,51,2208,384,1911,364,297,148,551,152,551,152,0,51,9770,919,1037,319,997,318,40,62,7903,752,6946,715,957,243,830,192,830,192,0,51,39777,1624,6836,792,6836,792,0,51,30719,1099,30236,1104,483,165,2222,300,2222,300,0,51
8,Near North Side,78942,1806,13227,1187,2047,540,2041,539,6,58,9175,877,6623,746,2552,481,2005,352,1913,329,92,82,2901,592,169,156,105,126,64,106,2023,476,1404,339,619,289,709,193,709,193,0,54,11753,1233,903,340,818,328,85,106,8899,984,7641,892,1258,378,1951,369,1906,342,45,91,51061,1672,2742,466,2705,473,37,79,40751,1449,39905,1436,846,252,7568,607,7541,606,27,69
9,Edison Park,11135,498,614,197,91,69,91,69,0,25,354,154,260,121,94,85,169,74,169,74,0,25,881,389,126,121,126,121,0,25,521,273,312,165,209,138,234,101,217,87,17,34,2693,467,633,206,633,206,0,25,1467,303,1226,264,241,134,593,158,593,158,0,25,6947,566,1416,258,1416,258,0,25,4860,429,4530,457,330,186,671,153,671,153,0,25
10,Norwood Park,36905,1214,3149,601,544,233,521,232,23,40,1755,426,1123,324,632,236,850,207,842,207,8,39,2871,725,644,327,582,319,62,82,1331,460,952,367,379,159,896,191,896,191,0,39,11151,1197,2611,565,2576,563,35,48,6169,748,4752,639,1417,362,2371,324,2371,324,0,39,19734,1345,3614,587,3393,483,221,344,13297,917,12563,878,734,257,2823,340,2823,340,0,39
11,Jefferson Park,26671,1234,3637,692,1008,368,989,367,19,42,1936,407,1068,302,868,235,693,182,691,182,2,27,2765,572,588,238,554,233,34,40,1384,318,756,221,628,209,793,207,763,204,30,46,9830,1342,2369,568,2038,436,331,382,6179,958,4617,709,1562,520,1282,236,1263,236,19,41,10439,1151,1748,351,1733,350,15,37,7753,894,6993,801,760,308,938,257,848,232,90,83
12,Forest Glen,18542,646,1930,448,510,201,510,201,0,29,938,261,668,220,270,129,482,170,482,170,0,29,1195,516,287,180,234,164,53,79,648,352,378,231,270,235,260,111,260,111,0,29,3601,655,842,267,842,267,0,29,2063,424,1873,399,190,109,696,168,696,168,0,29,11816,855,2798,342,2786,341,12,34,7383,555,7190,552,193,138,1635,231,1635,231,0,29
13,North Park,18260,1001,3694,691,787,305,743,293,44,73,1971,425,1182,324,789,295,936,237,924,234,12,32,2429,666,840,351,820,349,20,28,1264,349,840,268,424,218,325,115,325,115,0,27,5875,951,1456,384,1394,354,62,71,3612,640,2859,516,753,268,807,215,769,208,38,48,6262,762,1168,295,1141,294,27,48,4218,517,3589,445,629,241,876,213,876,213,0,27
14,Albany Park,52900,2050,16007,1872,5443,982,5234,969,209,136,9496,1077,3424,515,6072,916,1068,287,976,246,92,102,9464,1301,2581,527,2477,519,104,72,6050,892,2843,538,3207,686,833,265,822,264,11,45,15753,1818,3750,691,3398,670,352,204,11012,1242,5781,749,5231,970,991,259,946,248,45,89,11676,1100,1567,302,1456,287,111,99,9284,899,7909,764,1375,408,825,210,812,210,13,46
15,Portage Park,63405,1848,13456,1546,4943,917,4587,895,356,234,7318,810,3822,595,3496,580,1195,270,1144,261,51,78,7109,1189,1740,502,1588,490,152,112,3980,668,2103,431,1877,461,1389,285,1323,281,66,76,22251,1733,4719,603,4651,599,68,65,14935,1261,11272,1065,3663,589,2597,353,2554,352,43,62,20589,1544,3176,540,3041,521,135,97,15623,1167,13944,1073,1679,367,1790,281,1769,280,21,52
16,Irving Park,56115,1946,13177,1471,4209,790,3768,757,441,205,8080,836,3456,482,4624,635,888,227,798,197,90,113,6453,981,1647,423,1423,384,224,188,4177,631,2391,450,1786,446,629,173,620,171,9,48,17083,1793,3204,591,2926,570,278,151,12098,1259,7662,834,4436,855,1781,328,1721,316,60,79,19402,1610,3902,564,3818,554,84,82,14157,1171,12853,1027,1304,402,1343,274,1343,274,0,47
17,Dunning,41996,1248,6137,830,1509,353,1292,329,217,138,3464,516,1520,339,1944,375,1164,208,1100,197,64,69,4425,777,1149,342,1066,339,83,69,2352,458,1422,355,930,282,924,199,905,193,19,52,14229,1360,2969,496,2725,480,244,139,9004,950,6284,718,2720,511,2256,299,2203,293,53,68,17205,1237,2163,362,2057,353,106,85,13028,979,10955,924,2073,474,2014,292,1927,281,87,83
18,Montclare,12204,834,2686,670,838,300,803,289,35,52,1600,402,739,252,861,288,248,91,201,78,47,50,2474,691,762,324,724,324,38,28,1212,405,640,277,572,263,500,162,500,162,0,23,3996,692,926,313,850,310,76,78,2439,425,1869,368,570,186,631,202,605,201,26,42,3048,609,415,175,400,161,15,31,2327,499,1909,438,418,182,306,115,306,115,0,23
19,Belmont Cragin,77540,2541,24890,2334,10227,1243,9622,1200,605,321,13473,1285,5955,782,7518,925,1190,250,1043,223,147,100,15682,1820,5294,823,4868,770,426,229,9384,1147,4721,697,4663,789,1004,257,927,249,77,73,25318,2023,5937,771,5527,739,410,214,17421,1432,11982,1104,5439,801,1960,302,1916,301,44,59,11650,1430,1660,403,1557,387,103,118,8418,1089,6901,950,1517,486,1572,296,1545,293,27,67
20,Hermosa,25046,1271,8017,1099,3287,583,3147,580,140,138,4171,654,1764,392,2407,473,559,171,515,164,44,59,5483,1141,1833,466,1746,456,87,55,3237,670,1909,450,1328,361,413,176,399,174,14,34,8234,1191,1717,407,1632,406,85,74,5724,862,3781,641,1943,498,793,222,752,213,41,71,3312,594,410,157,383,152,27,31,2802,504,2306,443,496,203,100,63,100,63,0,29
21,Avondale,41433,1880,11706,1599,3761,747,3237,696,524,229,7016,962,2586,483,4430,804,929,227,794,200,135,117,7347,1308,1830,472,1415,438,415,176,4956,912,1837,406,3119,740,561,184,499,159,62,58,13954,1423,2564,498,2434,489,130,89,10175,1068,6432,782,3743,674,1215,305,1164,297,51,71,8426,1025,1396,340,1354,323,42,61,6519,764,5521,630,998,363,511,194,511,194,0,38
22,Logan Square,73405,1988,21672,1767,6393,843,5453,762,940,376,13890,1120,7330,732,6560,828,1389,257,1176,228,213,144,9124,1081,1935,376,1601,323,334,197,6368,760,3293,449,3075,552,821,207,767,196,54,74,18293,1447,2681,486,2336,438,345,214,14041,1075,9545,769,4496,716,1571,328,1482,308,89,117,24316,1236,3452,393,3425,391,27,67,20067,1027,18735,948,1332,331,797,174,782,172,15,60
23,Humboldt Park,53973,2189,25513,2181,10079,1294,9373,1270,706,251,13582,1169,8128,802,5454,761,1852,315,1828,311,24,55,8041,1247,2361,532,2032,473,329,216,4910,813,2918,548,1992,462,770,208,770,208,0,51,15650,1567,3093,558,2982,553,111,91,11201,1122,7846,901,3355,572,1356,263,1356,263,0,51,4769,805,484,157,443,144,41,79,4016,701,3062,516,954,350,269,123,269,123,0,51
24,West Town,83661,2000,20218,1554,4805,755,4585,725,220,138,13318,1037,7778,754,5540,679,2095,323,1999,317,96,94,7244,982,1385,455,1230,389,155,148,5119,686,2939,475,2180,420,740,189,740,189,0,62,19183,1254,2194,378,2078,366,116,115,15815,1041,11844,812,3971,581,1174,214,1174,214,0,62,37016,1445,4657,506,4641,506,16,65,31417,1163,29770,1109,1647,351,942,202,931,201,11,63
25,Austin,97022,2734,41125,2534,14163,1339,12979,1316,1184,312,23074,1477,13221,1018,9853,917,3888,450,3805,447,83,76,13759,1674,4043,700,3769,672,274,152,8031,1031,5320,754,2711,486,1685,302,1615,285,70,83,26463,1933,5703,722,5214,687,489,180,17819,1353,12332,997,5487,762,2941,362,2936,361,5,61,15675,1330,2140,397,2042,397,98,105,11628,995,9519,827,2109,476,1907,315,1858,310,49,85
