,,,,,,
New York City 2010 Census Tract to Neighborhood Tabulation Area (NTA) Equivalency,,,,,,
,,,,,,
Borough,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Neighborhood Tabulation Area (NTA),
,,,,,Code,Name
Bronx,005,2,031000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,031200,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,031400,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,031600,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,031800,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,032600,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,034200,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,034400,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,034800,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,035000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,036000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2,023702,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,039901,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,039902,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,040100,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,040302,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,040501,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,040502,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,040702,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,041100,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,041300,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,041500,3706,BX05,Bedford Park-Fordham North
Bronx,005,2,038700,3705,BX06,Belmont
Bronx,005,2,038900,3705,BX06,Belmont
Bronx,005,2,039100,3705,BX06,Belmont
Bronx,005,2,039300,3705,BX06,Belmont
Bronx,005,2,039700,3705,BX06,Belmont
Bronx,005,2,032400,3704,BX07,Bronxdale
Bronx,005,2,032800,3704,BX07,Bronxdale
Bronx,005,2,033000,3704,BX07,Bronxdale
Bronx,005,2,033201,3704,BX07,Bronxdale
Bronx,005,2,033202,3704,BX07,Bronxdale
Bronx,005,2,033600,3704,BX07,Bronxdale
Bronx,005,2,033800,3704,BX07,Bronxdale
Bronx,005,2,034000,3704,BX07,Bronxdale
Bronx,005,2,014500,3705,BX01,Claremont-Bathgate
Bronx,005,2,014701,3705,BX01,Claremont-Bathgate
Bronx,005,2,014702,3705,BX01,Claremont-Bathgate
Bronx,005,2,016500,3705,BX01,Claremont-Bathgate
Bronx,005,2,016700,3705,BX01,Claremont-Bathgate
Bronx,005,2,016900,3705,BX01,Claremont-Bathgate
Bronx,005,2,038500,3705,BX01,Claremont-Bathgate
Bronx,005,2,039500,3705,BX01,Claremont-Bathgate
Bronx,005,2,030200,3703,BX13,Co-op City
Bronx,005,2,046201,3703,BX13,Co-op City
Bronx,005,2,046202,3703,BX13,Co-op City
Bronx,005,2,006000,3705,BX75,Crotona Park East
Bronx,005,2,012300,3705,BX75,Crotona Park East
Bronx,005,2,015300,3705,BX75,Crotona Park East
Bronx,005,2,015500,3705,BX75,Crotona Park East
Bronx,005,2,015700,3705,BX75,Crotona Park East
Bronx,005,2,016100,3705,BX75,Crotona Park East
Bronx,005,2,005902,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,006100,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,014300,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017300,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017500,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017701,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017702,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017901,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,017902,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,018101,3708,BX14,East Concourse-Concourse Village
