area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,26,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,10,32,0,29,0,29,0,29,0,29,54,57,0,29,0,29,0,29,0,29,23,44,0,29,0,29,0,29,0,29,31,45,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,0,55,0,55,0,55,0,55,0,55,9,56,0,55,0,55,0,55,0,55,0,55,16,60,0,55,0,55
BK19,Brighton Beach,74,76,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,0,38,0,38,67,75,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,33,65,21,50,0,38,0,38,13,42,0,38
BK21,Seagate-Coney Island,187,151,71,84,0,38,0,38,0,38,10,39,0,38,0,38,26,55,0,38,0,38,0,38,0,38,35,63,0,38,0,38,116,123,38,75,12,41,0,38,11,40,0,38,0,38,43,61,0,38,0,38,0,38,12,39,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,20,57,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,20,57,0,48,0,48,0,48,35,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,9,49,0,48,10,49,0,48,16,52,0,48
BK26,Gravesend,107,107,40,55,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,40,55,0,36,0,36,0,36,67,69,0,36,0,36,0,36,0,36,0,36,21,47,14,40,0,36,0,36,0,36,32,47,0,36,0,36,0,36
BK27,Bath Beach,74,119,19,43,0,40,0,40,0,40,0,40,0,40,0,40,14,44,0,40,0,40,5,39,0,40,0,40,0,40,0,40,55,98,12,42,22,52,0,40,0,40,0,40,0,40,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,621,434,466,326,37,74,23,72,10,64,0,64,0,64,72,90,120,106,40,78,93,108,61,95,10,63,0,64,0,64,0,64,155,133,12,65,18,69,0,64,10,64,29,77,0,64,12,65,47,76,27,74,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,58,80,58,80,0,51,0,51,0,51,0,51,9,52,0,51,13,55,0,51,0,51,36,57,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
