area_id,area_name,b02006001,b02006001_moe,b02006002,b02006002_moe,b02006003,b02006003_moe,b02006004,b02006004_moe,b02006005,b02006005_moe,b02006006,b02006006_moe,b02006007,b02006007_moe,b02006008,b02006008_moe,b02006009,b02006009_moe,b02006010,b02006010_moe,b02006011,b02006011_moe,b02006012,b02006012_moe,b02006013,b02006013_moe,b02006014,b02006014_moe,b02006015,b02006015_moe,b02006016,b02006016_moe,b02006017,b02006017_moe,b02006018,b02006018_moe,b02006019,b02006019_moe
BK09,Brooklyn Heights-Cobble Hill,1713,400,297,170,119,163,0,29,707,269,93,63,0,29,0,29,143,90,233,114,0,29,0,29,0,29,0,29,42,43,44,46,0,29,28,36,7,30
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9815,1118,343,217,179,178,84,142,8036,1074,131,107,0,55,0,55,0,55,50,66,6,54,0,55,588,384,0,55,119,186,0,55,72,88,197,87,10,56
BK19,Brighton Beach,4171,738,1082,422,16,43,0,38,905,447,562,249,0,38,0,38,0,38,17,39,0,38,0,38,1168,400,0,38,0,38,0,38,147,107,246,166,28,49
BK21,Seagate-Coney Island,3113,598,332,304,0,38,127,147,2387,464,0,38,0,38,18,46,3,37,38,51,0,38,0,38,0,38,0,38,0,38,0,38,143,187,65,101,0,38
BK23,West Brighton,110,99,40,69,0,27,0,27,62,75,8,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,4336,805,765,417,0,48,0,48,2547,533,248,289,0,48,0,48,0,48,279,233,0,48,0,48,303,241,0,48,0,48,0,48,41,74,102,100,51,91
BK26,Gravesend,6585,924,329,242,0,36,37,56,5093,838,141,197,0,36,11,40,8,36,76,97,0,36,0,36,361,339,12,39,5,35,0,36,96,128,276,223,140,159
BK27,Bath Beach,9224,1059,208,141,0,40,0,40,8069,975,104,88,0,40,0,40,11,42,73,90,0,40,0,40,490,324,0,40,0,40,74,124,0,40,167,182,28,54
BK28,Bensonhurst West,32319,1827,1003,357,57,114,0,64,28262,1777,149,128,0,64,0,64,190,143,235,181,10,64,0,64,1488,531,0,64,12,65,25,70,364,200,455,232,69,91
BK29,Bensonhurst East,23673,1641,462,221,109,182,103,118,20681,1547,134,90,0,51,20,60,90,123,30,57,0,51,0,51,1282,482,0,51,28,68,0,51,258,187,468,300,8,51
BK30,Dyker Heights,16739,1425,294,230,15,63,0,51,14847,1350,308,204,0,51,0,51,8,51,144,115,0,51,0,51,868,594,0,51,0,51,0,51,104,106,72,90,79,121
BK31,Bay Ridge,11661,1109,1102,396,344,318,0,66,7474,920,733,300,0,66,0,66,125,93,628,235,0,66,0,66,664,326,0,66,65,110,20,68,297,227,159,124,50,96
BK32,Sunset Park West,8749,1029,314,183,31,59,0,49,6718,934,733,305,0,49,12,52,155,124,176,125,0,49,0,49,254,334,15,56,50,74,16,57,15,56,239,194,21,58
BK33,Carroll Gardens-Columbia Street-Red Hook,2348,571,588,270,0,45,1,44,776,358,248,137,0,45,0,45,154,94,216,167,0,45,0,45,41,66,0,45,8,45,13,48,58,73,158,138,87,106
BK34,Sunset Park East,35196,1808,745,370,288,195,0,59,32542,1776,399,224,0,59,0,59,138,114,303,276,0,59,199,298,83,95,0,59,39,71,0,59,382,254,26,66,52,84
BK35,Stuyvesant Heights,1880,547,277,214,244,181,0,51,491,248,96,87,0,51,8,51,69,87,55,68,0,51,0,51,123,204,0,51,22,60,120,180,11,52,60,104,304,291
BK37,Park Slope-Gowanus,4678,634,1238,370,74,101,0,58,1370,338,340,168,0,58,0,58,676,246,465,173,13,60,0,58,121,98,0,58,36,62,10,58,83,72,170,106,82,97
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3016,478,435,171,149,234,0,42,1302,280,127,81,0,42,29,62,135,84,528,208,0,42,0,42,31,52,22,51,48,49,17,49,87,64,92,62,14,45
BK40,Windsor Terrace,2208,511,166,107,103,163,150,233,1011,311,155,89,0,32,0,32,265,190,183,144,0,32,9,33,14,36,0,32,16,39,0,32,73,87,50,54,13,35
BK41,Kensington-Ocean Parkway,8825,1194,3344,863,1766,556,30,60,1760,442,74,92,0,40,0,40,190,141,148,99,0,40,0,40,862,521,9,39,0,40,136,190,111,173,255,219,140,119
BK42,Flatbush,8834,1076,1097,407,1049,442,53,100,1771,441,214,146,0,68,46,105,144,110,429,323,0,68,10,69,3313,844,0,68,0,68,0,68,230,189,328,190,150,142
BK43,Midwood,5166,804,706,340,144,156,67,99,1692,417,320,189,0,51,14,54,0,51,110,93,18,57,0,51,1911,644,0,51,0,51,0,51,38,63,58,85,88,140
BK44,Madison,8472,942,389,189,0,46,32,58,6043,793,326,170,0,46,0,46,0,46,188,131,0,46,0,46,843,422,0,46,0,46,0,46,179,132,323,218,149,142
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2298,602,542,428,20,61,12,57,1020,318,344,198,0,55,0,55,9,56,82,93,0,55,0,55,189,135,0,55,0,55,0,55,63,93,17,56,0,55
BK46,Ocean Parkway South,761,283,67,66,20,46,0,36,405,233,19,38,0,36,0,36,0,36,18,39,0,36,0,36,183,127,0,36,0,36,0,36,49,77,0,36,0,36
BK50,Canarsie,2323,558,150,118,0,70,58,112,1661,484,315,222,0,70,0,70,16,71,57,87,0,70,0,70,18,72,0,70,0,70,0,70,2,69,46,87,0,70
BK58,Flatlands,1905,466,574,370,0,62,0,62,404,196,185,128,0,62,9,63,0,62,0,62,0,62,0,62,635,307,0,62,5,62,0,62,0,62,87,92,6,62
BK60,Prospect Lefferts Gardens-Wingate,1508,438,329,173,0,58,0,58,617,316,341,248,0,58,10,57,32,65,91,86,0,58,0,58,7,56,0,58,0,58,23,66,0,58,58,75,0,58
BK61,Crown Heights North,2128,533,463,279,467,349,5,67,604,260,158,146,0,67,0,67,164,121,25,70,8,67,0,67,117,127,18,68,0,67,0,67,0,67,76,103,23,69
BK63,Crown Heights South,577,356,41,60,0,40,0,40,282,240,0,40,0,40,0,40,41,76,182,246,0,40,0,40,0,40,0,40,0,40,0,40,16,46,6,40,9,40
BK64,Prospect Heights,1435,408,353,238,154,136,0,32,368,195,19,34,0,32,55,85,144,109,212,114,0,32,0,32,0,32,0,32,21,43,10,33,0,32,99,87,0,32
BK68,Fort Greene,2283,415,373,168,125,186,0,38,993,267,186,105,0,38,16,45,176,110,211,127,0,38,17,44,70,59,0,38,46,49,12,39,48,85,0,38,10,39
BK69,Clinton Hill,1911,412,173,146,108,130,0,40,682,244,70,63,0,40,0,40,180,114,297,128,0,40,0,40,134,136,0,40,5,39,28,46,75,65,53,56,106,96
BK72,Williamsburg,30,41,6,36,0,36,0,36,9,38,15,40,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,2048,361,258,115,77,140,0,48,583,171,269,172,0,48,14,51,341,167,344,123,7,48,30,58,15,52,0,48,25,56,0,48,20,49,65,61,0,48
BK75,Bedford,1890,487,517,271,87,104,0,56,548,268,93,95,0,56,0,56,64,69,228,130,0,56,0,56,0,56,0,56,0,56,34,67,9,57,177,246,133,146
BK76,Greenpoint,1577,397,79,69,120,99,0,42,346,162,118,78,0,42,21,51,118,80,310,175,0,42,0,42,229,274,0,42,11,44,6,41,112,112,44,51,63,84
BK77,Bushwick North,3645,616,735,246,11,58,0,54,1438,455,626,292,0,54,0,54,139,116,101,69,0,54,0,54,86,141,0,54,7,52,12,55,111,118,303,201,76,109
BK78,Bushwick South,1602,382,112,98,68,197,0,56,968,273,95,89,0,56,0,56,79,108,129,103,0,56,39,78,13,58,0,56,0,56,26,64,0,56,19,58,54,78
BK79,Ocean Hill,183,102,16,43,0,38,28,44,117,95,14,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38
BK81,Brownsville,633,374,71,105,71,107,0,51,344,319,0,51,0,51,0,51,0,51,56,89,0,51,0,51,75,110,0,51,0,51,0,51,0,51,16,55,0,51
BK82,East New York,1625,449,438,186,306,235,0,65,308,228,63,117,0,65,62,112,0,65,46,94,0,65,0,65,15,68,0,65,17,69,0,65,122,140,97,110,151,176
BK83,Cypress Hills-City Line,3483,707,1348,431,462,256,0,49,1094,415,166,158,0,49,0,49,90,81,235,274,0,49,0,49,0,49,0,49,0,49,19,55,3,48,8,49,58,87
BK85,East New York (Pennsylvania Ave),240,146,39,57,0,36,0,36,159,120,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,42,79,0,36,0,36
BK88,Borough Park,12991,1270,1223,367,830,442,65,104,9175,1156,230,166,13,70,213,359,39,77,159,150,0,68,76,112,627,343,0,68,0,68,0,68,0,68,303,239,38,80
BK90,East Williamsburg,3951,430,104,78,0,40,0,40,3033,368,162,102,0,40,0,40,203,107,292,154,0,40,0,40,8,40,0,40,0,40,8,40,118,111,23,45,0,40
BK91,East Flatbush-Farragut,516,265,135,180,0,54,0,54,37,53,167,167,0,54,0,54,17,55,15,57,0,54,0,54,81,95,0,54,0,54,0,54,11,55,38,81,15,54
BK93,Starrett City,319,244,20,38,0,24,0,24,100,119,0,24,0,24,0,24,0,24,61,99,0,24,0,24,72,132,0,24,0,24,0,24,49,83,17,34,0,24
BK95,Erasmus,899,708,158,128,0,36,0,36,196,178,56,71,0,36,0,36,0,36,0,36,0,36,0,36,423,672,0,36,25,51,0,36,38,59,0,36,3,36
BK96,Rugby-Remsen Village,965,495,410,333,121,162,0,54,199,186,35,77,0,54,0,54,0,54,185,293,0,54,0,54,0,54,0,54,0,54,0,54,15,57,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,42,50,0,40,0,40,0,40,19,48,0,40,0,40,0,40,0,40,13,42,0,40,0,40,0,40,0,40,0,40,0,40,0,40,10,40,0,40
BX03,Eastchester-Edenwald-Baychester,372,320,145,178,53,91,0,40,8,38,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,135,220,0,40,31,64
BX05,Bedford Park-Fordham North,2535,608,872,399,324,266,95,114,205,190,193,155,0,50,0,50,15,51,263,193,0,50,0,50,196,233,93,157,0,50,25,54,200,195,28,68,26,54
BX06,Belmont,642,224,190,166,0,34,0,34,62,55,109,97,0,34,0,34,18,36,211,120,0,34,0,34,0,34,0,34,0,34,0,34,18,35,34,50,0,34
BX07,Bronxdale,1445,468,204,157,28,57,170,147,114,110,158,125,0,38,0,38,0,38,161,169,91,131,0,38,97,133,0,38,0,38,15,44,83,80,246,265,78,82
BX08,West Farms-Bronx River,981,398,526,305,72,90,43,67,86,97,7,40,0,40,0,40,0,40,41,62,37,69,0,40,169,262,0,40,0,40,0,40,0,40,0,40,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,898,439,484,343,114,186,0,50,130,117,14,49,0,50,0,50,17,54,116,174,0,50,0,50,12,52,0,50,0,50,0,50,0,50,11,55,0,50
BX10,Pelham Bay-Country Club-City Island,905,381,99,121,0,34,0,34,387,268,67,69,0,34,16,39,29,57,88,85,0,34,3,32,11,34,0,34,0,34,0,34,204,242,1,29,0,34
BX13,Co-op City,533,333,365,299,0,33,0,33,96,125,50,49,0,33,0,33,0,33,22,35,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
BX14,East Concourse-Concourse Village,644,288,60,80,241,166,0,51,57,103,50,87,0,51,13,52,27,66,122,183,0,51,0,51,0,51,0,51,0,51,0,51,22,61,52,92,0,51
BX17,East Tremont,356,294,201,245,0,45,0,45,95,142,53,102,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,7,44,0,45
BX22,North Riverdale-Fieldston-Riverdale,1643,380,304,188,0,38,0,38,472,230,215,97,0,38,0,38,11,40,334,175,0,38,0,38,27,88,0,38,0,38,84,114,0,38,88,82,108,111
BX26,Highbridge,158,153,19,49,0,42,0,42,121,136,3,38,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,3,38,0,42,12,43
BX27,Hunts Point,149,113,6,36,0,38,0,38,132,112,11,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BX28,Van Cortlandt Village,1776,500,206,139,78,92,3,42,561,337,528,261,0,43,0,43,112,96,83,78,0,43,0,43,0,43,0,43,0,43,23,49,170,131,0,43,12,46
BX29,Spuyten Duyvil-Kingsbridge,1964,434,242,169,11,46,9,39,609,218,409,276,0,38,9,38,66,72,417,209,0,38,0,38,90,95,0,38,0,38,0,38,28,40,48,60,26,52
BX30,Kingsbridge Heights,1999,554,262,216,483,307,205,233,154,94,132,107,0,38,0,38,0,38,14,42,25,51,0,38,78,93,0,38,0,38,0,38,580,334,66,114,0,38
BX31,Allerton-Pelham Gardens,3115,802,891,457,0,42,35,59,526,271,474,357,0,42,0,42,0,42,322,279,0,42,0,42,537,409,0,42,0,42,0,42,323,234,7,39,0,42
BX33,Longwood,323,262,24,64,0,36,0,36,162,150,0,36,0,36,0,36,0,36,0,36,0,36,0,36,137,212,0,36,0,36,0,36,0,36,0,36,0,36
BX34,Melrose South-Mott Haven North,216,122,26,49,0,42,0,42,55,93,117,85,0,42,0,42,18,43,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BX35,Morrisania-Melrose,230,170,15,39,0,40,0,40,137,148,0,40,0,40,0,40,0,40,78,95,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX36,University Heights-Morris Heights,321,257,126,200,82,142,0,51,13,53,73,104,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,16,55,1,48,0,51,10,55
BX37,Van Nest-Morris Park-Westchester Square,2682,438,611,247,607,319,76,111,380,252,473,220,0,42,0,42,0,42,62,68,0,42,0,42,164,166,34,65,0,42,6,41,151,122,118,138,0,42
BX39,Mott Haven-Port Morris,572,366,84,132,201,286,44,82,62,115,19,50,0,50,5,49,21,54,2,47,0,50,2,47,0,50,0,50,0,50,0,50,87,108,45,87,0,50
BX40,Fordham South,194,210,145,204,0,32,0,32,31,49,0,32,0,32,0,32,18,40,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BX41,Mount Hope,1159,381,501,244,243,203,0,51,100,140,95,87,0,51,0,51,8,51,0,51,0,51,0,51,126,130,0,51,0,51,24,60,0,51,62,107,0,51
BX43,Norwood,3570,727,1082,487,1076,526,46,85,363,196,302,193,0,41,0,41,37,68,194,149,0,41,0,41,137,136,0,41,9,40,0,41,24,45,155,147,145,159
BX44,Williamsbridge-Olinville,1038,313,442,261,0,54,0,54,75,79,361,282,0,54,9,54,0,54,20,60,0,54,1,52,22,62,0,54,0,54,0,54,38,80,58,102,12,54
BX46,Parkchester,3776,873,775,343,2409,810,0,36,192,155,148,127,0,36,0,36,0,36,0,36,0,36,0,36,0,36,26,53,0,36,45,78,0,36,156,117,25,51
BX49,Pelham Parkway,4552,771,784,395,288,291,211,293,782,306,608,290,0,38,0,38,94,95,123,153,0,38,31,60,277,209,0,38,28,46,0,38,1215,429,53,100,58,101
BX52,Schuylerville-Throgs Neck-Edgewater Park,1091,361,190,132,189,194,0,52,198,120,255,127,0,52,0,52,0,52,35,71,0,52,0,52,56,116,0,52,0,52,2,51,153,206,13,56,0,52
BX55,Soundview-Bruckner,2661,611,883,390,999,377,0,40,390,260,24,47,0,40,0,40,0,40,57,98,50,58,0,40,137,131,0,40,0,40,0,40,26,60,95,99,0,40
BX59,Westchester-Unionport,3992,770,1376,442,1040,487,114,174,755,326,413,290,0,36,0,36,5,33,0,36,0,36,0,36,0,36,0,36,0,36,0,36,99,171,156,152,34,56
BX62,Woodlawn-Wakefield,1589,504,1088,415,13,50,19,55,122,144,189,179,0,48,0,48,57,90,0,48,45,109,0,48,0,48,0,48,0,48,0,48,0,48,56,99,0,48
BX63,West Concourse,946,394,431,302,94,100,0,42,298,188,18,48,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,24,54,0,42,0,42,0,42,81,135
BX75,Crotona Park East,129,119,0,29,8,29,0,29,81,111,0,29,0,29,0,29,11,32,29,41,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BX98,Rikers Island,202,77,82,44,5,9,0,17,55,42,8,7,0,17,0,17,0,17,22,27,0,17,0,17,9,16,0,17,13,16,8,14,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,89,74,0,32,0,32,21,41,30,41,38,67,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
MN01,Marble Hill-Inwood,737,252,273,163,0,41,0,41,125,102,37,50,0,41,0,41,90,86,86,73,0,41,0,41,0,41,0,41,0,41,13,42,21,50,92,139,0,41
MN03,Central Harlem North-Polo Grounds,2097,550,532,266,458,341,0,59,556,295,62,70,0,59,0,59,222,139,67,75,0,59,0,59,67,85,0,59,14,60,19,61,17,58,83,91,0,59
MN04,Hamilton Heights,844,261,70,78,0,46,0,46,274,173,224,134,0,46,0,46,165,123,58,52,0,46,0,46,25,56,0,46,0,46,1,43,13,47,14,48,0,46
MN06,Manhattanville,856,355,208,214,0,34,0,34,352,236,34,40,0,34,23,46,138,121,93,79,0,34,0,34,0,34,0,34,8,34,0,34,0,34,0,34,0,34
MN09,Morningside Heights,7845,975,1197,364,13,48,40,68,3254,572,292,128,0,45,38,75,604,227,1436,391,0,45,56,103,176,139,0,45,160,146,93,73,35,59,127,75,324,251
MN11,Central Harlem South,1809,436,610,297,0,45,26,60,503,198,265,184,0,45,0,45,215,124,105,106,0,45,0,45,0,45,0,45,0,45,0,45,8,44,48,57,29,56
MN12,Upper West Side,8779,1048,917,285,19,119,0,68,3184,775,1267,445,0,68,0,68,1245,406,1321,418,0,68,0,68,97,118,0,68,64,84,15,70,223,208,361,199,66,103
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,8240,835,1533,334,172,200,0,54,3485,636,605,220,0,54,31,70,691,244,1336,366,0,54,12,56,24,55,0,54,86,74,65,73,146,115,32,60,22,56
