area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
BK09,Brooklyn Heights-Cobble Hill,1713,400,630,197,71,61,56,55,15,37,15,37,0,29,559,171,160,83,399,154,204,114,195,102,1083,263,36,49,31,50,5,28,5,28,0,29,1047,253,365,148,682,211,321,129,361,165
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9815,1118,4648,587,1055,265,1010,261,45,64,20,58,25,61,3593,423,486,163,3107,387,2411,326,696,201,5167,657,1033,283,979,279,54,69,27,54,27,65,4134,492,692,211,3442,418,2644,364,798,206
BK19,Brighton Beach,4171,738,2104,385,440,144,351,123,89,71,24,42,65,68,1664,308,217,96,1447,287,958,230,489,163,2067,445,573,201,430,195,143,94,69,60,74,79,1494,300,156,75,1338,287,826,221,512,155
BK21,Seagate-Coney Island,3113,598,1719,404,286,109,244,109,42,44,12,39,30,43,1433,366,259,125,1174,336,692,219,482,202,1394,285,373,141,272,127,101,74,55,56,46,60,1021,200,81,55,940,182,514,136,426,139
BK23,West Brighton,110,99,70,68,13,32,13,32,0,27,0,27,0,27,57,58,10,29,47,51,47,51,0,27,40,40,0,27,0,27,0,27,0,27,0,27,40,40,16,31,24,35,24,35,0,27
BK25,Homecrest,4336,805,2162,434,471,207,396,186,75,68,13,47,62,66,1691,322,270,100,1421,285,942,222,479,178,2174,410,511,194,363,174,148,95,55,67,93,83,1663,296,247,109,1416,260,917,203,499,162
BK26,Gravesend,6585,924,3289,487,838,213,764,187,74,78,16,35,58,77,2451,364,177,108,2274,336,1501,241,773,232,3296,501,715,239,689,239,26,41,5,35,21,40,2581,361,179,90,2402,348,1650,269,752,206
BK27,Bath Beach,9224,1059,4509,550,1274,238,1002,207,272,121,58,60,214,112,3235,405,406,139,2829,366,1716,260,1113,264,4715,586,1095,235,858,212,237,127,68,62,169,107,3620,442,661,199,2959,366,1905,257,1054,243
BK28,Bensonhurst West,32319,1827,16070,991,3770,444,3134,409,636,198,286,152,350,139,12300,769,1454,292,10846,705,5859,468,4987,603,16249,1023,3804,457,3051,390,753,234,239,139,514,172,12445,803,1778,305,10667,699,6368,489,4299,503
BK29,Bensonhurst East,23673,1641,12040,898,3038,442,2474,393,564,176,185,97,379,167,9002,631,1204,230,7798,587,4591,467,3207,426,11633,888,2335,402,2002,378,333,131,119,83,214,110,9298,667,1143,239,8155,615,4895,459,3260,457
BK30,Dyker Heights,16739,1425,8357,777,2349,382,1776,302,573,221,87,81,486,211,6008,537,740,190,5268,496,2456,346,2812,397,8382,771,1942,367,1490,272,452,191,135,95,317,172,6440,579,728,177,5712,546,2813,351,2899,467
BK31,Bay Ridge,11661,1109,5630,632,1048,222,896,209,152,90,75,80,77,75,4582,512,1012,226,3570,437,2675,389,895,218,6031,593,1063,230,911,213,152,101,51,74,101,94,4968,486,875,223,4093,408,2751,337,1342,253
BK32,Sunset Park West,8749,1029,4113,592,962,244,724,206,238,133,52,62,186,127,3151,464,346,161,2805,443,1203,234,1602,394,4636,588,927,250,781,229,146,83,9,50,137,82,3709,456,452,163,3257,429,1404,241,1853,353
BK33,Carroll Gardens-Columbia Street-Red Hook,2348,571,978,322,142,89,112,77,30,56,30,56,0,45,836,301,173,107,663,262,289,146,374,220,1370,336,224,101,165,90,59,59,42,54,17,50,1146,300,278,134,868,245,508,166,360,143
BK34,Sunset Park East,35196,1808,17760,1038,4274,472,3479,446,795,196,177,90,618,171,13486,779,761,177,12725,777,3691,424,9034,726,17436,989,4100,481,3235,431,865,213,99,83,766,201,13336,740,732,175,12604,732,3838,436,8766,686
BK35,Stuyvesant Heights,1880,547,888,267,228,112,166,100,62,77,8,51,54,77,660,204,149,101,511,169,227,106,284,133,992,347,215,143,206,143,9,51,9,51,0,51,777,251,55,60,722,243,345,176,377,144
BK37,Park Slope-Gowanus,4678,634,1963,384,196,105,168,103,28,61,28,61,0,58,1767,358,949,266,818,210,407,144,411,168,2715,386,177,97,114,89,63,68,63,68,0,58,2538,369,1121,250,1417,267,808,194,609,181
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3016,478,1553,326,231,129,169,88,62,76,24,45,38,72,1322,265,408,142,914,220,625,189,289,105,1463,236,144,71,90,63,54,52,40,48,14,46,1319,218,355,98,964,196,487,124,477,163
