area_id,area_name,b05010001,b05010001_moe,b05010002,b05010002_moe,b05010003,b05010003_moe,b05010004,b05010004_moe,b05010005,b05010005_moe,b05010006,b05010006_moe,b05010007,b05010007_moe,b05010008,b05010008_moe,b05010009,b05010009_moe,b05010010,b05010010_moe,b05010011,b05010011_moe,b05010012,b05010012_moe,b05010013,b05010013_moe,b05010014,b05010014_moe,b05010015,b05010015_moe,b05010016,b05010016_moe,b05010017,b05010017_moe,b05010018,b05010018_moe,b05010019,b05010019_moe,b05010020,b05010020_moe,b05010021,b05010021_moe,b05010022,b05010022_moe,b05010023,b05010023_moe,b05010024,b05010024_moe,b05010025,b05010025_moe
BK09,Brooklyn Heights-Cobble Hill,2971,420,113,82,67,76,46,68,21,41,0,29,46,42,36,41,10,31,114,91,67,76,9,30,0,29,58,76,47,54,38,52,9,30,2744,408,2577,400,1548,322,336,147,693,326,167,105,137,98,30,47
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11071,845,2239,548,481,200,51,96,409,181,21,62,1758,523,902,396,856,365,2153,429,1520,360,419,222,1042,308,59,84,633,244,394,221,239,123,6679,653,5651,645,1556,362,3521,553,574,270,1028,303,501,220,527,215
BK19,Brighton Beach,4963,629,1369,379,978,333,0,38,915,326,63,80,391,202,139,130,252,155,1249,441,977,414,200,292,747,297,30,46,272,158,17,44,255,158,2345,426,2112,418,125,93,1639,372,348,198,233,116,28,40,205,113
BK21,Seagate-Coney Island,6186,755,2353,538,686,301,220,217,466,261,0,38,1667,462,1419,439,248,150,1831,479,971,381,479,287,454,246,38,71,860,298,651,264,209,135,2002,451,1189,372,605,303,477,192,107,103,813,276,689,267,124,91
BK23,West Brighton,1266,246,50,48,22,42,0,27,22,42,0,27,28,35,15,31,13,31,298,127,156,105,0,27,113,87,43,58,142,88,30,44,112,80,918,251,710,239,69,95,548,217,93,120,208,124,80,82,128,94
BK25,Homecrest,9808,877,1754,470,1251,394,361,223,716,257,174,206,503,262,137,135,366,222,2858,560,2395,509,840,357,1284,354,271,168,463,228,290,199,173,119,5196,689,4844,679,2125,438,1988,446,731,326,352,127,74,59,278,119
BK26,Gravesend,5020,695,1477,484,732,270,142,131,533,236,57,99,745,417,714,416,31,58,1448,419,1299,406,368,234,848,345,83,101,149,107,68,67,81,90,2095,416,1630,367,582,254,846,232,202,151,465,214,279,136,186,166
BK27,Bath Beach,5600,627,1101,340,756,281,128,169,557,199,71,119,345,153,182,119,163,103,1197,338,1109,322,140,116,948,303,21,39,88,86,10,42,78,84,3302,510,2899,491,1033,350,1498,340,368,179,403,167,200,126,203,103
BK28,Bensonhurst West,17857,1057,4750,725,3695,667,508,245,2434,538,753,339,1055,315,330,174,725,268,5179,684,4315,622,545,291,3587,546,183,131,864,267,265,148,599,230,7928,715,6808,660,2143,409,3862,512,803,243,1120,291,410,145,710,255
BK29,Bensonhurst East,11383,805,2399,487,1810,432,110,118,1568,401,132,129,589,228,195,170,394,164,3691,591,3211,558,269,153,2911,549,31,59,480,186,135,96,345,165,5293,572,4558,545,667,181,3207,480,684,235,735,211,189,98,546,193
BK30,Dyker Heights,8866,782,1458,349,951,276,99,103,805,259,47,57,507,212,141,134,366,154,2550,568,1848,427,103,119,1690,412,55,61,702,388,266,160,436,355,4858,545,4293,519,1715,289,2017,420,561,188,565,204,407,182,158,109
BK31,Bay Ridge,16761,1076,3600,697,2684,608,202,164,2175,552,307,227,916,351,477,290,439,208,3261,654,2388,564,386,255,1723,482,279,196,873,341,454,226,419,256,9900,793,8542,764,3733,474,3073,511,1736,434,1358,330,923,273,435,184
BK32,Sunset Park West,12464,901,4532,691,2256,513,18,56,2090,488,148,141,2276,530,746,308,1530,438,3852,620,2359,512,117,119,1950,476,292,174,1493,385,442,173,1051,336,4080,535,2821,472,980,259,1422,364,419,202,1259,311,563,200,696,246
