area_id,area_name,b06004b001,b06004b001_moe,b06004b002,b06004b002_moe,b06004b003,b06004b003_moe,b06004b004,b06004b004_moe,b06004b005,b06004b005_moe
BK09,Brooklyn Heights-Cobble Hill,1282,346,356,120,506,161,33,59,387,233
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4584,737,3362,667,427,162,56,84,739,305
BK19,Brighton Beach,526,262,285,145,86,78,0,38,155,112
BK21,Seagate-Coney Island,10739,1065,7405,978,1852,392,72,60,1410,334
BK23,West Brighton,168,112,54,58,49,67,0,27,65,72
BK25,Homecrest,484,272,184,107,187,189,1,47,112,98
BK26,Gravesend,2338,580,1709,551,294,148,36,47,299,212
BK27,Bath Beach,641,407,500,396,57,56,0,40,84,77
BK28,Bensonhurst West,769,248,498,200,63,72,12,65,196,113
BK29,Bensonhurst East,628,246,378,184,71,65,9,52,170,110
BK30,Dyker Heights,505,231,261,169,54,55,8,51,182,118
BK31,Bay Ridge,1769,483,889,313,344,184,64,73,472,171
BK32,Sunset Park West,2766,463,1205,285,374,141,187,113,1000,271
BK33,Carroll Gardens-Columbia Street-Red Hook,4793,639,3239,605,590,154,128,86,836,359
BK34,Sunset Park East,1955,541,1108,361,170,99,71,82,606,262
BK35,Stuyvesant Heights,48310,2031,32245,1749,6953,626,688,221,8424,913
BK37,Park Slope-Gowanus,5138,830,2779,600,967,222,152,101,1240,336
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8643,812,5891,686,1623,298,182,123,947,263
BK40,Windsor Terrace,1490,475,694,361,291,120,9,33,496,205
BK41,Kensington-Ocean Parkway,2904,669,1166,330,369,136,47,44,1322,444
BK42,Flatbush,53608,2184,22259,1385,3474,524,846,284,27029,1582
BK43,Midwood,2654,554,1262,341,185,92,43,61,1164,386
BK44,Madison,402,223,240,159,14,46,13,49,135,99
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5983,931,3164,682,202,123,54,74,2563,468
BK46,Ocean Parkway South,169,98,77,65,13,40,15,42,64,51
BK50,Canarsie,72470,2113,32551,1435,3484,484,552,167,35883,1441
BK58,Flatlands,51069,1740,22515,1243,2779,400,362,149,25413,1186
BK60,Prospect Lefferts Gardens-Wingate,54533,2243,21631,1420,3791,570,787,290,28324,1637
BK61,Crown Heights North,76884,2304,40171,1779,9494,747,804,230,26415,1522
BK63,Crown Heights South,27257,1454,13370,1121,1887,317,237,155,11763,975
BK64,Prospect Heights,5824,725,2664,503,1316,300,29,34,1815,397
BK68,Fort Greene,11844,885,7459,650,1939,291,164,135,2282,507
BK69,Clinton Hill,15204,1099,8762,885,3401,399,198,102,2843,463
BK72,Williamsburg,913,189,594,155,216,115,10,38,93,69
BK73,North Side-South Side,2605,567,1571,395,301,144,179,120,554,223
BK75,Bedford,37726,1730,23609,1448,6002,574,667,227,7448,842
BK76,Greenpoint,304,119,191,96,46,61,0,42,67,59
BK77,Bushwick North,7838,1127,4508,782,497,157,181,109,2652,618
BK78,Bushwick South,22571,1582,13886,1252,2515,356,597,181,5573,787
BK79,Ocean Hill,25768,1340,15616,1075,3104,438,284,128,6764,749
BK81,Brownsville,45867,1689,28925,1514,4451,463,536,186,11955,952
BK82,East New York,65258,2318,39874,1930,6291,707,639,208,18454,1336
BK83,Cypress Hills-City Line,13207,1319,5927,807,672,213,211,126,6397,910
BK85,East New York (Pennsylvania Ave),21770,1242,12991,1033,1430,250,310,131,7039,795
BK88,Borough Park,901,289,350,146,120,83,21,68,410,207
BK90,East Williamsburg,3455,576,2286,452,717,170,104,81,348,181
BK91,East Flatbush-Farragut,48539,1752,19796,1332,2257,345,482,160,26004,1208
