area_id,area_name,b06004f001,b06004f001_moe,b06004f002,b06004f002_moe,b06004f003,b06004f003_moe,b06004f004,b06004f004_moe,b06004f005,b06004f005_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,373,198,98,70,16,38,195,115
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,958,440,479,272,41,72,202,146,236,161
BK19,Brighton Beach,691,421,130,108,24,48,17,40,520,376
BK21,Seagate-Coney Island,2612,669,1379,458,42,57,437,193,754,277
BK23,West Brighton,1,24,0,27,0,27,0,27,1,24
BK25,Homecrest,1067,443,278,145,34,56,58,72,697,354
BK26,Gravesend,1673,581,1036,449,0,36,258,179,379,252
BK27,Bath Beach,1709,653,985,434,55,96,121,126,548,269
BK28,Bensonhurst West,4116,1058,1462,430,41,75,136,107,2477,740
BK29,Bensonhurst East,2223,639,890,331,68,80,134,145,1131,410
BK30,Dyker Heights,1024,421,378,206,59,74,156,116,431,243
BK31,Bay Ridge,4607,887,2724,590,132,82,215,163,1536,422
BK32,Sunset Park West,16638,1548,7033,872,185,104,1795,357,7625,923
BK33,Carroll Gardens-Columbia Street-Red Hook,4879,899,2404,547,155,123,1153,334,1167,543
BK34,Sunset Park East,10220,1323,3966,685,235,121,572,193,5447,915
BK35,Stuyvesant Heights,5049,888,2140,522,153,121,826,270,1930,547
BK37,Park Slope-Gowanus,6597,1087,2988,704,347,148,772,263,2490,574
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4106,745,2139,534,192,108,1103,324,672,212
BK40,Windsor Terrace,1323,506,616,307,62,59,145,104,500,189
BK41,Kensington-Ocean Parkway,3176,945,1285,478,82,70,108,91,1701,570
BK42,Flatbush,11039,1664,4139,810,354,293,530,207,6016,1155
BK43,Midwood,1807,633,703,328,73,99,58,69,973,484
BK44,Madison,640,326,363,218,26,70,84,71,167,128
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1253,526,608,391,40,78,75,81,530,263
BK46,Ocean Parkway South,931,436,325,175,0,36,196,194,410,236
BK50,Canarsie,3768,829,1886,532,112,101,501,193,1269,391
BK58,Flatlands,1960,581,1147,409,21,63,125,93,667,278
BK60,Prospect Lefferts Gardens-Wingate,3751,921,1909,644,93,76,228,135,1521,487
BK61,Crown Heights North,6363,1117,2656,630,336,215,728,235,2643,657
BK63,Crown Heights South,1801,540,620,294,144,89,152,122,885,355
BK64,Prospect Heights,1220,408,389,202,115,86,105,93,611,292
BK68,Fort Greene,2417,521,1009,311,161,101,549,209,698,301
BK69,Clinton Hill,2638,587,1320,372,248,134,158,76,912,313
BK72,Williamsburg,1194,447,586,264,65,66,104,70,439,209
BK73,North Side-South Side,3723,826,1524,434,178,112,433,161,1588,474
BK75,Bedford,6355,962,3091,612,133,94,970,278,2161,500
BK76,Greenpoint,1715,432,705,243,116,72,90,74,804,259
BK77,Bushwick North,26516,1976,10902,1013,410,199,2264,402,12940,1380
BK78,Bushwick South,16670,1750,7754,1069,331,159,2276,402,6309,948
BK79,Ocean Hill,4024,820,2486,599,53,47,350,157,1135,400
BK81,Brownsville,4620,830,2629,556,77,78,461,186,1453,414
BK82,East New York,7030,1061,3432,706,247,112,742,228,2609,553
BK83,Cypress Hills-City Line,6226,936,2680,518,107,110,570,188,2869,530
BK85,East New York (Pennsylvania Ave),4003,820,2173,501,85,64,417,200,1328,407
BK88,Borough Park,6175,1175,2289,570,41,81,259,138,3586,775
BK90,East Williamsburg,4241,703,2082,469,187,104,714,220,1258,402
BK91,East Flatbush-Farragut,1054,413,512,255,20,58,77,82,445,192
BK93,Starrett City,869,603,719,590,0,24,90,91,60,80
BK95,Erasmus,1161,551,402,285,38,49,58,65,663,314
BK96,Rugby-Remsen Village,1273,474,645,321,38,68,148,110,442,191
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,12441,1274,6325,951,252,146,1936,442,3928,631
BX03,Eastchester-Edenwald-Baychester,5821,1118,3609,867,112,83,975,270,1125,349
BX05,Bedford Park-Fordham North,28517,1938,13965,1242,323,147,2781,483,11448,1230
BX06,Belmont,11030,1386,5356,831,119,83,1362,370,4193,821
BX07,Bronxdale,11213,1218,5264,676,163,103,1376,348,4410,979
BX08,West Farms-Bronx River,15395,1638,6424,854,182,109,2190,499,6599,1142
BX09,Soundview-Castle Hill-Clason Point-Harding Park,21794,1870,12577,1404,273,142,4098,632,4846,801
BX10,Pelham Bay-Country Club-City Island,5284,944,3228,704,111,98,730,264,1215,398
BX13,Co-op City,5545,1087,3155,799,194,140,1071,385,1125,439
BX14,East Concourse-Concourse Village,25201,2132,10593,1240,344,177,2625,582,11639,1539
BX17,East Tremont,19278,1616,9502,972,252,165,2984,608,6540,1041
BX22,North Riverdale-Fieldston-Riverdale,2511,616,1477,491,88,64,319,150,627,211
BX26,Highbridge,15769,1323,6538,796,420,227,1564,397,7247,863
BX27,Hunts Point,10920,994,5541,651,152,81,1544,311,3683,575
BX28,Van Cortlandt Village,22229,1619,9745,1052,309,153,2102,444,10073,1144
BX29,Spuyten Duyvil-Kingsbridge,6271,825,3262,574,77,78,737,310,2195,416
BX30,Kingsbridge Heights,16964,1385,6109,727,206,128,2094,453,8555,1143
BX31,Allerton-Pelham Gardens,5993,927,3653,679,178,134,808,241,1354,372
BX33,Longwood,12178,1424,5672,794,340,219,1797,415,4369,865
BX34,Melrose South-Mott Haven North,14802,1616,6145,868,370,231,1953,390,6334,1115
BX35,Morrisania-Melrose,15929,1504,7358,901,398,219,2503,490,5670,884
BX36,University Heights-Morris Heights,25454,1723,9414,989,531,197,2283,495,13226,1285
BX37,Van Nest-Morris Park-Westchester Square,12181,1225,7409,979,207,125,1237,277,3328,596
BX39,Mott Haven-Port Morris,15069,1336,7141,870,269,157,2214,387,5445,752
BX40,Fordham South,12682,1496,5736,988,302,198,1123,346,5521,1003
BX41,Mount Hope,24954,1736,9368,888,695,227,2124,408,12767,1254
BX43,Norwood,16814,2144,8454,1201,176,103,1707,392,6477,1291
BX44,Williamsbridge-Olinville,8574,1051,5017,724,228,145,1108,304,2221,478
BX46,Parkchester,6528,875,3763,701,147,135,1205,326,1413,380
BX49,Pelham Parkway,7613,1015,3910,637,94,68,910,263,2699,661
BX52,Schuylerville-Throgs Neck-Edgewater Park,10700,1388,6980,1139,126,107,1236,347,2358,556
BX55,Soundview-Bruckner,13700,1455,6059,828,149,105,1521,418,5971,1023
BX59,Westchester-Unionport,12204,1229,6785,872,278,158,1236,310,3905,841
BX62,Woodlawn-Wakefield,4424,773,2306,496,252,150,560,225,1306,352
BX63,West Concourse,18172,1783,7358,1033,264,155,1414,421,9136,1163
BX75,Crotona Park East,11304,1044,5242,749,211,101,1218,323,4633,674
BX98,Rikers Island,2205,219,870,119,77,45,669,137,589,131
BX99,park-cemetery-etc-Bronx,493,207,262,122,0,32,48,57,183,131
MN01,Marble Hill-Inwood,23174,2230,8170,1122,193,123,1313,435,13498,1708
MN03,Central Harlem North-Polo Grounds,7407,1126,3025,652,307,172,612,256,3463,709
MN04,Hamilton Heights,7880,1443,2665,706,203,127,513,267,4499,1029
MN06,Manhattanville,6970,1206,2758,603,214,159,405,167,3593,848
MN09,Morningside Heights,4927,973,2548,842,239,126,358,141,1782,445
MN11,Central Harlem South,4702,846,2473,556,126,82,420,181,1683,444
MN12,Upper West Side,4240,923,1838,572,405,198,277,146,1720,500
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2549,741,1191,447,117,113,172,156,1069,366
MN14,Lincoln Square,922,527,382,360,31,57,245,254,264,155
MN15,Clinton,2589,717,724,337,258,195,399,238,1208,460
MN17,Midtown-Midtown South,519,229,188,190,15,53,87,82,229,118
MN19,Turtle Bay-East Midtown,362,155,80,77,62,79,46,63,174,101
MN20,Murray Hill-Kips Bay,1995,783,537,301,426,264,167,141,865,519
MN21,Gramercy,573,252,200,144,91,140,65,64,217,122
MN22,East Village,1421,406,534,192,225,134,267,159,395,227
MN23,West Village,1128,472,439,235,248,130,98,100,343,202
MN24,SoHo-TriBeCa-Civic Center-Little Italy,811,356,349,212,101,76,35,53,326,178
MN25,Battery Park City-Lower Manhattan,1496,1125,412,296,31,42,140,111,913,1066
MN27,Chinatown,3375,763,1594,527,119,103,415,174,1247,430
MN28,Lower East Side,14571,1637,8375,1233,314,180,3965,601,1917,486
MN31,Lenox Hill-Roosevelt Island,889,375,236,160,51,62,108,109,494,279
MN32,Yorkville,1590,566,596,294,69,80,201,150,724,358
MN33,East Harlem South,11177,1433,5688,924,429,205,1724,369,3336,751
MN34,East Harlem North,18862,1886,9396,1118,291,155,2471,520,6704,1145
MN35,Washington Heights North,28061,2349,10354,1180,433,207,706,257,16568,1672
MN36,Washington Heights South,39206,2967,14004,1577,656,304,1125,357,23421,2036
MN40,Upper East Side-Carnegie Hill,264,178,39,63,16,55,0,52,209,172
MN50,Stuyvesant Town-Cooper Village,529,330,76,98,142,132,93,143,218,171
MN99,park-cemetery-etc-Manhattan,136,122,65,66,16,44,28,40,27,41
QN01,South Jamaica,5350,1037,2124,506,106,89,376,301,2744,628
QN02,Springfield Gardens North,1243,771,605,368,43,55,122,115,473,586
QN03,Springfield Gardens South-Brookville,442,205,173,95,0,29,95,80,174,115
QN05,Rosedale,328,188,208,129,30,47,18,41,72,62
