area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
BK09,Brooklyn Heights-Cobble Hill,18297,814,326,115,1396,373,1923,348,6387,509,8265,628,15526,848,276,108,1341,369,1798,338,5180,477,6931,606,1098,261,50,42,47,57,91,93,435,174,475,165,968,265,0,29,0,29,15,36,467,156,486,207,600,172,0,29,0,29,19,32,270,133,311,131,105,88,0,29,8,28,0,29,35,51,62,76
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45539,1085,6094,587,13371,820,9331,690,11247,773,5496,572,42864,1080,5721,576,12579,793,8777,668,10636,769,5151,564,1927,373,296,114,500,205,470,160,384,172,277,110,359,160,21,57,167,111,51,65,73,81,47,71,128,80,10,56,31,59,24,56,46,68,17,55,261,160,46,65,94,127,9,56,108,94,4,54
BK19,Brighton Beach,23652,846,3127,422,6067,588,5153,528,6491,584,2814,382,21399,808,2796,359,5479,574,4590,483,6003,570,2531,356,1534,378,288,171,329,136,401,171,318,135,198,106,247,147,16,42,91,79,11,40,97,128,32,42,86,84,3,37,0,38,0,38,61,81,22,43,386,185,24,53,168,98,151,132,12,39,31,44
BK21,Seagate-Coney Island,20455,828,6461,593,6428,679,3982,486,2231,354,1353,269,18969,853,6028,584,5988,683,3660,469,2076,330,1217,237,1317,306,339,128,414,156,292,172,155,94,117,112,46,52,13,41,26,48,7,38,0,38,0,38,33,50,0,38,0,38,23,49,0,38,10,39,90,103,81,102,0,38,0,38,0,38,9,41
BK23,West Brighton,13418,507,1272,291,3846,448,2887,372,3603,493,1810,295,12912,520,1222,295,3804,446,2730,366,3412,481,1744,298,332,186,26,33,41,52,121,95,107,105,37,47,92,97,24,47,0,27,11,31,57,81,0,27,7,24,0,27,1,24,0,27,6,27,0,27,75,60,0,27,0,27,25,38,21,42,29,38
BK25,Homecrest,28097,815,4726,527,9237,686,5638,520,5691,498,2805,321,26137,844,4407,498,8820,671,5281,509,5063,467,2566,307,1404,342,171,101,373,188,270,111,430,151,160,79,176,114,16,52,15,50,62,81,52,65,31,59,96,114,52,100,12,51,1,47,16,54,15,54,284,135,80,75,17,54,24,55,130,94,33,63
BK26,Gravesend,20397,781,5272,548,6709,628,3706,430,2954,403,1756,301,19431,791,5108,541,6470,618,3480,416,2706,376,1667,292,788,245,131,83,210,107,201,114,236,148,10,38,74,63,10,33,24,42,25,42,0,36,15,42,59,74,0,36,5,35,0,36,12,39,42,73,45,50,23,44,0,36,0,36,0,36,22,41
BK27,Bath Beach,21251,807,5036,561,7147,612,3601,398,3517,450,1950,291,19562,805,4667,556,6709,605,3273,384,3134,421,1779,284,1156,297,228,104,277,119,249,106,266,150,136,69,142,70,10,40,27,41,44,54,55,51,6,39,82,81,0,40,35,61,18,47,0,40,29,49,309,177,131,138,99,103,17,41,62,70,0,40
BK28,Bensonhurst West,60636,1400,18869,1128,19727,947,10078,714,8012,633,3950,396,56998,1392,17611,1069,18725,931,9329,665,7510,612,3823,391,2465,443,759,241,812,226,439,156,374,155,81,73,167,84,18,61,49,69,61,75,13,63,26,65,331,211,121,174,79,108,46,73,70,75,15,64,675,262,360,194,62,76,203,171,45,68,5,63
BK29,Bensonhurst East,44527,1125,13766,955,13729,855,6950,554,6498,566,3584,410,41475,1194,12906,955,13010,851,6339,536,6007,529,3213,379,1954,373,582,215,511,164,385,140,295,148,181,92,225,119,12,53,73,72,65,65,61,63,14,50,123,92,0,51,26,55,0,51,38,56,59,78,750,247,266,159,109,90,161,105,97,86,117,114
BK30,Dyker Heights,31799,962,9343,781,9337,669,5504,467,4662,439,2953,341,29968,957,8610,752,8949,634,5186,462,4428,432,2795,335,1238,281,545,206,231,94,247,104,150,72,65,63,134,92,35,75,7,49,8,51,61,71,23,52,158,105,68,91,41,68,20,53,14,51,15,51,301,145,85,66,109,104,43,58,9,48,55,78
BK31,Bay Ridge,60139,1157,8827,730,13975,843,11471,697,15323,768,10543,622,54225,1241,8073,700,12841,819,10258,661,13635,740,9418,608,3597,489,539,206,835,237,697,209,909,218,617,155,914,211,66,86,64,70,205,98,299,130,280,116,868,252,12,65,67,76,257,142,352,137,180,96,535,187,137,108,168,106,54,79,128,110,48,67
BK32,Sunset Park West,35838,1152,14503,936,7537,668,5705,540,5395,515,2698,344,30954,1139,13160,907,6789,641,4924,500,4093,458,1988,285,2227,354,560,167,372,144,337,121,612,171,346,109,1005,241,302,134,152,101,133,96,265,120,153,109,759,228,49,63,126,100,205,115,228,107,151,98,893,269,432,211,98,88,106,87,197,111,60,65
BK33,Carroll Gardens-Columbia Street-Red Hook,29264,895,3777,469,4271,487,4182,475,9399,631,7635,537,24904,942,3468,448,3972,465,3770,447,7398,582,6296,518,2536,484,257,154,214,108,291,148,1074,285,700,204,1120,248,16,44,61,52,56,63,555,175,432,135,523,182,11,44,18,46,30,58,314,154,150,91,181,93,25,49,6,45,35,53,58,68,57,63
BK34,Sunset Park East,45902,1326,23809,1205,10199,764,5231,506,4904,491,1759,276,39028,1289,19553,1062,9096,722,4605,469,4268,463,1506,255,4357,645,2727,527,699,209,455,167,316,144,160,103,766,214,343,158,161,114,59,72,186,101,17,62,718,219,436,183,132,96,51,69,46,70,53,70,1033,300,750,258,111,94,61,77,88,112,23,62
BK35,Stuyvesant Heights,41000,1227,9830,747,12516,834,9807,720,5917,593,2930,414,36559,1210,8877,711,11342,794,8672,694,4998,555,2670,402,3014,505,593,182,881,263,736,211,659,214,145,89,686,229,161,98,196,132,222,122,59,71,48,61,548,229,71,71,70,93,168,102,191,139,48,60,193,121,128,114,27,57,9,52,10,52,19,52
BK37,Park Slope-Gowanus,54482,1263,4304,571,4890,548,6425,612,19336,923,19527,902,44877,1322,3972,549,4545,535,5802,594,14543,793,16015,847,4720,625,198,94,164,95,353,147,2410,441,1595,326,2461,387,70,76,136,92,111,73,1177,260,967,225,1780,362,8,58,29,60,124,100,902,254,717,215,644,242,56,106,16,60,35,69,304,160,233,132
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,25979,934,4182,450,3972,445,3911,444,7423,549,6491,512,21916,873,3844,429,3641,406,3289,393,6014,503,5128,445,1690,314,139,83,165,89,227,89,559,186,600,187,1485,287,136,75,88,86,223,122,577,164,461,138,627,170,18,46,44,51,155,78,183,94,227,101,261,121,45,82,34,57,17,48,90,67,75,59
BK40,Windsor Terrace,16327,570,1579,260,2981,374,2649,370,4380,442,4738,463,14653,609,1485,250,2709,365,2415,358,3833,413,4211,455,1073,255,36,39,251,140,133,65,321,128,332,117,335,201,58,90,2,27,77,89,118,70,80,86,226,103,0,32,11,35,24,49,97,73,94,63,40,46,0,32,8,32,0,32,11,34,21,45
BK41,Kensington-Ocean Parkway,22968,817,4399,546,5644,583,4895,533,5086,544,2944,378,20920,833,4104,533,5289,587,4396,484,4510,507,2621,369,1544,389,274,160,331,169,370,175,416,170,153,95,248,142,0,40,11,42,93,99,67,63,77,71,123,87,0,40,0,40,7,39,54,64,62,64,133,81,21,42,13,43,29,50,39,57,31,45
BK42,Flatbush,67622,1511,13971,954,19417,1085,15600,903,12010,797,6624,560,62973,1548,12757,918,18602,1075,14728,880,10955,773,5931,533,2982,465,896,285,609,194,512,156,578,193,387,135,804,237,86,86,88,86,166,132,247,137,217,110,346,165,109,100,15,69,75,83,68,89,79,95,517,176,123,99,103,88,119,102,162,111,10,68
BK43,Midwood,32573,838,4207,520,7328,566,7308,601,8001,570,5729,474,30177,882,3926,500,6806,550,6709,610,7307,537,5429,466,1663,355,246,126,405,165,403,163,370,163,239,97,292,183,17,58,77,88,57,79,124,143,17,52,46,60,0,51,0,51,0,51,40,60,6,50,395,156,18,55,40,61,139,101,160,99,38,69
BK44,Madison,28086,757,4475,505,7461,561,5550,498,6733,526,3867,393,26335,805,4305,496,7055,552,5117,476,6222,518,3636,382,1162,275,100,66,346,147,357,142,283,119,76,62,161,128,0,46,25,60,38,65,25,55,73,76,184,112,28,55,30,59,0,46,79,76,47,65,244,125,42,74,5,47,38,63,124,95,35,49
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,32108,839,2734,380,9143,655,8869,642,6727,542,4635,464,30463,844,2685,378,8787,640,8211,603,6327,530,4453,458,1395,356,49,65,290,125,586,232,326,139,144,79,67,71,0,55,34,57,6,55,27,57,0,55,122,84,0,55,26,61,23,62,40,69,33,59,61,78,0,55,6,54,43,79,7,55,5,54
BK46,Ocean Parkway South,11672,506,1635,323,3300,398,2814,312,2335,286,1588,211,11098,521,1589,321,3150,385,2697,315,2204,274,1458,201,339,142,15,39,97,56,66,53,87,66,74,63,52,44,1,34,12,33,22,36,0,36,17,37,64,81,30,50,0,36,29,49,5,35,0,36,119,93,0,36,41,60,0,36,39,71,39,46
BK50,Canarsie,55379,1293,8240,618,17016,855,16540,870,8812,618,4771,437,52287,1301,7668,605,15887,840,15852,856,8328,597,4552,425,2192,386,404,155,712,199,525,167,401,152,150,95,311,140,75,84,150,96,36,74,27,75,23,79,324,149,42,73,116,89,95,116,34,76,37,75,265,124,51,76,151,109,32,75,22,74,9,69
BK58,Flatlands,46254,1051,6154,543,14572,759,12947,717,8108,610,4473,410,44121,1082,5866,524,13820,744,12305,706,7888,601,4242,401,1500,301,226,117,543,179,403,135,141,95,187,118,160,113,0,62,31,68,68,81,41,72,20,64,253,118,18,68,55,75,132,100,38,70,10,61,220,130,44,73,123,108,39,75,0,62,14,65
BK60,Prospect Lefferts Gardens-Wingate,46554,1487,8671,765,14983,1034,12580,918,6645,611,3675,489,42066,1515,7780,724,13955,996,11316,884,5771,587,3244,464,3136,506,740,207,792,264,930,312,474,176,200,116,748,221,94,87,146,87,240,126,178,130,90,80,369,188,15,60,38,65,51,79,173,140,92,121,235,130,42,62,52,75,43,72,49,71,49,69
BK61,Crown Heights North,66880,1594,14357,935,20116,1034,16220,916,10686,744,5501,545,59459,1520,12814,875,18656,1002,14737,884,8958,707,4294,471,4232,531,906,216,910,253,862,203,977,229,577,172,1635,388,358,151,348,171,379,174,337,133,213,115,1025,256,177,152,103,84,170,107,336,135,239,124,529,246,102,103,99,100,72,95,78,96,178,193
BK63,Crown Heights South,24602,842,5040,555,7097,614,6640,590,3801,418,2024,309,22280,835,4544,519,6518,584,6235,567,3176,371,1807,292,1161,298,244,133,312,149,178,108,383,173,44,44,354,149,33,64,135,110,51,69,45,48,90,74,429,163,23,42,71,90,118,83,167,91,50,63,378,168,196,129,61,86,58,63,30,43,33,54
BK64,Prospect Heights,15979,709,1289,287,1748,358,2224,399,5916,602,4802,439,13044,746,1247,284,1668,352,2017,377,4162,564,3950,412,1647,387,29,43,47,50,41,43,1157,351,373,118,782,277,11,29,17,32,121,148,386,170,247,111,360,128,2,30,12,41,23,38,134,63,189,92,146,136,0,32,4,30,22,41,77,128,43,46
BK68,Fort Greene,19007,750,3649,457,2807,376,3388,418,4455,441,4708,472,15761,745,3107,410,2591,361,3018,401,3263,380,3782,426,1853,345,426,177,153,80,255,115,588,203,431,164,692,200,89,59,51,63,41,48,277,139,234,110,452,160,1,36,12,42,31,46,235,125,173,93,249,164,26,55,0,38,43,77,92,80,88,65
BK69,Clinton Hill,24690,944,2736,372,3887,470,5177,509,7351,574,5539,548,21977,975,2478,350,3597,449,4825,491,6299,554,4778,519,1436,305,151,135,111,75,213,123,528,169,433,138,721,229,42,57,127,130,86,71,265,125,201,103,367,152,41,49,18,44,53,67,156,93,99,83,189,109,24,44,34,53,0,40,103,96,28,45
BK72,Williamsburg,12929,564,4287,474,4915,427,2727,323,577,160,423,156,12616,561,4187,462,4825,429,2647,324,534,155,423,156,228,101,68,54,52,47,80,57,28,47,0,36,42,49,0,36,27,45,0,36,15,40,0,36,11,36,0,36,11,36,0,36,0,36,0,36,32,47,32,47,0,36,0,36,0,36,0,36
BK73,North Side-South Side,31774,954,6504,578,4676,497,5423,548,9827,697,5344,538,27113,952,6358,571,4419,489,4736,506,7489,608,4111,468,2072,430,85,61,83,69,339,185,1147,307,418,157,1374,281,41,64,88,76,211,112,662,196,372,130,970,269,13,51,52,59,115,90,449,167,341,138,245,107,7,47,34,55,22,52,80,76,102,71
BK75,Bedford,40026,1163,9688,722,11362,723,9591,645,5993,525,3392,409,36167,1158,9127,701,10673,704,8642,625,4870,495,2855,372,2473,379,366,116,467,142,629,173,694,212,317,132,630,183,122,85,115,75,196,109,127,86,70,75,525,155,36,67,67,76,83,77,196,96,143,91,231,105,37,69,40,60,41,72,106,82,7,56
BK76,Greenpoint,25261,880,2788,373,4658,485,5532,542,7844,626,4439,466,22213,852,2704,370,4434,477,5141,523,6175,555,3759,428,1679,351,34,44,107,90,121,74,1073,286,344,117,754,204,50,52,15,45,130,83,343,140,216,110,262,122,0,42,42,53,61,76,139,76,20,45,353,151,0,42,60,66,79,82,114,84,100,73
BK77,Bushwick North,37259,1237,18411,1145,7619,759,5333,527,4196,429,1700,289,32888,1205,16849,1092,6890,715,4594,501,3221,389,1334,247,2589,530,1154,356,508,194,354,160,411,148,162,100,872,290,125,104,180,183,200,112,248,103,119,87,524,170,110,87,34,67,73,70,222,99,85,76,386,193,173,146,7,52,112,89,94,75,0,54
BK78,Bushwick South,44391,1476,15225,1013,11797,885,9343,700,5822,618,2204,343,38654,1432,13527,958,10791,848,8117,652,4538,568,1681,314,3703,555,1206,313,697,199,874,257,693,200,233,103,1000,271,292,141,84,80,243,132,212,116,169,101,563,181,18,58,78,75,101,98,274,132,92,80,471,183,182,120,147,119,8,57,105,92,29,61
BK79,Ocean Hill,19010,843,4847,502,6448,580,5041,478,2114,330,560,156,17344,830,4312,465,5964,555,4637,470,1927,319,504,146,1203,286,384,142,343,139,290,120,130,84,56,56,328,130,98,90,116,96,57,56,57,61,0,38,108,79,41,54,16,37,51,65,0,38,0,38,27,45,12,38,9,39,6,37,0,38,0,38
BK81,Brownsville,32125,968,8733,685,12198,748,8013,634,2263,341,918,212,29686,948,7834,653,11196,731,7672,626,2151,330,833,207,1818,331,634,183,804,224,257,109,102,87,21,54,343,149,180,124,100,81,53,67,10,52,0,51,180,99,81,79,31,55,16,52,0,51,52,77,98,82,4,50,67,77,15,54,0,51,12,53
BK82,East New York,53572,1448,13229,898,21876,1113,11988,750,4340,470,2139,307,49795,1459,11934,836,20653,1092,11154,744,4102,457,1952,300,2689,460,949,278,862,212,606,174,152,89,120,89,580,179,218,114,100,81,180,102,40,85,42,72,271,185,62,91,169,170,22,72,18,65,0,65,237,128,66,76,92,110,26,67,28,72,25,65
BK83,Cypress Hills-City Line,27784,1077,8322,722,11332,765,5121,496,2086,334,923,223,25898,1086,7745,678,10378,747,4873,486,1998,328,904,221,1169,326,353,205,600,197,195,119,21,52,0,49,413,171,175,133,128,98,33,64,58,65,19,52,154,115,0,49,125,113,20,52,9,50,0,49,150,116,49,61,101,110,0,49,0,49,0,49
BK85,East New York (Pennsylvania Ave),16192,709,4968,501,5785,527,3821,410,1153,214,465,137,14986,709,4566,479,5427,505,3511,408,1025,208,457,137,783,232,238,102,259,126,199,105,87,71,0,36,255,115,76,67,72,57,80,72,27,48,0,36,105,62,32,49,27,48,24,39,14,39,8,37,63,65,56,65,0,36,7,36,0,36,0,36
BK88,Borough Park,55029,1384,15325,1065,20096,1001,9416,616,6134,548,4058,442,51773,1359,14087,1023,19176,959,8980,605,5731,533,3799,432,2188,445,958,313,618,221,222,124,222,108,168,99,244,126,20,69,61,80,58,79,75,91,30,75,252,153,72,91,53,102,37,79,70,87,20,69,572,211,188,131,188,147,119,101,36,74,41,78
BK90,East Williamsburg,25061,878,5964,562,5061,530,4724,550,6223,553,3089,366,22050,871,5603,546,4539,503,4317,520,5123,528,2468,331,1831,388,209,91,392,163,228,110,696,243,306,117,701,210,131,112,75,79,94,73,255,94,146,82,327,119,5,39,31,56,65,66,94,62,132,71,152,83,16,43,24,46,20,50,55,54,37,52
BK91,East Flatbush-Farragut,36094,1101,4350,442,13313,848,10040,698,5720,530,2671,351,34327,1151,4161,433,12762,853,9326,695,5514,532,2564,346,1533,337,182,93,471,157,631,209,157,88,92,74,72,59,0,54,29,55,29,58,3,51,11,53,116,78,0,54,51,70,43,60,18,54,4,53,46,70,7,54,0,54,11,55,28,68,0,54
BK93,Starrett City,8831,525,1582,325,2827,450,2423,393,1094,326,905,294,8405,541,1496,312,2659,445,2315,396,1030,321,905,294,322,158,86,77,119,99,53,56,64,59,0,24,0,24,0,24,0,24,0,24,0,24,0,24,55,81,0,24,0,24,55,81,0,24,0,24,49,77,0,24,49,77,0,24,0,24,0,24
