area_id,area_name,b08016001,b08016001_moe,b08016002,b08016002_moe,b08016003,b08016003_moe,b08016004,b08016004_moe,b08016005,b08016005_moe,b08016006,b08016006_moe,b08016007,b08016007_moe,b08016008,b08016008_moe,b08016009,b08016009_moe,b08016010,b08016010_moe,b08016011,b08016011_moe,b08016012,b08016012_moe,b08016013,b08016013_moe,b08016014,b08016014_moe,b08016015,b08016015_moe,b08016016,b08016016_moe,b08016017,b08016017_moe,b08016018,b08016018_moe,b08016019,b08016019_moe,b08016020,b08016020_moe,b08016021,b08016021_moe,b08016022,b08016022_moe,b08016023,b08016023_moe
BK09,Brooklyn Heights-Cobble Hill,13874,749,13874,749,13618,726,13360,725,258,99,224,121,122,72,102,101,0,29,0,29,0,29,32,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26453,977,26453,977,26314,980,25102,976,1212,230,139,99,111,96,28,59,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55
BK19,Brighton Beach,12761,756,12761,756,12693,747,11989,717,704,205,68,68,0,38,68,68,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,9500,713,9500,713,9445,714,9264,709,181,83,47,69,47,69,0,38,0,38,0,38,0,38,8,36,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,6090,648,6090,648,6047,650,5846,636,201,92,43,41,17,31,26,37,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,16159,803,16159,803,16111,801,15388,796,723,166,48,57,31,52,17,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,10448,693,10448,693,10392,697,10042,684,350,129,56,58,17,35,39,59,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,12087,821,12087,821,11957,814,11546,809,411,129,130,78,115,77,15,42,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,35692,1257,35692,1257,35339,1239,34159,1225,1180,225,253,105,45,68,208,101,0,64,0,64,0,64,100,104,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,26066,1044,26066,1044,25758,1037,24977,1021,781,159,308,129,152,97,156,95,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,19282,889,19282,889,18875,866,18051,837,824,218,342,127,94,87,248,108,6,50,0,51,6,50,59,96,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK31,Bay Ridge,38152,1038,38152,1038,37849,1030,36454,1024,1395,234,234,113,106,89,128,94,0,66,0,66,0,66,69,83,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
BK32,Sunset Park West,24481,1068,24481,1068,24278,1065,23481,1036,797,232,148,88,24,53,124,87,11,51,11,51,0,49,44,57,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,20902,852,20902,852,20674,854,20211,851,463,131,180,82,138,75,42,52,10,47,10,47,0,45,38,51,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,30563,1195,30563,1195,28656,1150,27534,1139,1122,242,1790,379,1074,301,716,205,55,74,46,74,9,59,62,67,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
BK35,Stuyvesant Heights,24863,1124,24863,1124,24749,1115,24120,1103,629,187,82,83,27,58,55,78,24,63,24,63,0,51,8,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK37,Park Slope-Gowanus,44495,1267,44495,1267,43980,1269,42939,1263,1041,206,427,146,257,107,170,109,33,62,0,58,33,62,55,64,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17780,739,17780,739,17524,745,16975,737,549,156,224,81,127,68,97,56,0,42,0,42,0,42,32,44,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BK40,Windsor Terrace,12724,622,12724,622,12580,612,12251,611,329,127,114,86,9,33,105,85,0,32,0,32,0,32,30,37,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BK41,Kensington-Ocean Parkway,15029,757,15029,757,14910,754,14587,755,323,105,85,88,23,41,62,87,0,40,0,40,0,40,34,45,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK42,Flatbush,46652,1474,46652,1474,46350,1467,45081,1465,1269,243,246,123,121,105,125,89,0,68,0,68,0,68,56,80,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68
BK43,Midwood,19836,826,19836,826,19747,824,18782,819,965,224,49,60,22,53,27,57,0,51,0,51,0,51,40,66,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK44,Madison,17314,691,17314,691,17203,682,16504,682,699,160,92,78,21,49,71,76,8,49,0,46,8,49,11,48,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,20634,784,20634,784,20517,782,19790,756,727,186,89,85,59,78,30,64,28,65,0,55,28,65,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55
BK46,Ocean Parkway South,7274,510,7274,510,7140,513,7025,510,115,64,114,64,23,40,91,60,5,35,0,36,5,35,15,42,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK50,Canarsie,39874,1205,39874,1205,39761,1204,38328,1206,1433,267,81,80,23,72,58,78,18,73,0,70,18,73,14,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70
BK58,Flatlands,32795,1056,32795,1056,32587,1057,31524,1044,1063,212,116,85,64,79,52,69,33,78,0,62,33,78,59,74,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,30733,1183,30733,1183,30678,1185,29738,1202,940,239,36,64,20,61,16,61,0,58,0,58,0,58,19,63,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58
BK61,Crown Heights North,42278,1383,42278,1383,41973,1374,40850,1352,1123,229,283,129,199,106,84,92,0,67,0,67,0,67,22,68,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67
BK63,Crown Heights South,16453,832,16453,832,16357,835,15816,798,541,213,51,56,25,56,26,40,18,41,18,41,0,40,27,43,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK64,Prospect Heights,12764,709,12764,709,12603,710,12392,714,211,84,135,72,82,54,53,52,0,32,0,32,0,32,26,36,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BK68,Fort Greene,13156,682,13156,682,13076,682,12701,694,375,122,63,51,26,40,37,45,0,38,0,38,0,38,17,41,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK69,Clinton Hill,18744,978,18744,978,18580,978,18233,981,347,133,135,77,129,77,6,39,10,41,0,40,10,41,19,42,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK72,Williamsburg,7885,468,7885,468,7817,469,7507,461,310,103,49,51,0,36,49,51,0,36,0,36,0,36,19,38,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,24791,997,24791,997,24579,993,23879,955,700,207,185,90,85,70,100,73,0,48,0,48,0,48,27,55,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
