area_id,area_name,b08201001,b08201001_moe,b08201002,b08201002_moe,b08201003,b08201003_moe,b08201004,b08201004_moe,b08201005,b08201005_moe,b08201006,b08201006_moe,b08201007,b08201007_moe,b08201008,b08201008_moe,b08201009,b08201009_moe,b08201010,b08201010_moe,b08201011,b08201011_moe,b08201012,b08201012_moe,b08201013,b08201013_moe,b08201014,b08201014_moe,b08201015,b08201015_moe,b08201016,b08201016_moe,b08201017,b08201017_moe,b08201018,b08201018_moe,b08201019,b08201019_moe,b08201020,b08201020_moe,b08201021,b08201021_moe,b08201022,b08201022_moe,b08201023,b08201023_moe,b08201024,b08201024_moe,b08201025,b08201025_moe,b08201026,b08201026_moe,b08201027,b08201027_moe,b08201028,b08201028_moe,b08201029,b08201029_moe,b08201030,b08201030_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,8194,412,2801,319,290,102,43,58,18,39,5440,398,4755,383,667,170,0,29,0,29,18,39,3662,357,2429,299,1113,236,120,72,0,29,0,29,1090,220,550,157,410,134,87,59,43,58,0,29,1154,203,460,136,611,166,83,61,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,9295,500,12174,551,3151,312,326,97,124,89,7803,464,4603,382,2993,340,187,101,9,55,11,56,7739,488,2769,336,3809,358,1142,197,19,54,0,55,4738,429,1277,265,2602,335,711,158,131,70,17,56,4790,413,646,188,2770,354,1111,195,167,78,96,87
BK19,Brighton Beach,13764,343,8536,421,4180,395,820,173,140,96,88,56,5408,399,4423,383,864,195,44,54,29,58,48,47,3852,348,2213,273,1415,237,161,74,32,64,31,44,2091,316,881,227,929,208,238,90,43,61,0,38,2413,287,1019,211,972,201,377,136,36,45,9,39
BK21,Seagate-Coney Island,11215,272,7838,356,2543,293,596,161,74,59,164,76,3599,314,3069,304,452,132,20,42,4,37,54,41,3274,337,2263,289,869,193,142,72,0,38,0,38,1976,324,1243,277,527,174,109,66,53,55,44,56,2366,311,1263,245,695,187,325,134,17,39,66,58
BK23,West Brighton,8026,219,4174,339,3362,316,435,165,46,48,9,28,3215,309,2464,302,702,186,49,79,0,27,0,27,3140,311,1295,246,1702,276,128,68,6,26,9,28,1192,236,352,144,686,182,131,95,23,47,0,27,479,147,63,48,272,125,127,82,17,28,0,27
BK25,Homecrest,15435,318,6773,406,6422,393,1895,245,256,103,89,49,4283,337,3020,296,1220,199,30,46,9,49,4,47,5030,384,2395,311,2187,274,347,108,99,81,2,47,2115,268,603,151,1061,197,398,130,22,46,31,51,4007,334,755,173,1954,266,1120,187,126,73,52,48
BK26,Gravesend,11068,297,5687,388,4271,387,810,175,192,77,108,63,3435,373,2492,330,900,206,24,40,0,36,19,45,3583,372,1866,321,1458,253,228,87,15,37,16,36,1604,254,607,161,696,185,243,95,48,43,10,37,2446,308,722,199,1217,236,315,110,129,68,63,51
BK27,Bath Beach,10726,270,4637,373,4430,364,1399,226,208,79,52,49,2753,285,1906,254,798,151,46,41,0,40,3,40,3291,322,1310,243,1550,228,414,115,13,39,4,39,1877,266,642,168,877,203,292,133,44,45,22,47,2805,300,779,182,1205,217,647,148,151,70,23,40
BK28,Bensonhurst West,29717,419,15678,577,10467,544,2914,310,506,136,152,91,6937,442,5262,405,1512,216,142,84,20,64,1,62,8028,494,4498,415,2959,314,551,132,12,61,8,64,5698,452,2569,333,2226,303,738,163,150,101,15,64,9054,522,3349,370,3770,374,1483,235,324,110,128,92
BK29,Bensonhurst East,21737,342,11075,506,8311,495,2047,256,239,85,65,60,5179,394,3820,356,1221,198,125,73,13,51,0,51,6471,437,3695,361,2396,290,345,105,35,57,0,51,3409,350,1301,242,1659,250,422,132,21,50,6,50,6678,428,2259,305,3035,344,1155,197,170,78,59,59
