area_id,area_name,b09002001,b09002001_moe,b09002002,b09002002_moe,b09002003,b09002003_moe,b09002004,b09002004_moe,b09002005,b09002005_moe,b09002006,b09002006_moe,b09002007,b09002007_moe,b09002008,b09002008_moe,b09002009,b09002009_moe,b09002010,b09002010_moe,b09002011,b09002011_moe,b09002012,b09002012_moe,b09002013,b09002013_moe,b09002014,b09002014_moe,b09002015,b09002015_moe,b09002016,b09002016_moe,b09002017,b09002017_moe,b09002018,b09002018_moe,b09002019,b09002019_moe,b09002020,b09002020_moe
BK09,Brooklyn Heights-Cobble Hill,2855,415,2650,407,976,210,414,123,77,55,662,228,521,173,205,101,58,47,11,28,0,29,0,29,27,36,20,35,147,89,21,35,42,50,0,29,24,37,60,57
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,10163,812,7422,715,1566,320,497,161,550,175,2242,337,2567,390,2741,533,843,366,105,101,154,125,18,60,147,107,419,220,1898,490,147,115,224,149,38,64,636,217,853,305
BK19,Brighton Beach,4627,612,3982,594,523,178,745,239,334,133,1284,292,1096,271,645,246,225,168,0,38,14,43,0,38,68,70,143,110,420,186,19,40,12,41,13,41,200,109,176,109
BK21,Seagate-Coney Island,5569,733,2771,573,353,135,147,91,238,112,861,217,1172,335,2798,534,87,74,28,57,0,38,0,38,0,38,59,58,2711,531,237,116,306,141,132,96,798,229,1238,340
BK23,West Brighton,1227,242,876,228,223,147,48,52,64,69,270,133,271,120,351,157,11,31,0,27,11,31,0,27,0,27,0,27,340,156,27,36,56,72,0,27,85,61,172,100
BK25,Homecrest,9552,873,8327,839,1278,249,895,199,455,134,3070,424,2629,344,1225,355,262,142,69,77,0,48,0,48,77,69,116,81,963,326,95,79,141,88,24,61,357,191,346,128
BK26,Gravesend,4532,671,3578,573,639,225,355,143,175,89,1206,296,1203,289,954,408,0,36,0,36,0,36,0,36,0,36,0,36,954,408,158,123,33,50,94,98,285,164,384,190
BK27,Bath Beach,5129,597,4613,580,863,220,658,171,279,114,1677,296,1136,259,516,180,50,54,24,45,0,40,0,40,13,40,13,39,466,176,66,63,4,39,8,40,192,124,196,108
BK28,Bensonhurst West,16871,1038,14375,1004,2260,317,1771,284,836,193,4700,528,4808,509,2496,457,834,286,230,129,45,71,21,66,190,118,348,151,1662,381,191,102,135,99,151,96,386,146,799,241
BK29,Bensonhurst East,10446,782,9046,757,1506,276,1093,233,643,193,2960,397,2844,395,1400,308,395,179,64,66,9,51,17,52,182,111,123,93,1005,267,101,92,71,75,7,51,406,143,420,154
BK30,Dyker Heights,7913,673,6815,657,1143,217,660,157,397,133,2138,341,2477,327,1098,283,150,144,38,80,35,63,0,51,30,61,47,60,948,249,102,82,112,85,36,65,305,123,393,139
BK31,Bay Ridge,15973,1040,13282,1004,2746,355,1554,274,714,186,4459,551,3809,493,2691,543,492,255,147,112,46,76,67,94,111,104,121,95,2199,486,326,148,145,137,123,112,678,200,927,257
BK32,Sunset Park West,11025,870,7094,792,1224,267,1077,243,540,165,2559,400,1694,291,3931,620,893,313,222,116,235,133,19,53,321,173,96,75,3038,545,310,126,383,150,213,127,901,241,1231,298
BK33,Carroll Gardens-Columbia Street-Red Hook,7039,650,4273,500,1031,207,623,159,434,136,1193,227,992,238,2766,479,536,286,28,52,60,89,35,51,267,162,146,144,2230,477,191,102,245,129,44,68,931,242,819,249
BK34,Sunset Park East,14827,1026,11092,988,1916,308,1437,287,729,175,3709,479,3301,429,3735,517,907,266,151,92,151,108,63,73,210,114,332,152,2828,455,307,132,406,147,186,102,683,186,1246,291
BK35,Stuyvesant Heights,11798,1056,3711,630,724,202,484,168,222,105,1330,318,951,226,8087,913,812,262,115,102,56,71,35,62,271,134,335,136,7275,908,901,240,878,232,345,145,2626,458,2525,439
BK37,Park Slope-Gowanus,12125,890,9770,816,2476,383,1586,265,564,174,2843,379,2301,377,2355,453,639,253,141,102,75,88,7,57,213,123,203,114,1716,389,215,98,188,107,85,79,540,177,688,280
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5527,595,2985,417,906,189,308,126,218,99,1080,236,473,167,2542,515,166,91,9,43,23,48,10,44,42,52,82,65,2376,503,344,144,207,105,106,78,1066,283,653,218
BK40,Windsor Terrace,3948,532,3050,474,826,190,395,134,169,95,821,212,839,193,898,320,243,167,94,66,0,32,14,37,56,82,79,77,655,281,129,110,137,113,57,56,137,69,195,139
BK41,Kensington-Ocean Parkway,8809,829,7706,823,1300,252,967,204,471,134,2437,360,2531,438,1103,357,207,105,60,60,33,51,0,40,39,51,75,70,896,342,102,81,61,65,66,84,216,104,451,209
BK42,Flatbush,21249,1315,13146,1150,2319,362,1435,275,766,191,4340,538,4286,556,8103,854,1077,306,252,134,120,104,26,68,378,162,301,142,7026,819,893,246,649,204,362,159,2086,400,3036,464
BK43,Midwood,12875,1018,11481,991,2087,298,1321,288,453,118,3917,465,3703,421,1394,383,251,210,72,97,5,50,19,58,98,106,57,61,1143,315,165,96,77,68,90,83,291,121,520,185
BK44,Madison,7824,706,6999,704,1399,281,694,170,475,135,2371,387,2060,309,825,241,286,177,83,138,14,50,18,49,45,56,126,111,539,173,21,51,65,76,12,49,146,86,295,119
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,11199,848,9370,841,1690,315,1162,234,658,145,3309,457,2551,343,1829,393,535,250,89,80,102,87,74,79,107,88,163,115,1294,312,128,86,43,66,98,79,404,140,621,221
BK46,Ocean Parkway South,5297,688,5024,683,874,185,684,161,305,107,1646,296,1515,290,273,129,78,87,27,45,0,36,0,36,23,50,28,51,195,103,11,38,4,38,18,42,42,41,120,71
BK50,Canarsie,17461,1020,9569,865,1358,279,936,219,509,159,2889,368,3877,477,7892,740,1023,273,195,137,43,74,29,76,173,110,583,186,6869,714,867,195,506,156,419,140,2419,382,2658,374
BK58,Flatlands,13876,883,8557,764,930,201,986,203,502,143,2984,383,3155,406,5319,625,815,267,283,130,79,81,24,65,187,127,242,117,4504,584,375,161,405,144,144,89,1351,269,2229,342
BK60,Prospect Lefferts Gardens-Wingate,11993,1023,6156,856,1559,353,736,206,425,161,2004,403,1432,319,5837,800,700,292,149,128,61,84,33,65,138,120,319,176,5137,742,460,154,468,183,350,143,1905,402,1954,376
BK61,Crown Heights North,18199,1146,6332,819,1168,244,794,209,188,111,2063,402,2119,383,11867,972,1286,390,305,160,241,128,45,81,243,139,452,254,10581,959,1481,306,930,228,369,161,3395,459,4406,567
BK63,Crown Heights South,9528,962,6620,900,1128,236,797,191,416,132,2352,434,1927,426,2908,463,486,229,101,90,15,45,72,75,183,99,115,76,2422,414,222,109,151,96,80,59,951,245,1018,255
BK64,Prospect Heights,2601,362,1688,324,512,121,358,126,92,55,495,173,231,98,913,259,185,119,48,49,21,41,0,32,37,47,79,64,728,235,92,69,128,85,48,47,249,124,211,106
BK68,Fort Greene,3705,495,1494,287,379,129,305,142,126,85,378,144,306,134,2211,439,312,253,40,58,15,46,101,105,52,90,104,101,1899,392,343,174,93,73,65,70,581,167,817,242
BK69,Clinton Hill,4985,569,3211,500,895,183,418,105,264,102,967,223,667,215,1774,375,237,233,62,62,43,60,0,40,95,140,37,59,1537,322,311,140,165,102,110,78,560,191,391,129
BK72,Williamsburg,15256,1151,13728,1146,3520,416,2155,286,873,164,3616,455,3564,441,1528,424,583,287,135,99,71,65,22,41,155,137,200,168,945,331,118,73,75,58,35,46,331,146,386,162
BK73,North Side-South Side,8151,875,5681,792,1346,240,683,152,312,118,1724,330,1616,338,2470,551,770,370,187,152,55,66,37,63,248,183,243,153,1700,414,141,86,160,98,103,127,595,199,701,209
BK75,Bedford,18296,1069,11464,834,2664,294,1853,230,673,139,3774,414,2500,370,6832,816,416,227,77,82,59,83,10,57,152,129,118,86,6416,815,955,238,547,167,196,98,2072,368,2646,433
BK76,Greenpoint,3069,476,2506,458,603,183,186,83,235,118,658,196,824,224,563,176,122,75,16,44,20,45,0,42,30,49,56,63,441,165,42,52,32,52,0,42,195,105,172,111
BK77,Bushwick North,12443,883,5393,722,927,245,719,201,349,130,1673,345,1725,310,7050,736,1853,414,501,190,287,133,155,101,449,180,461,179,5197,673,619,185,504,179,283,125,1522,318,2269,382
BK78,Bushwick South,14394,1057,5986,815,838,230,544,206,325,125,1938,379,2341,408,8408,917,1020,326,191,118,88,106,73,96,408,210,260,127,7388,865,775,205,776,211,464,161,2592,435,2781,460
BK79,Ocean Hill,7764,710,2659,468,525,181,330,166,105,70,799,218,900,222,5105,637,820,302,127,84,156,97,33,52,312,199,192,108,4285,596,617,192,366,137,195,99,1670,316,1437,269
BK81,Brownsville,13532,1009,3077,601,521,174,381,166,170,107,871,270,1134,276,10455,915,759,250,188,114,68,77,62,68,154,93,287,121,9696,910,1468,350,1141,267,389,142,3137,447,3561,449
BK82,East New York,21853,1310,7896,1011,1177,289,864,249,507,189,2648,440,2700,431,13957,1109,1379,402,432,169,81,90,123,103,244,140,499,183,12578,1068,1843,337,1572,311,465,154,4393,547,4305,506
BK83,Cypress Hills-City Line,11276,872,5834,698,978,245,597,175,313,124,1881,340,2065,358,5442,748,618,231,113,111,41,59,25,52,133,81,306,148,4824,719,808,227,628,183,266,109,1391,290,1731,387
BK85,East New York (Pennsylvania Ave),7894,698,2057,408,387,143,238,93,127,78,457,149,848,229,5837,660,259,159,0,36,9,38,0,36,53,67,197,128,5578,651,573,187,762,214,314,125,1873,315,2056,336
BK88,Borough Park,38799,1977,35583,1976,7503,579,4681,414,1922,263,11598,859,9879,800,3216,655,733,282,127,100,159,119,40,76,169,115,238,129,2483,587,306,151,321,164,153,107,789,252,914,283
BK90,East Williamsburg,3775,473,1909,354,460,145,287,117,95,72,521,157,546,173,1866,411,123,76,19,48,13,44,0,40,19,49,72,61,1743,406,183,92,172,121,116,91,653,221,619,201
BK91,East Flatbush-Farragut,8126,747,4016,625,706,236,417,168,219,112,1120,238,1554,354,4110,537,669,230,73,86,24,57,73,98,257,129,242,142,3441,523,460,167,233,109,248,100,1109,269,1391,283
BK93,Starrett City,1898,416,501,276,55,64,0,24,17,32,175,117,254,189,1397,441,31,36,0,24,0,24,0,24,0,24,31,36,1366,436,206,132,64,52,97,106,487,216,512,206
BK95,Erasmus,5331,672,2553,551,362,149,279,156,120,73,850,268,942,252,2778,471,237,147,104,101,16,44,5,38,35,54,77,57,2541,463,325,137,357,160,110,73,883,243,866,196
BK96,Rugby-Remsen Village,9792,848,4389,630,904,257,458,164,202,85,1348,275,1477,300,5403,649,606,232,58,81,112,98,41,65,221,142,174,102,4797,615,628,195,596,192,284,133,1593,325,1696,322
BK99,park-cemetery-etc-Brooklyn,116,145,0,40,0,40,0,40,0,40,0,40,0,40,116,145,79,133,0,40,28,60,0,40,25,56,26,56,37,70,0,40,0,40,0,40,19,48,18,48
BX01,Claremont-Bathgate,8098,807,2331,613,305,192,257,120,120,71,749,221,900,311,5767,668,221,157,127,115,0,40,34,56,21,44,39,49,5546,664,668,191,611,189,369,171,1777,334,2121,417
BX03,Eastchester-Edenwald-Baychester,8129,885,3907,760,568,215,299,162,195,111,1242,320,1603,373,4222,680,457,239,21,49,80,94,0,40,198,147,158,114,3765,658,427,222,206,155,123,93,1365,327,1644,366
BX05,Bedford Park-Fordham North,12662,1046,4383,702,827,235,569,180,254,116,1376,306,1357,358,8279,955,756,295,318,162,111,109,20,57,255,148,52,73,7523,935,877,250,758,214,471,161,2613,511,2804,444
BX06,Belmont,6329,751,1640,450,338,140,126,82,192,96,472,168,512,200,4689,670,493,213,100,72,151,89,0,34,115,79,127,88,4196,638,681,227,325,136,133,90,1812,339,1245,265
BX07,Bronxdale,6978,668,2834,494,427,166,301,136,164,101,835,268,1107,267,4144,631,431,217,46,51,44,60,46,55,234,133,61,69,3713,591,576,214,460,158,129,77,1091,255,1457,311
BX08,West Farms-Bronx River,8180,845,2567,528,576,185,321,157,92,70,868,236,710,221,5613,797,716,288,138,86,129,77,31,53,218,152,200,128,4897,747,800,246,638,201,142,88,1579,324,1738,407
BX09,Soundview-Castle Hill-Clason Point-Harding Park,11453,1003,3182,600,495,225,238,104,85,78,1153,326,1211,274,8271,941,1187,423,194,114,145,112,70,73,371,196,407,162,7084,893,595,204,783,238,368,171,2428,422,2910,490
BX10,Pelham Bay-Country Club-City Island,3934,597,2670,550,518,234,229,156,187,138,777,279,959,272,1264,339,369,219,39,69,16,43,16,44,189,132,109,88,895,297,168,118,45,54,104,87,95,71,483,227
BX13,Co-op City,6674,822,3180,633,518,241,312,135,278,119,796,274,1276,377,3494,612,514,283,79,88,47,62,45,75,243,161,100,90,2980,569,183,119,236,121,159,106,1097,330,1305,339
BX14,East Concourse-Concourse Village,14363,1133,5340,827,827,233,553,190,178,114,1768,369,2014,391,9023,1016,1607,562,480,240,104,98,86,91,449,226,488,237,7416,887,1193,299,585,178,388,159,2224,395,3026,497
BX17,East Tremont,11066,889,2628,568,370,135,349,134,206,101,832,258,871,287,8438,875,741,293,87,75,83,77,119,101,242,160,210,116,7697,862,1026,290,603,197,375,156,2631,378,3062,482
BX22,North Riverdale-Fieldston-Riverdale,4621,589,3418,449,968,264,444,151,206,104,867,221,933,207,1203,436,211,196,0,38,0,38,0,38,16,44,195,195,992,381,65,82,103,94,55,58,452,218,317,136
BX26,Highbridge,9622,824,3601,651,539,174,441,162,197,105,1302,327,1122,324,6021,732,605,222,178,101,48,47,17,46,219,116,143,91,5416,711,689,212,430,141,446,151,1746,369,2105,365
BX27,Hunts Point,7473,634,1751,379,289,126,218,98,57,52,588,192,599,174,5722,637,554,269,42,48,68,68,74,60,122,97,248,170,5168,616,706,167,517,149,142,90,2008,366,1795,326
BX28,Van Cortlandt Village,10049,812,4003,653,767,215,452,154,127,76,1353,324,1304,287,6046,727,773,279,155,95,63,65,95,84,167,99,293,121,5273,695,655,199,446,187,157,94,1874,355,2141,395
BX29,Spuyten Duyvil-Kingsbridge,5237,516,3698,470,968,218,526,191,204,96,939,249,1061,245,1539,375,300,215,0,38,54,64,44,68,113,91,89,87,1239,322,279,131,154,88,10,40,424,166,372,132
BX30,Kingsbridge Heights,5980,654,2399,520,287,139,248,119,201,98,839,266,824,257,3581,529,554,238,51,51,111,106,69,72,178,103,145,92,3027,525,381,166,277,149,175,99,1068,236,1126,318
BX31,Allerton-Pelham Gardens,6761,674,4551,607,683,195,442,147,224,102,1526,286,1676,316,2210,473,413,235,31,55,49,71,10,43,78,83,245,203,1797,424,132,86,118,88,98,65,695,219,754,223
BX33,Longwood,7264,740,1620,409,241,129,173,91,107,89,667,191,432,154,5644,699,649,263,214,159,16,39,61,63,85,64,273,157,4995,675,708,222,452,145,100,80,1881,364,1854,315
