area_id,area_name,b10058001,b10058001_moe,b10058002,b10058002_moe,b10058003,b10058003_moe,b10058004,b10058004_moe,b10058005,b10058005_moe,b10058006,b10058006_moe,b10058007,b10058007_moe,b10058008,b10058008_moe,b10058009,b10058009_moe,b10058010,b10058010_moe,b10058011,b10058011_moe
BK09,Brooklyn Heights-Cobble Hill,124,109,55,60,0,29,0,29,0,29,55,60,69,94,0,29,0,29,0,29,69,94
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1109,277,269,123,51,72,24,59,27,66,218,118,840,236,171,113,73,98,98,79,669,213
BK19,Brighton Beach,486,158,114,76,38,59,38,59,0,38,76,57,372,145,125,96,0,38,125,96,247,114
BK21,Seagate-Coney Island,920,243,332,134,122,76,113,74,9,39,210,110,588,199,306,162,114,93,192,137,282,124
BK23,West Brighton,282,141,120,97,61,77,49,73,12,31,59,63,162,110,56,62,13,33,43,59,106,90
BK25,Homecrest,584,200,126,87,42,54,34,54,8,48,84,82,458,178,154,106,24,52,130,102,304,149
BK26,Gravesend,839,229,226,121,80,56,80,56,0,36,146,95,613,208,164,87,94,67,70,69,449,189
BK27,Bath Beach,727,220,322,143,108,97,108,97,0,40,214,105,405,136,73,57,30,48,43,47,332,127
BK28,Bensonhurst West,2219,354,543,200,168,107,72,77,96,95,375,178,1676,288,317,113,98,81,219,100,1359,267
BK29,Bensonhurst East,2178,384,600,196,173,98,94,84,79,71,427,172,1578,327,705,241,81,77,624,233,873,212
BK30,Dyker Heights,1691,343,434,159,246,125,132,92,114,96,188,104,1257,302,525,218,163,123,362,161,732,197
BK31,Bay Ridge,1029,222,296,118,117,90,97,91,20,67,179,106,733,185,191,104,73,87,118,87,542,165
BK32,Sunset Park West,1724,339,983,267,363,167,341,162,22,55,620,207,741,188,316,124,120,87,196,104,425,133
BK33,Carroll Gardens-Columbia Street-Red Hook,378,135,205,108,145,90,145,90,0,45,60,73,173,86,83,70,62,67,21,46,90,61
BK34,Sunset Park East,2698,422,945,233,328,138,254,118,74,75,617,172,1753,323,740,216,242,119,498,167,1013,232
BK35,Stuyvesant Heights,2708,409,1398,303,563,181,356,154,207,106,835,238,1310,252,510,159,227,102,283,125,800,190
BK37,Park Slope-Gowanus,730,207,335,141,164,93,90,73,74,73,171,118,395,129,187,92,32,61,155,88,208,107
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,621,199,281,139,166,123,71,70,95,78,115,88,340,136,168,83,63,62,105,63,172,109
BK40,Windsor Terrace,310,124,74,58,13,33,13,33,0,32,61,58,236,98,116,77,58,60,58,55,120,69
BK41,Kensington-Ocean Parkway,674,204,304,134,134,91,103,83,31,53,170,107,370,139,118,83,64,68,54,60,252,115
BK42,Flatbush,3128,425,1801,321,1002,246,735,222,267,131,799,210,1327,263,386,141,138,115,248,105,941,232
BK43,Midwood,427,151,155,95,95,85,15,52,80,84,60,62,272,116,57,62,0,51,57,62,215,113
BK44,Madison,942,236,210,112,41,55,21,50,20,50,169,108,732,199,69,60,11,46,58,58,663,194
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1066,258,484,160,169,107,138,101,31,61,315,131,582,173,122,87,55,79,67,65,460,153
BK46,Ocean Parkway South,209,118,92,81,35,52,35,52,0,36,57,71,117,78,20,49,0,36,20,49,97,70
BK50,Canarsie,3312,434,1911,340,665,188,393,147,272,128,1246,274,1401,248,269,114,67,81,202,104,1132,226
BK58,Flatlands,2558,355,1388,271,549,173,425,156,124,83,839,206,1170,221,450,145,202,117,248,102,720,176
BK60,Prospect Lefferts Gardens-Wingate,2209,408,1139,295,593,229,443,209,150,92,546,185,1070,263,459,198,67,80,392,191,611,182
BK61,Crown Heights North,2513,381,1151,267,646,183,503,163,143,98,505,198,1362,271,453,159,175,111,278,115,909,218
BK63,Crown Heights South,1204,287,649,206,171,97,149,98,22,39,478,184,555,185,161,105,30,60,131,95,394,169
BK64,Prospect Heights,242,118,48,48,7,33,7,33,0,32,41,47,194,122,48,64,0,32,48,64,146,106
BK68,Fort Greene,529,154,164,81,57,52,42,49,15,41,107,70,365,126,164,96,88,73,76,73,201,88
BK69,Clinton Hill,725,222,200,116,90,77,63,64,27,59,110,73,525,185,142,90,59,73,83,65,383,162
BK72,Williamsburg,368,159,102,65,88,66,30,41,58,63,14,36,266,124,90,78,56,53,34,65,176,103
BK73,North Side-South Side,872,227,337,134,123,76,78,66,45,58,214,119,535,200,160,96,12,48,148,94,375,162
BK75,Bedford,1973,344,809,230,350,141,268,124,82,73,459,186,1164,243,305,119,69,63,236,111,859,208
BK76,Greenpoint,176,81,97,66,43,51,20,50,23,43,54,55,79,54,14,43,5,42,9,42,65,53
BK77,Bushwick North,1962,370,933,251,331,157,298,154,33,62,602,190,1029,243,393,172,231,142,162,103,636,175
