area_id,area_name,b11001b001,b11001b001_moe,b11001b002,b11001b002_moe,b11001b003,b11001b003_moe,b11001b004,b11001b004_moe,b11001b005,b11001b005_moe,b11001b006,b11001b006_moe,b11001b007,b11001b007_moe,b11001b008,b11001b008_moe,b11001b009,b11001b009_moe
BK09,Brooklyn Heights-Cobble Hill,512,161,156,87,76,53,80,75,35,60,45,53,356,137,326,134,30,41
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1727,246,985,198,278,122,707,184,201,129,506,180,742,194,648,171,94,107
BK19,Brighton Beach,198,107,144,98,110,93,34,46,1,37,33,46,54,55,54,55,0,38
BK21,Seagate-Coney Island,3789,318,2728,294,904,223,1824,276,196,103,1628,261,1061,209,1027,205,34,54
BK23,West Brighton,141,100,13,33,0,27,13,33,0,27,13,33,128,98,118,97,10,30
BK25,Homecrest,207,109,96,86,49,64,47,75,0,48,47,75,111,80,87,72,24,60
BK26,Gravesend,914,197,538,156,139,96,399,127,0,36,399,127,376,167,314,144,62,94
BK27,Bath Beach,197,112,105,86,96,86,9,40,0,40,9,40,92,80,57,58,35,68
BK28,Bensonhurst West,289,116,106,78,59,71,47,71,21,71,26,63,183,104,106,87,77,83
BK29,Bensonhurst East,223,103,114,78,59,62,55,69,19,56,36,64,109,84,22,54,87,82
BK30,Dyker Heights,190,101,73,69,35,65,38,53,0,51,38,53,117,88,35,57,82,84
BK31,Bay Ridge,801,190,358,138,224,117,134,96,9,67,125,95,443,138,400,132,43,77
BK32,Sunset Park West,824,181,469,140,222,115,247,97,41,60,206,90,355,125,266,109,89,74
BK33,Carroll Gardens-Columbia Street-Red Hook,1801,227,1060,204,189,105,871,199,141,117,730,183,741,167,705,162,36,58
BK34,Sunset Park East,656,175,498,161,160,92,338,138,118,102,220,107,158,89,121,82,37,64
BK35,Stuyvesant Heights,18662,535,11241,530,3342,372,7899,505,1439,274,6460,472,7421,502,6509,482,912,217
BK37,Park Slope-Gowanus,1999,294,1010,219,660,186,350,131,186,109,164,89,989,211,752,186,237,109
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3372,251,1832,218,379,124,1453,213,165,90,1288,200,1540,222,1416,213,124,72
