area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
BK09,Brooklyn Heights-Cobble Hill,255,120,0,29,0,29,0,29,255,120,117,69,138,102
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,202,133,47,87,0,55,47,87,155,115,78,84,77,68
BK19,Brighton Beach,319,202,26,44,26,44,0,38,293,200,75,65,218,190
BK21,Seagate-Coney Island,91,76,15,49,0,38,15,49,76,69,35,54,41,57
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,146,108,12,50,0,48,12,50,134,107,24,55,110,92
BK26,Gravesend,102,77,14,36,0,36,14,36,88,71,19,44,69,64
BK27,Bath Beach,24,43,0,40,0,40,0,40,24,43,23,45,1,38
BK28,Bensonhurst West,104,76,0,64,0,64,0,64,104,76,59,67,45,69
BK29,Bensonhurst East,193,104,38,59,38,59,0,51,155,88,79,74,76,68
BK30,Dyker Heights,97,76,0,51,0,51,0,51,97,76,18,53,79,75
BK31,Bay Ridge,480,174,30,69,19,67,11,67,450,167,120,90,330,131
BK32,Sunset Park West,331,128,0,49,0,49,0,49,331,128,105,75,226,102
BK33,Carroll Gardens-Columbia Street-Red Hook,490,199,17,46,6,44,11,46,473,197,86,60,387,191
BK34,Sunset Park East,356,142,17,60,17,60,0,59,339,140,64,67,275,132
BK35,Stuyvesant Heights,261,112,38,66,25,64,13,54,223,104,30,60,193,99
BK37,Park Slope-Gowanus,607,170,50,68,50,68,0,58,557,165,206,90,351,145
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,472,150,30,45,18,43,12,44,442,148,81,64,361,139
BK40,Windsor Terrace,218,122,0,32,0,32,0,32,218,122,26,39,192,117
BK41,Kensington-Ocean Parkway,258,125,30,50,30,50,0,40,228,118,127,89,101,73
BK42,Flatbush,568,180,38,75,23,69,15,71,530,177,144,93,386,156
BK43,Midwood,157,86,6,50,0,51,6,50,151,85,68,63,83,72
BK44,Madison,49,53,6,46,6,46,0,46,43,52,22,49,21,50
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,171,106,0,55,0,55,0,55,171,106,36,59,135,102
BK46,Ocean Parkway South,59,66,0,36,0,36,0,36,59,66,19,39,40,50
BK50,Canarsie,167,100,14,74,14,74,0,70,153,98,67,76,86,91
BK58,Flatlands,212,125,0,62,0,62,0,62,212,125,81,79,131,113
BK60,Prospect Lefferts Gardens-Wingate,435,179,60,77,60,77,0,58,375,172,69,92,306,154
BK61,Crown Heights North,535,163,26,74,26,74,0,67,509,161,89,82,420,148
BK63,Crown Heights South,59,54,8,40,8,40,0,40,51,54,0,40,51,54
BK64,Prospect Heights,169,78,19,40,19,40,0,32,150,72,42,43,108,62
BK68,Fort Greene,447,164,0,38,0,38,0,38,447,164,95,57,352,157
BK69,Clinton Hill,333,103,26,45,15,43,11,42,307,98,56,51,251,90
BK72,Williamsburg,56,59,8,36,8,36,0,36,48,58,48,58,0,36
BK73,North Side-South Side,413,163,0,48,0,48,0,48,413,163,122,76,291,131
BK75,Bedford,445,150,19,56,19,56,0,56,426,149,162,90,264,110
BK76,Greenpoint,343,145,0,42,0,42,0,42,343,145,59,61,284,137
BK77,Bushwick North,365,134,0,54,0,54,0,54,365,134,129,77,236,96
BK78,Bushwick South,644,209,39,63,29,61,10,58,605,207,154,102,451,184
BK79,Ocean Hill,81,55,0,38,0,38,0,38,81,55,25,44,56,50
BK81,Brownsville,141,90,32,60,21,58,11,53,109,83,57,68,52,64
BK82,East New York,314,135,12,63,8,64,4,64,302,134,129,83,173,110
BK83,Cypress Hills-City Line,217,84,10,51,0,49,10,51,207,79,103,66,104,63
BK85,East New York (Pennsylvania Ave),48,66,0,36,0,36,0,36,48,66,15,39,33,49
BK88,Borough Park,58,77,0,68,0,68,0,68,58,77,28,69,30,70
BK90,East Williamsburg,133,75,0,40,0,40,0,40,133,75,43,50,90,64
BK91,East Flatbush-Farragut,253,113,13,57,13,57,0,54,240,112,56,56,184,107
BK93,Starrett City,28,33,0,24,0,24,0,24,28,33,14,29,14,29
BK95,Erasmus,256,144,32,47,0,36,32,47,224,134,65,63,159,97
BK96,Rugby-Remsen Village,162,93,11,55,0,54,11,55,151,92,46,65,105,76
