area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
BK09,Brooklyn Heights-Cobble Hill,557,181,23,37,23,37,0,29,534,178,226,111,308,142
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1406,271,24,58,23,60,1,52,1382,269,388,158,994,237
BK19,Brighton Beach,1051,273,9,40,0,38,9,40,1042,269,582,162,460,179
BK21,Seagate-Coney Island,1838,364,206,105,103,80,103,75,1632,343,385,138,1247,297
BK23,West Brighton,59,93,0,27,0,27,0,27,59,93,0,27,59,93
BK25,Homecrest,676,211,21,56,21,56,0,48,655,209,295,133,360,152
BK26,Gravesend,1365,352,31,41,6,36,25,40,1334,348,648,200,686,269
BK27,Bath Beach,961,288,57,72,57,72,0,40,904,281,347,127,557,243
BK28,Bensonhurst West,3459,492,192,122,94,92,98,102,3267,473,1761,323,1506,341
BK29,Bensonhurst East,1827,368,95,85,95,85,0,51,1732,362,953,216,779,231
BK30,Dyker Heights,1254,292,24,56,24,56,0,51,1230,291,442,144,788,244
BK31,Bay Ridge,4239,521,366,147,152,110,214,131,3873,508,1519,261,2354,417
BK32,Sunset Park West,8437,640,689,178,355,139,334,135,7748,612,3462,373,4286,498
BK33,Carroll Gardens-Columbia Street-Red Hook,2258,421,31,49,0,45,31,49,2227,418,767,224,1460,359
BK34,Sunset Park East,6445,548,327,125,160,97,167,94,6118,546,2534,334,3584,417
BK35,Stuyvesant Heights,3934,516,281,129,81,77,200,115,3653,508,1096,218,2557,438
BK37,Park Slope-Gowanus,3440,532,128,94,99,91,29,61,3312,526,966,230,2346,449
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2308,357,110,77,61,65,49,55,2198,360,646,186,1552,300
BK40,Windsor Terrace,1076,265,124,88,76,80,48,50,952,248,322,120,630,212
BK41,Kensington-Ocean Parkway,1316,376,39,55,0,40,39,55,1277,365,557,172,720,299
BK42,Flatbush,5727,681,361,146,165,106,196,117,5366,662,2061,359,3305,523
BK43,Midwood,661,228,30,62,0,51,30,62,631,225,194,122,437,189
BK44,Madison,749,237,18,48,18,48,0,46,731,237,251,103,480,199
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1179,275,104,86,73,82,31,61,1075,266,562,180,513,171
BK46,Ocean Parkway South,396,150,61,73,61,73,0,36,335,136,171,100,164,88
BK50,Canarsie,2091,369,125,90,69,83,56,78,1966,362,774,189,1192,276
BK58,Flatlands,1494,286,91,80,27,64,64,80,1403,273,542,159,861,204
BK60,Prospect Lefferts Gardens-Wingate,2168,496,82,76,19,59,63,75,2086,493,635,244,1451,384
BK61,Crown Heights North,3446,499,308,137,141,116,167,102,3138,482,806,200,2332,420
BK63,Crown Heights South,602,178,51,52,25,47,26,46,551,170,203,102,348,139
BK64,Prospect Heights,597,177,14,32,6,31,8,33,583,175,207,88,376,145
BK68,Fort Greene,1375,288,76,61,46,56,30,55,1299,286,338,124,961,266
BK69,Clinton Hill,1535,305,97,68,71,66,26,50,1438,298,357,152,1081,252
BK72,Williamsburg,960,225,26,41,0,36,26,41,934,222,371,124,563,207
BK73,North Side-South Side,4735,523,143,82,65,62,78,67,4592,522,1535,268,3057,431
BK75,Bedford,3879,504,295,120,72,68,223,114,3584,491,1229,239,2355,386
BK76,Greenpoint,1572,290,38,62,38,62,0,42,1534,287,440,150,1094,287
BK77,Bushwick North,12985,791,962,225,261,108,701,199,12023,767,4487,445,7536,641
BK78,Bushwick South,11911,839,577,169,249,116,328,137,11334,827,4033,459,7301,673
BK79,Ocean Hill,1644,315,117,73,48,48,69,67,1527,298,566,177,961,228
BK81,Brownsville,3424,573,248,135,93,84,155,113,3176,552,884,228,2292,476
BK82,East New York,7148,654,545,170,245,125,300,129,6603,635,2042,315,4561,533
BK83,Cypress Hills-City Line,8623,642,469,142,141,80,328,122,8154,629,3209,368,4945,535
BK85,East New York (Pennsylvania Ave),2444,370,275,122,132,90,143,87,2169,351,610,160,1559,291
BK88,Borough Park,2483,393,165,108,18,71,147,106,2318,384,939,236,1379,296
BK90,East Williamsburg,3230,480,62,65,36,50,26,57,3168,475,978,237,2190,388
BK91,East Flatbush-Farragut,908,222,79,81,64,78,15,58,829,207,245,120,584,167
BK93,Starrett City,637,296,94,96,16,29,78,95,543,289,67,73,476,285
BK95,Erasmus,807,247,11,38,0,36,11,38,796,245,273,127,523,183
BK96,Rugby-Remsen Village,693,227,68,73,37,65,31,63,625,216,175,98,450,186
BK99,park-cemetery-etc-Brooklyn,32,50,0,40,0,40,0,40,32,50,0,40,32,50
BX01,Claremont-Bathgate,5296,516,398,181,76,64,322,168,4898,495,1291,216,3607,461
BX03,Eastchester-Edenwald-Baychester,2524,377,112,93,79,90,33,47,2412,365,671,192,1741,352
BX05,Bedford Park-Fordham North,10771,788,604,187,235,109,369,157,10167,763,3016,370,7151,666
BX06,Belmont,4499,553,385,139,104,76,281,126,4114,532,1271,294,2843,424
BX07,Bronxdale,4453,540,287,128,86,71,201,114,4166,534,1331,276,2835,448
BX08,West Farms-Bronx River,6930,674,628,193,252,129,376,150,6302,654,1876,352,4426,583
BX09,Soundview-Castle Hill-Clason Point-Harding Park,9680,895,330,126,72,67,258,115,9350,876,2665,396,6685,775
BX10,Pelham Bay-Country Club-City Island,2279,443,119,101,71,71,48,78,2160,436,714,218,1446,351
BX13,Co-op City,3122,711,178,136,65,77,113,114,2944,693,1120,331,1824,475
BX14,East Concourse-Concourse Village,10539,845,546,178,181,97,365,156,9993,818,3269,417,6724,729
BX17,East Tremont,7956,590,497,175,153,91,344,154,7459,580,1899,305,5560,512
BX22,North Riverdale-Fieldston-Riverdale,1608,285,83,87,37,53,46,81,1525,269,463,133,1062,216
