area_id,area_name,b14004001,b14004001_moe,b14004002,b14004002_moe,b14004003,b14004003_moe,b14004004,b14004004_moe,b14004005,b14004005_moe,b14004006,b14004006_moe,b14004007,b14004007_moe,b14004008,b14004008_moe,b14004009,b14004009_moe,b14004010,b14004010_moe,b14004011,b14004011_moe,b14004012,b14004012_moe,b14004013,b14004013_moe,b14004014,b14004014_moe,b14004015,b14004015_moe,b14004016,b14004016_moe,b14004017,b14004017_moe,b14004018,b14004018_moe,b14004019,b14004019_moe,b14004020,b14004020_moe,b14004021,b14004021_moe,b14004022,b14004022_moe,b14004023,b14004023_moe,b14004024,b14004024_moe,b14004025,b14004025_moe,b14004026,b14004026_moe,b14004027,b14004027_moe,b14004028,b14004028_moe,b14004029,b14004029_moe,b14004030,b14004030_moe,b14004031,b14004031_moe,b14004032,b14004032_moe,b14004033,b14004033_moe
BK09,Brooklyn Heights-Cobble Hill,20870,1002,10413,688,333,189,0,29,241,162,72,65,20,33,1036,246,0,29,610,213,263,107,163,95,9044,640,183,104,486,195,2281,310,6094,487,10457,575,288,140,12,35,124,80,54,57,98,73,736,222,7,30,436,186,282,125,11,31,9433,515,176,94,298,127,2857,340,6102,466
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,52291,1285,23917,818,1602,291,90,86,1089,242,247,111,176,80,592,173,8,55,245,104,222,112,117,96,21723,761,981,220,983,248,3036,374,16723,604,28374,865,1689,292,14,58,1046,241,281,118,348,119,799,178,0,55,327,99,314,131,158,83,25886,818,898,218,1071,262,3623,444,20294,684
BK19,Brighton Beach,27260,1021,12385,675,780,212,0,38,517,185,203,122,60,52,266,122,0,38,86,67,155,97,25,40,11339,630,504,160,647,215,1980,320,8208,491,14875,645,879,245,0,38,675,222,139,97,65,49,406,140,0,38,197,90,168,100,41,45,13590,582,428,154,554,180,1408,257,11200,506
BK21,Seagate-Coney Island,25312,995,11585,739,766,253,38,56,550,204,116,86,62,49,230,112,0,38,91,84,50,64,89,64,10589,715,915,258,1198,328,1298,377,7178,502,13727,636,566,183,8,38,267,127,185,107,106,83,280,114,0,38,79,59,66,64,135,81,12881,617,793,206,918,253,1232,252,9938,455
BK23,West Brighton,14371,587,6041,401,181,108,0,27,90,65,67,86,24,35,105,74,0,27,37,49,57,56,11,30,5755,385,150,80,160,97,395,145,5050,365,8330,429,358,151,0,27,216,134,76,60,66,59,299,118,0,27,197,102,69,60,33,40,7673,404,36,39,67,55,444,186,7126,335
BK25,Homecrest,33500,1021,16491,663,975,213,25,63,676,177,176,88,98,82,759,197,12,48,524,166,173,89,50,55,14757,580,842,176,863,195,2338,332,10714,468,17009,577,795,184,7,48,439,129,258,111,91,60,470,130,17,49,186,82,194,98,73,57,15744,538,838,176,974,199,2590,301,11342,461
BK26,Gravesend,23570,972,10671,604,417,155,0,36,292,136,98,69,27,41,280,125,0,36,154,105,46,45,80,63,9974,575,356,123,684,209,1553,287,7381,445,12899,603,858,204,0,36,332,112,393,159,133,86,254,98,0,36,149,84,44,46,61,52,11787,588,658,190,548,176,1446,277,9135,433
BK27,Bath Beach,24303,973,11787,638,779,195,0,40,413,119,261,119,105,91,329,117,0,40,206,73,110,85,13,41,10679,599,420,116,710,198,1878,365,7671,409,12516,544,568,154,0,40,233,89,217,117,118,75,530,150,0,40,282,115,149,88,99,58,11418,500,262,96,526,173,1954,278,8676,442
BK28,Bensonhurst West,71813,1717,34526,1107,2023,328,9,64,1516,279,407,143,91,72,969,282,7,63,371,151,448,198,143,90,31534,1008,1410,222,2121,355,6091,603,21912,737,37287,1006,2388,319,31,71,1519,254,613,173,225,99,990,201,0,64,538,159,328,120,124,75,33909,921,1893,274,1762,300,6056,523,24198,742
BK29,Bensonhurst East,51376,1311,25030,824,1473,244,0,51,933,206,419,131,121,74,432,142,9,52,149,91,195,108,79,60,23125,775,915,209,1275,273,4213,510,16722,615,26346,819,1524,252,12,56,823,188,529,144,160,85,1048,221,0,51,615,164,228,110,205,92,23774,764,990,204,1128,233,3928,409,17728,646
