area_id,area_name,b14007b001,b14007b001_moe,b14007b002,b14007b002_moe,b14007b003,b14007b003_moe,b14007b004,b14007b004_moe,b14007b005,b14007b005_moe,b14007b006,b14007b006_moe,b14007b007,b14007b007_moe,b14007b008,b14007b008_moe,b14007b009,b14007b009_moe,b14007b010,b14007b010_moe,b14007b011,b14007b011_moe,b14007b012,b14007b012_moe,b14007b013,b14007b013_moe,b14007b014,b14007b014_moe,b14007b015,b14007b015_moe,b14007b016,b14007b016_moe,b14007b017,b14007b017_moe,b14007b018,b14007b018_moe,b14007b019,b14007b019_moe
BK09,Brooklyn Heights-Cobble Hill,1264,343,221,104,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,14,34,33,59,126,78,48,55,1043,309
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4434,699,1183,324,0,55,134,104,30,59,9,55,85,101,34,68,0,55,84,120,61,79,129,110,106,111,71,75,52,101,50,65,251,138,87,99,3251,519
BK19,Brighton Beach,477,220,91,80,31,60,0,38,0,38,0,38,0,38,0,38,11,42,0,38,0,38,1,36,0,38,0,38,0,38,8,39,40,57,0,38,386,193
BK21,Seagate-Coney Island,10512,1042,3519,572,187,103,149,92,71,63,283,145,128,100,92,82,139,73,74,70,149,94,112,93,308,133,133,94,383,161,375,151,900,288,36,46,6993,813
BK23,West Brighton,168,112,14,35,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,35,154,105
BK25,Homecrest,462,269,157,177,0,48,0,48,0,48,0,48,0,48,0,48,0,48,70,122,0,48,2,47,0,48,35,70,1,47,1,47,48,64,0,48,305,149
BK26,Gravesend,2280,543,792,364,17,43,81,96,53,70,0,36,40,54,0,36,131,112,42,72,0,36,50,67,47,76,71,89,52,66,19,51,189,121,0,36,1488,308
BK27,Bath Beach,641,407,295,254,0,40,0,40,0,40,39,69,8,40,32,51,0,40,18,49,0,40,0,40,108,125,0,40,0,40,0,40,47,57,43,74,346,195
BK28,Bensonhurst West,695,214,131,104,0,64,25,66,8,64,0,64,21,65,0,64,0,64,0,64,10,65,9,63,9,63,1,63,0,64,0,64,43,82,5,63,564,185
BK29,Bensonhurst East,613,245,103,89,0,51,0,51,0,51,3,50,12,53,0,51,0,51,0,51,0,51,17,56,17,56,30,68,0,51,0,51,14,54,10,52,510,194
BK30,Dyker Heights,505,231,173,133,27,65,0,51,0,51,0,51,8,50,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,13,54,115,118,10,52,332,156
BK31,Bay Ridge,1637,409,407,149,70,95,27,72,0,66,0,66,0,66,7,65,0,66,12,67,0,66,10,64,10,66,23,68,0,66,1,65,161,92,86,80,1230,327
BK32,Sunset Park West,2716,451,428,156,59,88,31,59,3,48,0,49,28,57,0,49,0,49,21,58,0,49,0,49,0,49,27,56,33,63,34,58,141,87,51,67,2288,385
BK33,Carroll Gardens-Columbia Street-Red Hook,4660,612,1749,387,68,73,29,58,126,102,19,45,185,116,107,100,112,72,68,77,7,45,139,109,181,116,67,81,111,88,183,129,288,160,59,71,2911,408
BK34,Sunset Park East,1927,534,679,258,48,75,0,59,39,66,0,59,23,61,0,59,10,59,27,71,93,88,84,86,48,76,75,80,29,66,6,58,146,134,51,70,1248,369
BK35,Stuyvesant Heights,46202,1911,13066,1086,863,225,686,184,661,192,492,164,770,196,479,151,712,201,741,197,486,158,470,153,777,234,969,230,818,222,1009,219,2692,383,441,147,33136,1319
BK37,Park Slope-Gowanus,5002,783,1111,355,143,93,59,85,118,117,105,101,24,61,21,60,75,74,93,88,56,100,23,60,16,62,55,70,48,66,13,60,197,126,65,68,3891,537
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8307,791,2450,460,49,52,100,80,230,123,85,79,74,62,84,73,141,92,108,76,141,90,108,81,151,95,75,60,173,111,191,103,611,220,129,93,5857,548
BK40,Windsor Terrace,1426,438,191,139,0,32,15,36,0,32,0,32,6,31,45,63,0,32,0,32,16,39,23,39,7,31,0,32,33,61,0,32,37,65,9,33,1235,354
BK41,Kensington-Ocean Parkway,2800,629,567,213,67,72,25,45,41,73,15,44,5,39,0,40,0,40,36,58,56,61,53,56,0,40,41,55,11,40,57,60,117,87,43,60,2233,491
BK42,Flatbush,51393,2084,14750,1112,873,230,487,159,719,191,439,158,696,190,532,173,658,197,601,189,531,168,837,226,786,207,678,187,772,210,1117,268,4281,525,743,192,36643,1466
BK43,Midwood,2592,541,571,202,4,50,50,67,12,51,64,80,4,50,55,71,35,58,15,55,29,57,33,58,24,62,29,56,33,58,29,54,135,84,20,55,2021,447
BK44,Madison,402,223,135,98,0,46,0,46,1,45,0,46,0,46,0,46,0,46,0,46,13,49,0,46,0,46,0,46,0,46,40,77,68,73,13,49,267,159
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5751,893,2005,461,197,139,54,75,236,129,61,70,157,111,147,98,76,85,56,68,123,94,48,62,89,87,107,93,76,76,96,83,434,174,48,71,3746,566
BK46,Ocean Parkway South,158,90,59,59,14,38,0,36,0,36,0,36,9,37,0,36,0,36,0,36,10,37,0,36,0,36,0,36,0,36,0,36,13,38,13,40,99,58
BK50,Canarsie,69832,2050,25050,1230,1272,245,1189,222,1170,244,855,189,1124,211,1009,211,766,165,1051,194,970,196,1234,231,1241,222,1500,251,1341,243,1619,273,7079,611,1630,255,44782,1378
BK58,Flatlands,49658,1698,15940,969,900,250,442,163,563,151,792,195,788,191,625,155,411,125,596,157,862,204,560,158,763,179,768,177,971,211,932,200,4865,496,1102,204,33718,1172
BK60,Prospect Lefferts Gardens-Wingate,52616,2167,14746,1146,932,269,880,230,633,192,585,170,547,190,612,206,627,205,683,193,578,177,619,195,511,171,759,215,818,216,866,207,4260,519,836,235,37870,1673
BK61,Crown Heights North,73919,2213,20942,1250,1037,232,1018,243,639,188,945,219,977,237,1013,225,1055,232,1094,241,1178,258,1172,249,1202,246,1275,252,1502,292,1555,306,4468,507,812,202,52977,1593
BK63,Crown Heights South,26367,1403,7743,811,317,124,281,131,317,129,360,128,308,140,413,166,305,114,514,158,340,145,361,127,361,142,260,127,262,108,698,216,2270,375,376,138,18624,941
BK64,Prospect Heights,5753,721,1121,301,71,59,19,35,64,77,48,64,45,61,42,41,14,36,80,70,68,69,25,45,40,37,61,57,91,74,27,51,343,146,83,59,4632,598
BK68,Fort Greene,11342,851,3237,466,161,125,204,124,40,48,148,88,52,59,76,57,129,95,146,81,131,76,212,113,196,91,117,76,86,66,82,50,1185,254,272,137,8105,667
BK69,Clinton Hill,14773,1046,3723,517,194,91,145,100,147,85,36,52,243,110,210,106,138,84,191,120,103,89,159,84,187,91,167,87,126,84,148,76,1345,284,184,90,11050,763
BK72,Williamsburg,857,181,206,100,0,36,0,36,17,43,30,53,0,36,0,36,13,38,44,57,0,36,0,36,0,36,0,36,16,41,0,36,34,49,52,81,651,162
BK73,North Side-South Side,2473,532,539,207,26,61,32,51,14,46,40,54,50,62,37,61,34,62,4,48,7,48,36,63,14,50,0,48,18,51,58,57,135,96,34,51,1934,428
BK75,Bedford,36339,1661,10225,861,485,159,484,150,238,111,442,147,522,168,330,119,454,164,612,171,512,162,620,177,500,168,643,177,932,217,601,157,2380,377,470,154,26114,1189
BK76,Greenpoint,287,118,69,61,6,42,0,42,0,42,0,42,0,42,5,41,0,42,6,42,0,42,0,42,0,42,6,42,0,42,3,40,24,54,19,50,218,107
BK77,Bushwick North,7450,1062,2280,561,117,86,60,73,109,84,106,86,59,77,170,105,63,73,147,110,139,92,129,91,96,85,106,82,213,112,194,98,520,200,52,61,5170,709
BK78,Bushwick South,21667,1509,6617,753,227,109,360,135,436,173,229,119,322,126,248,112,369,154,392,148,333,124,395,145,265,118,367,146,291,139,440,146,1644,327,299,129,15050,1006
