area_id,area_name,b16005a001,b16005a001_moe,b16005a002,b16005a002_moe,b16005a003,b16005a003_moe,b16005a004,b16005a004_moe,b16005a005,b16005a005_moe,b16005a006,b16005a006_moe,b16005a007,b16005a007_moe,b16005a008,b16005a008_moe,b16005a009,b16005a009_moe,b16005a010,b16005a010_moe,b16005a011,b16005a011_moe
BK09,Brooklyn Heights-Cobble Hill,17565,900,14941,853,13461,819,1480,332,1332,316,148,77,2624,411,854,191,1770,374,1400,290,370,181
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,43584,1375,23968,1189,18759,1116,5209,627,3957,528,1252,294,19616,1097,1333,305,18283,1087,5994,652,12289,913
BK19,Brighton Beach,24163,1111,6665,727,3325,532,3340,532,2339,463,1001,270,17498,924,404,137,17094,918,2995,451,14099,862
BK21,Seagate-Coney Island,12248,1022,6417,873,3607,645,2810,611,1412,460,1398,373,5831,589,233,111,5598,587,799,211,4799,529
BK23,West Brighton,14746,686,5726,581,4153,541,1573,384,934,258,639,315,9020,724,362,145,8658,740,2591,473,6067,583
BK25,Homecrest,33128,1277,19437,1117,13550,1042,5887,765,3642,552,2245,541,13691,861,1397,252,12294,838,3921,456,8373,681
BK26,Gravesend,16015,919,8650,802,6063,690,2587,470,1121,278,1466,388,7365,710,481,196,6884,699,1593,357,5291,594
BK27,Bath Beach,16487,997,10723,835,8006,737,2717,416,1880,322,837,261,5764,654,293,127,5471,642,1477,309,3994,521
BK28,Bensonhurst West,45574,1686,25244,1397,17827,1221,7417,780,5211,636,2206,447,20330,1149,1719,339,18611,1114,4403,486,14208,967
BK29,Bensonhurst East,31961,1254,15612,919,10952,844,4660,535,2931,420,1729,347,16349,1005,732,192,15617,1006,3901,488,11716,884
BK30,Dyker Heights,25111,1122,18169,974,13966,888,4203,548,3294,481,909,257,6942,725,691,183,6251,707,2199,325,4052,568
BK31,Bay Ridge,59531,1758,42063,1473,33261,1336,8802,897,7294,838,1508,329,17468,1175,2607,415,14861,1098,6131,630,8730,838
BK32,Sunset Park West,22644,1460,14769,1047,7908,734,6861,746,4374,585,2487,365,7875,939,466,142,7409,929,1761,337,5648,791
BK33,Carroll Gardens-Columbia Street-Red Hook,24157,994,20963,986,18216,938,2747,426,2132,361,615,180,3194,417,1025,215,2169,356,1378,270,791,218
BK34,Sunset Park East,20461,1366,12770,1000,5567,646,7203,815,4713,620,2490,420,7691,885,563,176,7128,858,1429,290,5699,784
BK35,Stuyvesant Heights,7052,946,5334,784,3339,636,1995,436,1197,320,798,229,1718,438,236,128,1482,403,588,208,894,301
BK37,Park Slope-Gowanus,49549,1529,43593,1471,38883,1406,4710,573,3899,511,811,198,5956,562,2350,364,3606,453,2210,339,1396,281
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17055,873,14672,814,12090,726,2582,401,1955,352,627,156,2383,319,773,183,1610,301,1055,232,555,194
BK40,Windsor Terrace,15419,834,12734,816,11003,778,1731,376,1438,330,293,116,2685,424,501,141,2184,410,1010,258,1174,302
BK41,Kensington-Ocean Parkway,18935,1228,11271,1010,7969,868,3302,666,2602,629,700,241,7664,793,759,237,6905,770,1718,340,5187,640
BK42,Flatbush,26871,1625,16769,1414,12669,1284,4100,609,2993,479,1107,309,10102,986,999,233,9103,957,2440,425,6663,790
BK43,Midwood,38080,1411,23818,1263,19070,1146,4748,695,3725,569,1023,290,14262,898,1380,269,12882,882,3257,404,9625,771
