area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
BK09,Brooklyn Heights-Cobble Hill,83,64,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,83,64,72,61,52,53,37,57,15,36,0,29,20,43,11,32,11,32,0,29,0,29,0,29,0,29,11,32,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,79,78,30,70,0,55,0,55,0,55,0,55,0,55,0,55,30,70,30,70,30,70,0,55,30,70,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,49,64,33,60,14,58,14,58,0,55,0,55,19,57,16,60,0,55,0,55,0,55,0,55,0,55,0,55,16,60,16,60,0,55,0,55,16,60,0,55
BK19,Brighton Beach,215,122,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,215,122,116,79,80,65,25,44,0,38,55,59,36,57,99,101,0,38,0,38,0,38,0,38,0,38,0,38,99,101,0,38,0,38,0,38,0,38,99,101
BK21,Seagate-Coney Island,42,54,24,52,0,38,0,38,0,38,0,38,0,38,0,38,24,52,0,38,0,38,0,38,0,38,0,38,0,38,24,52,24,52,0,38,24,52,0,38,0,38,18,41,14,43,14,43,0,38,0,38,14,43,0,38,4,37,0,38,0,38,0,38,0,38,0,38,0,38,4,37,0,38,0,38,0,38,0,38,4,37
BK23,West Brighton,14,31,7,26,7,26,0,27,0,27,0,27,0,27,7,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,0,27,7,27
BK25,Homecrest,92,85,37,75,0,48,0,48,0,48,0,48,0,48,0,48,37,75,0,48,0,48,0,48,0,48,0,48,0,48,37,75,37,75,0,48,0,48,37,75,0,48,55,62,55,62,24,55,5,47,0,48,19,56,31,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,77,55,30,47,30,47,30,47,0,36,11,36,19,44,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,47,47,26,44,0,36,0,36,0,36,0,36,26,44,21,39,0,36,0,36,0,36,0,36,0,36,0,36,21,39,14,40,0,36,0,36,14,40,7,35
BK27,Bath Beach,80,61,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,80,61,74,62,30,46,14,43,0,40,16,43,44,55,6,37,1,38,1,38,0,40,0,40,1,38,0,40,5,39,0,40,0,40,0,40,0,40,5,39
BK28,Bensonhurst West,180,91,7,63,7,63,7,63,7,63,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,173,90,89,76,38,70,8,64,20,68,10,64,51,70,84,78,32,71,17,68,0,64,0,64,17,68,15,67,52,71,45,71,0,64,15,66,30,69,7,64
BK29,Bensonhurst East,177,88,25,58,25,58,25,58,0,51,9,52,16,56,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,152,83,118,76,91,72,9,52,27,57,55,67,27,54,34,58,18,57,18,57,0,51,0,51,18,57,0,51,16,52,6,50,0,51,0,51,6,50,10,52
