area_id,area_name,b17020b001,b17020b001_moe,b17020b002,b17020b002_moe,b17020b003,b17020b003_moe,b17020b004,b17020b004_moe,b17020b005,b17020b005_moe,b17020b006,b17020b006_moe,b17020b007,b17020b007_moe,b17020b008,b17020b008_moe,b17020b009,b17020b009_moe,b17020b010,b17020b010_moe,b17020b011,b17020b011_moe,b17020b012,b17020b012_moe,b17020b013,b17020b013_moe,b17020b014,b17020b014_moe,b17020b015,b17020b015_moe,b17020b016,b17020b016_moe,b17020b017,b17020b017_moe
BK09,Brooklyn Heights-Cobble Hill,1148,338,265,112,16,37,0,29,0,29,14,34,190,106,14,35,31,47,883,320,0,29,0,29,0,29,0,29,613,244,156,101,114,101
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4469,735,1385,487,113,111,45,74,35,75,161,119,841,313,136,113,54,62,3084,663,244,148,45,69,202,145,251,193,1978,463,237,123,127,83
BK19,Brighton Beach,520,263,178,103,31,60,0,38,0,38,0,38,103,69,34,56,10,42,342,245,61,78,0,38,11,42,8,39,245,179,1,36,16,37
BK21,Seagate-Coney Island,10591,1060,3935,937,375,184,67,65,522,219,405,198,2258,632,112,68,196,93,6656,818,133,80,78,70,278,135,748,236,4291,642,648,210,480,220
BK23,West Brighton,168,112,2,24,0,27,0,27,0,27,0,27,2,24,0,27,0,27,166,112,0,27,0,27,0,27,0,27,62,66,53,68,51,68
BK25,Homecrest,480,272,78,78,0,48,0,48,0,48,0,48,70,77,2,47,6,46,402,263,22,58,0,48,70,122,34,71,239,140,32,59,5,45
BK26,Gravesend,2338,580,826,394,58,96,81,96,145,106,22,47,455,213,18,38,47,45,1512,522,0,36,17,43,121,121,197,169,935,279,198,124,44,64
BK27,Bath Beach,627,407,47,51,0,40,0,40,0,40,0,40,47,51,0,40,0,40,580,404,21,50,0,40,97,81,147,179,246,160,29,53,40,68
BK28,Bensonhurst West,716,235,159,95,18,65,0,64,0,64,18,67,97,70,10,61,16,68,557,222,55,79,15,66,39,69,10,65,406,163,29,67,3,63
BK29,Bensonhurst East,598,246,182,144,2,50,0,51,3,50,30,68,119,102,28,59,0,51,416,199,13,54,0,51,18,57,34,73,309,150,41,62,1,50
BK30,Dyker Heights,456,228,95,91,0,51,0,51,8,50,0,51,87,85,0,51,0,51,361,192,27,65,0,51,0,51,0,51,316,165,18,52,0,51
BK31,Bay Ridge,1740,481,334,172,51,86,0,66,0,66,17,71,198,114,36,71,32,64,1406,432,164,164,76,99,19,67,24,71,1081,267,24,67,18,63
BK32,Sunset Park West,1920,415,211,132,37,77,0,49,0,49,8,49,149,90,9,50,8,46,1709,391,58,63,69,93,49,64,19,57,1357,321,113,78,44,55
BK33,Carroll Gardens-Columbia Street-Red Hook,4563,630,1950,572,70,77,25,58,307,177,295,167,1121,328,80,72,52,62,2613,571,100,83,44,68,267,122,239,133,1670,424,127,88,166,98
BK34,Sunset Park East,1887,527,545,310,52,76,30,72,28,63,119,108,312,201,0,59,4,50,1342,424,0,59,42,72,44,63,140,91,1094,366,11,57,11,59
BK35,Stuyvesant Heights,48099,2012,12674,1396,1209,322,187,94,1470,358,1560,413,6932,764,758,174,558,140,35425,1886,2153,369,388,150,2215,370,2490,377,24480,1315,2391,312,1308,223
BK37,Park Slope-Gowanus,5039,827,552,188,0,58,0,58,17,62,25,59,409,158,18,58,83,78,4487,811,271,144,51,85,425,192,185,124,2971,497,313,123,271,138
