area_id,area_name,b18101d001,b18101d001_moe,b18101d002,b18101d002_moe,b18101d003,b18101d003_moe,b18101d004,b18101d004_moe,b18101d005,b18101d005_moe,b18101d006,b18101d006_moe,b18101d007,b18101d007_moe,b18101d008,b18101d008_moe,b18101d009,b18101d009_moe,b18101d010,b18101d010_moe
BK09,Brooklyn Heights-Cobble Hill,1713,400,107,94,15,37,92,89,1492,351,96,96,1396,340,114,85,52,72,62,52
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9815,1118,2088,414,47,75,2041,406,6613,745,464,235,6149,682,1114,256,310,105,804,230
BK19,Brighton Beach,4162,737,1013,281,8,38,1005,280,2811,506,134,71,2677,502,338,122,127,79,211,92
BK21,Seagate-Coney Island,3078,595,659,211,30,49,629,202,2004,476,60,55,1944,469,415,139,110,77,305,124
BK23,West Brighton,110,99,13,32,0,27,13,32,59,57,0,27,59,57,38,51,8,28,30,45
BK25,Homecrest,4336,805,982,336,9,50,973,334,2858,543,64,58,2794,533,496,189,217,115,279,136
BK26,Gravesend,6585,924,1553,376,59,52,1494,364,4563,621,152,82,4411,609,469,187,162,99,307,154
BK27,Bath Beach,9224,1059,2369,400,40,49,2329,398,6366,733,270,114,6096,706,489,150,182,106,307,105
BK28,Bensonhurst West,32298,1825,7574,711,27,66,7547,710,22133,1330,829,210,21304,1285,2591,366,750,174,1841,323
BK29,Bensonhurst East,23673,1641,5373,665,50,54,5323,664,16097,1138,323,109,15774,1133,2203,334,634,174,1569,288
BK30,Dyker Heights,16714,1424,4291,637,26,57,4265,635,11193,933,416,137,10777,908,1230,259,447,151,783,221
BK31,Bay Ridge,11657,1109,2111,366,57,75,2054,361,8104,813,329,142,7775,794,1442,262,418,136,1024,229
BK32,Sunset Park West,8567,1023,1889,379,22,51,1867,374,5832,777,210,108,5622,782,846,205,265,108,581,176
BK33,Carroll Gardens-Columbia Street-Red Hook,2338,571,366,157,0,45,366,157,1833,496,41,50,1792,494,139,85,44,53,95,74
BK34,Sunset Park East,35196,1808,8374,742,69,64,8305,741,24324,1328,732,191,23592,1311,2498,366,794,193,1704,314
BK35,Stuyvesant Heights,1874,547,443,208,0,51,443,208,1330,384,45,63,1285,370,101,94,90,93,11,53
BK37,Park Slope-Gowanus,4666,634,373,143,0,58,373,143,4074,576,106,109,3968,566,219,162,54,74,165,154
