area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
BK09,Brooklyn Heights-Cobble Hill,1747,390,162,104,5,31,157,104,1365,332,62,60,1303,327,220,108,53,48,167,100
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4783,784,1658,471,36,75,1622,467,2576,411,206,96,2370,402,549,181,205,105,344,151
BK19,Brighton Beach,4116,793,1159,336,20,45,1139,332,2669,535,86,66,2583,533,288,138,189,121,99,78
BK21,Seagate-Coney Island,7009,1003,2116,506,143,116,1973,485,3993,645,468,148,3525,613,900,255,462,161,438,181
BK23,West Brighton,169,143,53,63,0,27,53,63,92,104,59,93,33,54,24,35,24,35,0,27
BK25,Homecrest,2881,670,744,304,10,49,734,304,1856,464,128,120,1728,450,281,142,39,64,242,136
BK26,Gravesend,4263,886,1396,471,13,38,1383,476,2518,521,303,138,2215,480,349,140,231,121,118,80
BK27,Bath Beach,3521,828,967,349,5,39,962,349,2316,573,118,68,2198,565,238,155,46,70,192,118
BK28,Bensonhurst West,12499,1511,3512,625,22,65,3490,626,8180,1044,407,151,7773,1017,807,248,276,130,531,201
BK29,Bensonhurst East,7363,1082,2107,455,49,64,2058,453,4767,725,187,82,4580,715,489,191,128,69,361,182
BK30,Dyker Heights,4179,806,1056,321,59,97,997,312,2884,586,140,77,2744,576,239,124,54,61,185,115
BK31,Bay Ridge,13363,1286,4018,636,64,82,3954,625,8723,829,553,213,8170,805,622,169,224,115,398,145
BK32,Sunset Park West,32869,1810,9492,871,234,114,9258,856,21152,1223,1193,240,19959,1217,2225,323,1113,228,1112,225
BK33,Carroll Gardens-Columbia Street-Red Hook,8410,932,1908,449,81,70,1827,423,5412,657,790,255,4622,634,1090,277,505,199,585,203
BK34,Sunset Park East,23738,1505,6219,731,175,99,6044,717,15774,1156,1407,254,14367,1132,1745,303,868,184,877,237
BK35,Stuyvesant Heights,13565,1297,4352,660,234,142,4118,629,8106,826,1012,232,7094,794,1107,258,502,163,605,207
BK37,Park Slope-Gowanus,12631,1276,2739,528,133,104,2606,504,8296,894,661,214,7635,865,1596,276,576,168,1020,224
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8295,865,1879,454,149,131,1730,454,5243,625,1052,235,4191,587,1173,229,607,170,566,172
BK40,Windsor Terrace,3522,674,920,333,70,56,850,321,2271,408,130,90,2141,405,331,124,81,52,250,116
BK41,Kensington-Ocean Parkway,5019,1037,1285,451,90,115,1195,444,3301,688,335,133,2966,663,433,129,174,91,259,101
BK42,Flatbush,20026,1879,5349,844,26,83,5323,843,13674,1322,766,196,12908,1301,1003,241,438,135,565,197
BK43,Midwood,3246,710,805,303,10,51,795,303,2249,508,202,124,2047,485,192,92,79,66,113,70
BK44,Madison,2685,646,839,260,36,64,803,264,1734,432,88,78,1646,431,112,73,52,54,60,66
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4154,787,1139,330,60,75,1079,319,2841,553,216,104,2625,515,174,94,42,59,132,89
BK46,Ocean Parkway South,1679,587,362,189,0,36,362,189,1205,443,130,86,1075,408,112,103,58,58,54,63
BK50,Canarsie,7320,954,1921,433,43,79,1878,432,4798,691,507,166,4291,652,601,177,236,126,365,139
BK58,Flatlands,5575,852,1666,439,16,63,1650,437,3365,509,183,84,3182,495,544,160,168,87,376,135
BK60,Prospect Lefferts Gardens-Wingate,6941,1030,1836,499,76,96,1760,478,4286,730,393,170,3893,707,819,210,332,133,487,181
BK61,Crown Heights North,11544,1290,2551,467,184,122,2367,425,8097,966,953,244,7144,928,896,245,493,155,403,148
BK63,Crown Heights South,3130,587,734,268,27,48,707,265,2084,425,161,104,1923,424,312,120,131,72,181,95
BK64,Prospect Heights,2524,497,568,208,7,31,561,207,1672,363,57,60,1615,354,284,125,94,69,190,89
BK68,Fort Greene,4966,685,1131,312,70,82,1061,285,3308,514,423,158,2885,493,527,118,330,98,197,87
BK69,Clinton Hill,5941,777,1395,371,9,40,1386,370,4084,568,256,127,3828,540,462,139,190,90,272,117
BK72,Williamsburg,3759,616,1001,320,0,36,1001,320,2129,408,262,125,1867,381,629,179,350,142,279,125
