area_id,area_name,b18103001,b18103001_moe,b18103002,b18103002_moe,b18103003,b18103003_moe,b18103004,b18103004_moe,b18103005,b18103005_moe,b18103006,b18103006_moe,b18103007,b18103007_moe,b18103008,b18103008_moe,b18103009,b18103009_moe,b18103010,b18103010_moe,b18103011,b18103011_moe,b18103012,b18103012_moe,b18103013,b18103013_moe,b18103014,b18103014_moe,b18103015,b18103015_moe,b18103016,b18103016_moe,b18103017,b18103017_moe,b18103018,b18103018_moe,b18103019,b18103019_moe,b18103020,b18103020_moe,b18103021,b18103021_moe,b18103022,b18103022_moe,b18103023,b18103023_moe,b18103024,b18103024_moe,b18103025,b18103025_moe,b18103026,b18103026_moe,b18103027,b18103027_moe,b18103028,b18103028_moe,b18103029,b18103029_moe,b18103030,b18103030_moe,b18103031,b18103031_moe,b18103032,b18103032_moe,b18103033,b18103033_moe,b18103034,b18103034_moe,b18103035,b18103035_moe,b18103036,b18103036_moe,b18103037,b18103037_moe,b18103038,b18103038_moe,b18103039,b18103039_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,11805,792,709,162,24,37,685,160,866,252,24,41,842,250,3953,461,57,81,3896,455,4948,433,45,46,4903,430,845,173,31,56,814,170,484,147,13,33,471,146,11693,644,829,177,13,35,816,179,602,176,0,29,602,176,4051,418,40,46,4011,415,4659,404,115,101,4544,401,765,171,9,30,756,171,787,217,78,78,709,200
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61288,1616,28604,1040,1482,349,11,56,1471,349,4350,497,0,55,4350,497,5822,525,10,56,5812,525,12460,565,147,81,12313,563,2281,282,124,86,2157,273,2209,269,421,134,1788,240,32684,1097,1657,324,0,55,1657,324,3795,464,0,55,3795,464,6662,543,7,55,6655,543,13848,597,193,98,13655,598,2956,299,332,126,2624,281,3766,377,893,206,2873,316
BK19,Brighton Beach,31530,1324,14441,819,845,235,0,38,845,235,1767,298,0,38,1767,298,3586,463,38,47,3548,460,5774,438,110,70,5664,434,1026,187,126,75,900,173,1443,223,636,193,807,153,17089,793,721,210,0,38,721,210,1921,347,0,38,1921,347,3141,392,0,38,3141,392,7007,442,217,104,6790,453,1745,246,372,137,1373,225,2554,288,1173,225,1381,218
BK21,Seagate-Coney Island,29406,1273,13579,846,663,195,4,37,659,195,2553,437,26,45,2527,434,3303,541,48,67,3255,546,4764,447,115,70,4649,442,1281,240,152,98,1129,214,1015,226,279,128,736,177,15827,793,686,216,0,38,686,216,2553,377,0,38,2553,377,2737,388,0,38,2737,388,6490,419,146,72,6344,427,1744,270,121,71,1623,261,1617,236,365,113,1252,226
BK23,West Brighton,15410,683,6490,437,94,58,0,27,94,58,567,145,13,31,554,142,796,198,28,39,768,191,2624,353,95,65,2529,352,1364,264,42,40,1322,265,1045,198,102,58,943,194,8920,499,277,165,0,27,277,165,349,139,0,27,349,139,1069,234,11,30,1058,234,3668,366,116,65,3552,368,1707,276,165,93,1542,258,1850,266,200,104,1650,263
BK25,Homecrest,41893,1458,20736,892,1205,262,27,63,1178,251,3921,461,43,60,3878,458,4748,480,10,49,4738,481,7879,444,33,55,7846,444,1642,242,45,67,1597,237,1341,196,201,87,1140,187,21157,817,1393,262,0,48,1393,262,3617,433,0,48,3617,433,4641,391,12,50,4629,390,7521,422,146,75,7375,421,2117,259,110,76,2007,251,1868,231,327,112,1541,209
BK26,Gravesend,27759,1258,12635,731,635,186,0,36,635,186,1685,334,30,39,1655,334,2827,386,37,44,2790,385,4724,377,138,77,4586,371,1527,284,11,37,1516,282,1237,229,246,128,991,202,15124,795,801,211,0,36,801,211,2082,408,23,39,2059,409,2912,356,4,33,2908,357,5852,390,111,69,5741,384,1976,293,91,51,1885,291,1501,239,363,141,1138,204
BK27,Bath Beach,29100,1245,14358,791,1090,231,0,40,1090,231,1964,360,8,40,1956,359,3578,471,26,47,3552,471,5525,391,86,79,5439,385,1237,203,36,46,1201,200,964,176,168,83,796,163,14742,689,717,194,25,55,692,190,1919,283,8,40,1911,283,3361,386,18,41,3343,386,5894,417,68,54,5826,415,1511,225,15,39,1496,224,1340,206,232,97,1108,190
BK28,Bensonhurst West,86412,2161,41776,1354,2373,345,0,64,2373,345,6409,568,18,64,6391,567,10932,848,39,66,10893,848,16655,679,183,88,16472,680,3018,324,112,89,2906,317,2389,305,223,108,2166,285,44636,1292,2718,357,0,64,2718,357,6628,612,13,63,6615,611,10816,670,16,64,10800,670,16779,635,218,102,16561,634,3837,342,150,79,3687,339,3858,397,389,117,3469,385
BK29,Bensonhurst East,61057,1648,30037,1009,1672,305,0,51,1672,305,4268,441,9,52,4259,441,7184,616,41,59,7143,613,12295,565,165,88,12130,566,2595,293,101,65,2494,289,2023,261,225,85,1798,252,31020,1010,1655,283,0,51,1655,283,4021,461,40,58,3981,460,7251,563,5,50,7246,563,12514,598,135,75,12379,597,2828,291,123,64,2705,287,2751,280,314,99,2437,265
BK30,Dyker Heights,44934,1499,22269,950,1657,274,0,51,1657,274,3212,392,0,51,3212,392,5870,588,41,61,5829,588,8451,460,47,54,8404,458,1631,233,0,51,1631,233,1448,212,101,69,1347,204,22665,882,1050,230,0,51,1050,230,3374,431,3,50,3371,430,5089,478,0,51,5089,478,9202,475,66,54,9136,474,1929,231,24,49,1905,230,2021,241,164,79,1857,227
BK31,Bay Ridge,83453,1976,39627,1247,2669,365,0,66,2669,365,5946,555,14,66,5932,555,9743,663,22,67,9721,663,16951,675,247,123,16704,675,2364,268,64,69,2300,268,1954,228,168,83,1786,219,43826,1227,2575,373,0,66,2575,373,5842,614,45,74,5797,614,10739,635,55,81,10684,631,17254,655,153,94,17101,655,3552,317,68,65,3484,317,3864,341,423,115,3441,328
BK32,Sunset Park West,52486,1676,27186,1140,2208,356,0,49,2208,356,4403,490,28,55,4375,490,9910,752,23,62,9887,752,8968,577,113,71,8855,574,979,211,71,66,908,208,718,165,255,112,463,123,25300,1030,2132,328,0,49,2132,328,4083,478,36,57,4047,478,7782,565,0,49,7782,565,8695,464,148,84,8547,467,1291,196,83,67,1208,190,1317,232,230,101,1087,221
BK33,Carroll Gardens-Columbia Street-Red Hook,38965,1308,18296,974,1344,260,0,45,1344,260,2685,424,0,45,2685,424,5117,552,21,47,5096,551,7655,541,156,93,7499,540,875,210,50,60,825,204,620,168,61,81,559,149,20669,864,1054,221,0,45,1054,221,2611,342,41,68,2570,335,6512,629,9,45,6503,629,8208,496,179,106,8029,486,1102,195,74,75,1028,188,1182,245,193,116,989,213
BK34,Sunset Park East,71445,2070,36548,1338,2735,374,0,59,2735,374,6756,647,54,70,6702,644,11699,806,27,64,11672,804,12917,642,104,72,12813,643,1281,230,46,69,1235,230,1160,199,99,79,1061,187,34897,1175,2739,420,0,59,2739,420,5438,564,43,66,5395,563,9953,656,17,64,9936,656,13449,584,354,129,13095,576,1638,245,72,66,1566,248,1680,234,268,104,1412,214
