area_id,area_name,b19025b001,b19025b001_moe
BK09,Brooklyn Heights-Cobble Hill,51553300,21117459
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,54395100,10917652
BK19,Brighton Beach,7970800,7082798
BK21,Seagate-Coney Island,132953400,17962679
BK23,West Brighton,3699800,3748796
BK25,Homecrest,4370800,4023687
BK26,Gravesend,25978600,8161709
BK27,Bath Beach,3972200,3928398
BK28,Bensonhurst West,3072300,2488707
BK29,Bensonhurst East,4847200,3684358
BK30,Dyker Heights,4489100,4644922
BK31,Bay Ridge,35275200,10805025
BK32,Sunset Park West,52968800,17315724
BK33,Carroll Gardens-Columbia Street-Red Hook,58785100,14094664
BK34,Sunset Park East,29302600,11114836
BK35,Stuyvesant Heights,975808700,52079656
BK37,Park Slope-Gowanus,201983900,42201838
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,186048700,34496829
BK40,Windsor Terrace,54296600,18422217
BK41,Kensington-Ocean Parkway,69156700,21101244
BK42,Flatbush,1053118600,52365856
BK43,Midwood,53734000,12294584
BK44,Madison,5501400,4470210
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,144344900,22503779
BK50,Canarsie,1725011300,64233166
BK58,Flatlands,1226866900,54531622
BK60,Prospect Lefferts Gardens-Wingate,1047489500,51906290
BK61,Crown Heights North,1478870600,73708127
BK63,Crown Heights South,534590600,37282447
BK64,Prospect Heights,217979500,43136747
BK68,Fort Greene,299546600,47453602
BK69,Clinton Hill,465482600,44326529
BK72,Williamsburg,10405800,6453078
BK73,North Side-South Side,47609800,14949751
BK75,Bedford,736579400,45408389
BK76,Greenpoint,8022000,10958699
BK77,Bushwick North,101677300,16196351
BK78,Bushwick South,345297800,29825841
BK79,Ocean Hill,454053900,37013517
BK81,Brownsville,632467000,35150428
BK82,East New York,1017575000,54316641
BK83,Cypress Hills-City Line,199067000,27414682
BK85,East New York (Pennsylvania Ave),331699900,25901094
BK88,Borough Park,4652900,3227980
BK90,East Williamsburg,61514400,15247549
BK91,East Flatbush-Farragut,1098109100,47603492
BK93,Starrett City,141681800,35262496
BK95,Erasmus,492283300,35974502
BK96,Rugby-Remsen Village,1090028500,52938133
BX01,Claremont-Bathgate,153891500,15777427
BX03,Eastchester-Edenwald-Baychester,512732500,36494283
BX05,Bedford Park-Fordham North,190854900,25467844
BX06,Belmont,61967200,9931921
BX07,Bronxdale,234401400,22480213
BX08,West Farms-Bronx River,177791400,23344586
BX09,Soundview-Castle Hill-Clason Point-Harding Park,430061900,38205586
BX10,Pelham Bay-Country Club-City Island,20648000,11628096
BX13,Co-op City,703866700,56158543
BX14,East Concourse-Concourse Village,418205500,30178791
BX17,East Tremont,166714800,18196251
BX22,North Riverdale-Fieldston-Riverdale,78538700,18859805
BX26,Highbridge,217320100,28345490
BX27,Hunts Point,85520600,24933197
BX28,Van Cortlandt Village,214330700,23992781
BX29,Spuyten Duyvil-Kingsbridge,73396800,15545396
BX30,Kingsbridge Heights,133946900,24698122
BX31,Allerton-Pelham Gardens,244116100,30055813
BX33,Longwood,81562200,12951705
BX34,Melrose South-Mott Haven North,162507500,17137937
BX35,Morrisania-Melrose,210488600,19830869
BX36,University Heights-Morris Heights,260713700,23343729
BX37,Van Nest-Morris Park-Westchester Square,44435500,12381394
BX39,Mott Haven-Port Morris,165233700,18281444
BX40,Fordham South,112823400,17141761
BX41,Mount Hope,214998400,20100156
BX43,Norwood,158113400,23226790
BX44,Williamsbridge-Olinville,825220800,39632613
BX46,Parkchester,384775100,38858011
BX49,Pelham Parkway,75222500,15566975
BX52,Schuylerville-Throgs Neck-Edgewater Park,109943800,29627440
BX55,Soundview-Bruckner,162807800,20162522
BX59,Westchester-Unionport,85777800,15847661
BX62,Woodlawn-Wakefield,614425900,37944952
BX63,West Concourse,171399000,21031957
BX75,Crotona Park East,75206900,11829405
BX99,park-cemetery-etc-Bronx,3954400,1934469
MN01,Marble Hill-Inwood,126360000,25405745
MN03,Central Harlem North-Polo Grounds,1097207300,68919840
MN04,Hamilton Heights,530651200,89979710
MN06,Manhattanville,119350400,16071613
MN09,Morningside Heights,157132100,26758387
MN11,Central Harlem South,621676000,58100851
MN12,Upper West Side,357937200,58829119
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,130357400,48799155
MN14,Lincoln Square,90172400,60823452
MN15,Clinton,77829100,21080316
MN17,Midtown-Midtown South,36645800,17829874
MN19,Turtle Bay-East Midtown,75283700,38434678
MN20,Murray Hill-Kips Bay,45955000,21626917
MN21,Gramercy,35210700,32642545
MN22,East Village,46903200,18061134
MN23,West Village,24776100,16428246
MN24,SoHo-TriBeCa-Civic Center-Little Italy,28501700,13314074
MN25,Battery Park City-Lower Manhattan,81439600,44542389
MN27,Chinatown,17004200,10721009
MN28,Lower East Side,110769500,19460115
MN31,Lenox Hill-Roosevelt Island,96009300,68837967
MN32,Yorkville,109331900,34157417
MN33,East Harlem South,281727500,34694881
MN34,East Harlem North,420137300,45756942
MN35,Washington Heights North,130841100,27429703
MN36,Washington Heights South,328989800,40461876
MN40,Upper East Side-Carnegie Hill,13205000,9616037
MN50,Stuyvesant Town-Cooper Village,44686800,21703561
QN01,South Jamaica,509257600,34238250
QN02,Springfield Gardens North,575362800,40964451
QN03,Springfield Gardens South-Brookville,441641700,29864116
QN05,Rosedale,629613000,43285604
QN06,Jamaica Estates-Holliswood,216450900,28287542
QN07,Hollis,333119900,34635766
QN08,St. Albans,1163915400,53013247
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,48404200,13590627
QN12,Hammels-Arverne-Edgemere,384709200,35633881
