Age of Householder by Household Income (American Indian and Alaska Native Alone Householder)
--------------------------------------------------------------------------------------------
Universe: Households With a Householder Who Is American Indian and Alaska Native Alone

B19037C001 Total:
B19037C002  Householder under 25 years:
B19037C003   Less than $10,000
B19037C004   $10,000 to $14,999
B19037C005   $15,000 to $19,999
B19037C006   $20,000 to $24,999
B19037C007   $25,000 to $29,999
B19037C008   $30,000 to $34,999
B19037C009   $35,000 to $39,999
B19037C010   $40,000 to $44,999
B19037C011   $45,000 to $49,999
B19037C012   $50,000 to $59,999
B19037C013   $60,000 to $74,999
B19037C014   $75,000 to $99,999
B19037C015   $100,000 to $124,999
B19037C016   $125,000 to $149,999
B19037C017   $150,000 to $199,999
B19037C018   $200,000 or more
B19037C019  Householder 25 to 44 years:
B19037C020   Less than $10,000
B19037C021   $10,000 to $14,999
B19037C022   $15,000 to $19,999
B19037C023   $20,000 to $24,999
B19037C024   $25,000 to $29,999
B19037C025   $30,000 to $34,999
B19037C026   $35,000 to $39,999
B19037C027   $40,000 to $44,999
B19037C028   $45,000 to $49,999
B19037C029   $50,000 to $59,999
B19037C030   $60,000 to $74,999
B19037C031   $75,000 to $99,999
B19037C032   $100,000 to $124,999
B19037C033   $125,000 to $149,999
B19037C034   $150,000 to $199,999
B19037C035   $200,000 or more
B19037C036  Householder 45 to 64 years:
B19037C037   Less than $10,000
B19037C038   $10,000 to $14,999
B19037C039   $15,000 to $19,999
B19037C040   $20,000 to $24,999
B19037C041   $25,000 to $29,999
B19037C042   $30,000 to $34,999
B19037C043   $35,000 to $39,999
B19037C044   $40,000 to $44,999
B19037C045   $45,000 to $49,999
B19037C046   $50,000 to $59,999
B19037C047   $60,000 to $74,999
B19037C048   $75,000 to $99,999
B19037C049   $100,000 to $124,999
B19037C050   $125,000 to $149,999
B19037C051   $150,000 to $199,999
B19037C052   $200,000 or more
B19037C053  Householder 65 years and over:
B19037C054   Less than $10,000
B19037C055   $10,000 to $14,999
B19037C056   $15,000 to $19,999
B19037C057   $20,000 to $24,999
B19037C058   $25,000 to $29,999
B19037C059   $30,000 to $34,999
B19037C060   $35,000 to $39,999
B19037C061   $40,000 to $44,999
B19037C062   $45,000 to $49,999
B19037C063   $50,000 to $59,999
B19037C064   $60,000 to $74,999
B19037C065   $75,000 to $99,999
B19037C066   $100,000 to $124,999
B19037C067   $125,000 to $149,999
B19037C068   $150,000 to $199,999
B19037C069   $200,000 or more
