area_id,area_name,b19082001,b19082001_moe,b19082002,b19082002_moe,b19082003,b19082003_moe,b19082004,b19082004_moe,b19082005,b19082005_moe,b19082006,b19082006_moe
BK09,Brooklyn Heights-Cobble Hill,16,2,47,4,77,5,128,7,332,14,149,14
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,56,5,156,8,283,9,456,11,849,20,306,15
BK19,Brighton Beach,24,4,63,8,126,7,221,11,467,20,188,16
BK21,Seagate-Coney Island,34,4,64,5,103,6,166,8,334,14,131,13
BK23,West Brighton,12,1,26,2,46,3,73,4,144,6,47,4
BK25,Homecrest,60,6,143,9,228,11,354,16,815,31,369,37
BK26,Gravesend,32,4,70,5,114,7,188,10,395,17,156,22
BK27,Bath Beach,37,5,92,7,167,11,259,13,545,27,223,32
BK28,Bensonhurst West,105,6,235,9,390,12,625,15,1245,27,469,23
BK29,Bensonhurst East,73,5,165,8,263,10,427,14,872,25,357,28
BK30,Dyker Heights,72,6,163,9,268,10,407,11,790,22,298,19
BK31,Bay Ridge,91,6,228,9,380,11,607,15,1293,29,530,28
BK32,Sunset Park West,42,5,106,6,180,8,291,9,580,18,221,15
BK33,Carroll Gardens-Columbia Street-Red Hook,42,5,111,7,180,9,272,11,595,24,255,25
BK34,Sunset Park East,48,6,122,7,202,11,343,13,685,21,263,17
BK35,Stuyvesant Heights,45,5,145,8,262,11,445,12,904,24,345,19
BK37,Park Slope-Gowanus,77,6,191,8,305,9,463,11,964,24,399,23
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,39,5,105,7,176,9,279,12,602,23,249,29
BK40,Windsor Terrace,21,3,59,5,99,4,146,5,276,11,107,11
BK41,Kensington-Ocean Parkway,29,3,65,5,120,7,195,7,391,14,146,9
BK42,Flatbush,85,7,237,10,411,11,636,13,1230,25,459,19
BK43,Midwood,39,4,106,7,211,11,366,13,778,24,318,22
BK44,Madison,54,4,130,8,225,9,352,10,640,17,221,11
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,69,6,177,9,281,8,399,9,673,18,245,14
BK46,Ocean Parkway South,25,4,66,6,119,8,189,9,402,19,162,17
BK50,Canarsie,114,11,308,13,493,14,699,15,1186,26,406,16
BK58,Flatlands,116,8,270,10,429,11,636,12,1049,23,360,16
