area_id,area_name,b19101f001,b19101f001_moe,b19101f002,b19101f002_moe,b19101f003,b19101f003_moe,b19101f004,b19101f004_moe,b19101f005,b19101f005_moe,b19101f006,b19101f006_moe,b19101f007,b19101f007_moe,b19101f008,b19101f008_moe,b19101f009,b19101f009_moe,b19101f010,b19101f010_moe,b19101f011,b19101f011_moe,b19101f012,b19101f012_moe,b19101f013,b19101f013_moe,b19101f014,b19101f014_moe,b19101f015,b19101f015_moe,b19101f016,b19101f016_moe,b19101f017,b19101f017_moe
BK09,Brooklyn Heights-Cobble Hill,113,109,0,29,0,29,0,29,0,29,29,52,0,29,0,29,0,29,0,29,0,29,52,88,0,29,0,29,0,29,0,29,32,55
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,288,157,119,119,0,55,14,58,0,55,33,67,65,95,27,69,0,55,0,55,17,59,0,55,13,57,0,55,0,55,0,55,0,55
BK19,Brighton Beach,147,94,15,44,0,38,0,38,3,37,28,57,18,42,0,38,29,58,0,38,32,53,0,38,0,38,22,50,0,38,0,38,0,38
BK21,Seagate-Coney Island,699,199,61,56,123,115,43,54,104,87,20,46,38,67,120,85,28,50,36,53,18,41,10,39,76,77,22,51,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,244,110,27,64,0,48,21,56,57,79,40,61,49,62,0,48,0,48,0,48,0,48,24,53,0,48,26,52,0,48,0,48,0,48
BK26,Gravesend,453,149,38,65,170,127,52,81,42,73,0,36,12,36,0,36,18,44,35,63,22,40,12,39,22,56,6,35,0,36,0,36,24,42
BK27,Bath Beach,400,171,77,102,0,40,0,40,0,40,0,40,39,53,99,105,0,40,19,50,63,68,30,51,33,48,40,71,0,40,0,40,0,40
BK28,Bensonhurst West,753,203,49,75,14,65,7,63,66,84,104,96,115,103,93,99,19,66,29,76,82,98,89,85,74,85,0,64,12,65,0,64,0,64
BK29,Bensonhurst East,513,161,39,65,29,54,0,51,46,62,31,59,115,98,52,75,12,52,43,64,19,58,44,63,33,63,0,51,50,75,0,51,0,51
BK30,Dyker Heights,253,117,0,51,35,63,13,54,46,69,19,56,33,70,0,51,0,51,0,51,17,50,49,68,12,53,29,66,0,51,0,51,0,51
BK31,Bay Ridge,1073,242,29,72,0,66,12,67,124,103,13,67,90,118,110,104,91,92,68,88,99,102,174,103,153,114,51,75,27,68,32,70,0,66
BK32,Sunset Park West,3662,369,290,120,226,102,322,119,445,156,322,120,250,111,215,107,329,134,197,94,324,134,213,101,216,110,144,82,87,80,22,56,60,69
BK33,Carroll Gardens-Columbia Street-Red Hook,1291,272,158,113,245,131,28,54,13,47,50,72,55,71,69,83,31,65,62,71,67,78,241,146,41,64,11,47,132,120,57,65,31,58
BK34,Sunset Park East,2312,296,194,107,187,115,256,116,283,116,182,109,119,101,175,110,253,120,157,87,168,114,87,69,125,75,56,68,49,65,0,59,21,65
BK35,Stuyvesant Heights,1130,234,269,138,106,93,119,89,75,84,11,53,71,76,94,89,86,85,54,68,54,67,68,79,59,69,9,52,50,66,5,51,0,51
BK37,Park Slope-Gowanus,1407,283,123,114,60,89,112,95,37,61,151,107,105,106,67,80,141,104,23,66,213,126,75,81,122,94,120,113,0,58,41,73,17,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1034,207,187,111,158,107,43,55,160,109,0,42,65,77,132,89,61,72,0,42,20,49,46,59,18,47,35,68,25,57,84,84,0,42
BK40,Windsor Terrace,290,123,0,32,0,32,0,32,45,77,25,43,0,32,0,32,17,49,0,32,32,48,14,35,78,68,25,49,29,49,7,29,18,39
BK41,Kensington-Ocean Parkway,740,214,8,40,0,40,48,66,85,84,48,67,60,75,0,40,88,81,15,42,6,39,186,121,31,53,69,70,43,61,16,44,37,66
BK42,Flatbush,2441,364,65,83,128,92,300,160,264,145,108,107,160,106,133,105,176,129,264,150,241,139,206,135,177,110,127,105,33,73,36,72,23,71
BK43,Midwood,383,170,16,56,14,55,36,63,0,51,147,131,62,91,2,50,9,52,0,51,0,51,42,68,31,63,17,57,0,51,0,51,7,51
BK44,Madison,142,80,0,46,0,46,0,46,0,46,39,57,14,51,0,46,0,46,0,46,7,46,0,46,0,46,0,46,0,46,82,70,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,258,123,0,55,0,55,25,60,5,54,9,55,7,55,22,64,24,61,0,55,0,55,29,62,70,82,33,65,0,55,34,73,0,55
BK46,Ocean Parkway South,243,122,18,45,19,46,59,65,0,36,10,38,45,59,0,36,34,64,0,36,0,36,12,39,33,60,0,36,0,36,13,39,0,36
BK50,Canarsie,1039,222,200,116,57,78,61,89,60,81,48,84,81,104,46,76,25,73,47,85,117,107,57,85,115,115,44,77,13,72,11,71,57,94
BK58,Flatlands,459,154,31,66,0,62,52,83,22,65,30,77,0,62,39,76,42,68,22,70,14,66,71,87,45,75,19,64,23,70,23,64,26,67
BK60,Prospect Lefferts Gardens-Wingate,779,233,37,71,140,111,25,66,93,130,0,58,127,160,0,58,0,58,5,57,145,113,34,66,127,107,24,65,0,58,22,65,0,58
BK61,Crown Heights North,1322,250,242,127,195,125,170,108,66,86,95,92,75,93,30,75,101,92,16,69,156,102,67,85,61,81,48,86,0,67,0,67,0,67
BK63,Crown Heights South,337,143,0,40,58,66,0,40,100,92,31,62,22,52,0,40,38,58,0,40,15,44,0,40,42,52,11,42,20,52,0,40,0,40
