area_id,area_name,b19113g001,b19113g001_moe
BK09,Brooklyn Heights-Cobble Hill,163063,80092
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,178125,15361
BK19,Brighton Beach,182344,119668
BK23,West Brighton,57500,136973
BK25,Homecrest,37109,54299
BK26,Gravesend,9474,44819
BK27,Bath Beach,232079,111746
BK28,Bensonhurst West,232453,144346
BK29,Bensonhurst East,206668,90348
BK30,Dyker Heights,64205,25851
BK31,Bay Ridge,265160,199170
BK32,Sunset Park West,344147,539917
BK33,Carroll Gardens-Columbia Street-Red Hook,236856,136660
BK34,Sunset Park East,150342,149423
BK35,Stuyvesant Heights,249447,228699
BK37,Park Slope-Gowanus,1293988,223608
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,118692,78777
BK41,Kensington-Ocean Parkway,254253,86487
BK42,Flatbush,432420,340853
BK43,Midwood,120365,113235
BK44,Madison,139875,38032
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,228048,99388
BK50,Canarsie,77813,20732
BK58,Flatlands,298334,113695
BK60,Prospect Lefferts Gardens-Wingate,218782,45594
BK61,Crown Heights North,290096,185970
BK64,Prospect Heights,23977,78049
BK68,Fort Greene,600957,412291
BK69,Clinton Hill,496201,264021
BK72,Williamsburg,101719,131223
BK73,North Side-South Side,96133,97831
BK75,Bedford,366698,194229
BK76,Greenpoint,263274,281115
BK77,Bushwick North,276076,334729
BK78,Bushwick South,434589,270646
BK79,Ocean Hill,373072,336669
BK81,Brownsville,81823,116430
BK82,East New York,187663,83537
BK83,Cypress Hills-City Line,270267,254818
BK85,East New York (Pennsylvania Ave),31856,207231
BK90,East Williamsburg,86213,26504
BK91,East Flatbush-Farragut,442924,281704
BK93,Starrett City,86250,129504
BK95,Erasmus,80486,32558
BK96,Rugby-Remsen Village,29063,8286
BX01,Claremont-Bathgate,98145,122714
BX03,Eastchester-Edenwald-Baychester,292140,210979
BX05,Bedford Park-Fordham North,436510,197720
BX06,Belmont,111136,75772
BX07,Bronxdale,153254,98531
BX08,West Farms-Bronx River,273367,142396
BX09,Soundview-Castle Hill-Clason Point-Harding Park,276405,229880
BX10,Pelham Bay-Country Club-City Island,70632,135213
BX13,Co-op City,282688,189875
