area_id,area_name,b19301d001,b19301d001_moe
BK09,Brooklyn Heights-Cobble Hill,343635,73932
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,223995,26285
BK19,Brighton Beach,254942,29075
BK21,Seagate-Coney Island,89875,18107
BK23,West Brighton,39634,9052
BK25,Homecrest,209554,32822
BK26,Gravesend,152221,18636
BK27,Bath Beach,220956,24380
BK28,Bensonhurst West,470559,28127
BK29,Bensonhurst East,368367,39021
BK30,Dyker Heights,259091,31292
BK31,Bay Ridge,875507,87019
BK32,Sunset Park West,248084,48319
BK33,Carroll Gardens-Columbia Street-Red Hook,728045,168559
BK34,Sunset Park East,173583,12437
BK35,Stuyvesant Heights,329805,107586
BK37,Park Slope-Gowanus,1260990,189162
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,650879,84100
BK40,Windsor Terrace,229089,47060
BK41,Kensington-Ocean Parkway,113552,15515
BK42,Flatbush,362835,73812
BK43,Midwood,275151,26609
BK44,Madison,333136,45733
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,483931,90942
BK46,Ocean Parkway South,101343,23749
BK50,Canarsie,559025,118076
BK58,Flatlands,371620,51506
BK60,Prospect Lefferts Gardens-Wingate,322794,47696
BK61,Crown Heights North,316497,56324
BK63,Crown Heights South,172127,68340
BK64,Prospect Heights,295002,53129
BK68,Fort Greene,492267,86085
BK69,Clinton Hill,347791,69441
BK73,North Side-South Side,813623,144678
BK75,Bedford,353884,82116
BK76,Greenpoint,481772,85635
BK77,Bushwick North,198340,43545
BK78,Bushwick South,227671,37968
BK79,Ocean Hill,109217,34956
BK81,Brownsville,103139,47327
BK82,East New York,288571,53861
BK83,Cypress Hills-City Line,343430,52795
BK85,East New York (Pennsylvania Ave),29500,5176
BK88,Borough Park,312058,28499
BK90,East Williamsburg,301629,49979
BK91,East Flatbush-Farragut,201954,61308
BK93,Starrett City,12948,3133
BK95,Erasmus,80486,22064
BK96,Rugby-Remsen Village,275416,36356
BX03,Eastchester-Edenwald-Baychester,19374,4459
BX05,Bedford Park-Fordham North,209966,42451
BX06,Belmont,60506,22161
BX07,Bronxdale,168611,29626
BX08,West Farms-Bronx River,99799,16392
BX09,Soundview-Castle Hill-Clason Point-Harding Park,173069,55857
BX10,Pelham Bay-Country Club-City Island,133249,46993
BX13,Co-op City,60344,25607
BX14,East Concourse-Concourse Village,92301,17718
BX17,East Tremont,68165,19088
BX22,North Riverdale-Fieldston-Riverdale,351839,40844
BX26,Highbridge,23997,7643
BX27,Hunts Point,44590,4084
BX28,Van Cortlandt Village,199912,45969
BX29,Spuyten Duyvil-Kingsbridge,384646,78257
BX30,Kingsbridge Heights,118866,39807
BX31,Allerton-Pelham Gardens,289707,72903
BX33,Longwood,37543,23786
BX34,Melrose South-Mott Haven North,54743,15577
BX35,Morrisania-Melrose,22004,4590
BX36,University Heights-Morris Heights,16355,6936
BX37,Van Nest-Morris Park-Westchester Square,276554,61075
BX39,Mott Haven-Port Morris,45717,25685
BX40,Fordham South,32737,12847
BX41,Mount Hope,182905,21770
BX43,Norwood,97475,18980
BX44,Williamsbridge-Olinville,176321,57148
BX46,Parkchester,57651,11693
BX49,Pelham Parkway,208877,27486
BX52,Schuylerville-Throgs Neck-Edgewater Park,228472,134378
BX55,Soundview-Bruckner,125423,15459
BX59,Westchester-Unionport,131232,25758
BX62,Woodlawn-Wakefield,225125,32522
BX63,West Concourse,84320,8982
BX75,Crotona Park East,1185,2165
BX98,Rikers Island,4937,3538
BX99,park-cemetery-etc-Bronx,52338,22509
MN01,Marble Hill-Inwood,298042,160565
MN03,Central Harlem North-Polo Grounds,369067,97488
MN04,Hamilton Heights,239509,81296
