area_id,area_name,b19313f001,b19313f001_moe
BK09,Brooklyn Heights-Cobble Hill,15301900,8548415
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,7396700,3848415
BK19,Brighton Beach,7698500,5187822
BK21,Seagate-Coney Island,33436400,10650932
BK25,Homecrest,13355200,6452838
BK26,Gravesend,29733000,24918215
BK27,Bath Beach,24391200,10707781
BK28,Bensonhurst West,49722900,13731189
BK29,Bensonhurst East,32782700,11449022
BK30,Dyker Heights,14854400,7229573
BK31,Bay Ridge,88059200,16999153
BK32,Sunset Park West,237845900,27128946
BK33,Carroll Gardens-Columbia Street-Red Hook,109248300,28785066
BK34,Sunset Park East,124165800,20159833
BK35,Stuyvesant Heights,71219100,15817865
BK37,Park Slope-Gowanus,120861000,25007868
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,55740600,14763217
BK40,Windsor Terrace,36566600,13235219
BK41,Kensington-Ocean Parkway,59809800,19459185
BK42,Flatbush,165903900,26698224
BK43,Midwood,24756200,9256864
BK44,Madison,14920900,9589948
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,26978300,11635342
BK46,Ocean Parkway South,11689100,6730461
BK50,Canarsie,68679600,21366511
BK58,Flatlands,36242900,12075980
BK60,Prospect Lefferts Gardens-Wingate,56283200,14836997
BK61,Crown Heights North,64029400,13999989
BK63,Crown Heights South,28057700,10396847
BK64,Prospect Heights,29699900,12433635
BK68,Fort Greene,47728600,14777259
BK69,Clinton Hill,59762100,19604170
BK72,Williamsburg,15626200,8232716
BK73,North Side-South Side,52910200,15194988
BK75,Bedford,81612700,15883143
BK76,Greenpoint,37415300,13478986
BK77,Bushwick North,325077200,30763087
BK78,Bushwick South,225672600,29439529
BK79,Ocean Hill,59816100,16237235
BK81,Brownsville,38579900,9053307
BK82,East New York,95959700,16585301
BK83,Cypress Hills-City Line,90522800,14939276
BK85,East New York (Pennsylvania Ave),37411300,10645516
BK88,Borough Park,79714900,17692623
