area_id,area_name,b19313i001,b19313i001_moe
BK09,Brooklyn Heights-Cobble Hill,106282800,36727357
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,78789000,17903386
BK19,Brighton Beach,52481200,12662572
BK21,Seagate-Coney Island,100062700,20494753
BK25,Homecrest,53856100,13584629
BK26,Gravesend,78593700,28648149
BK27,Bath Beach,59743600,16429872
BK28,Bensonhurst West,195553300,26664704
BK29,Bensonhurst East,120403000,18662438
BK30,Dyker Heights,92812500,22039659
BK31,Bay Ridge,350803700,43169085
BK32,Sunset Park West,513702500,37623549
BK33,Carroll Gardens-Columbia Street-Red Hook,180061800,29754305
BK34,Sunset Park East,327473700,28910008
BK35,Stuyvesant Heights,195981800,25892095
BK37,Park Slope-Gowanus,355426500,45776567
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,161883600,26689233
BK40,Windsor Terrace,99149800,21029145
BK41,Kensington-Ocean Parkway,103521500,24731955
BK42,Flatbush,323879100,31533103
BK43,Midwood,54116000,12457167
BK44,Madison,56489000,14011584
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,103829900,21044603
BK46,Ocean Parkway South,30340700,11361059
BK50,Canarsie,144645200,25565258
BK58,Flatlands,119379800,20215544
BK60,Prospect Lefferts Gardens-Wingate,101028300,17556197
BK61,Crown Heights North,171956200,24246216
BK63,Crown Heights South,51827700,11982770
BK64,Prospect Heights,83590000,20307332
BK68,Fort Greene,100653700,21275616
BK69,Clinton Hill,143982000,26389340
BK72,Williamsburg,55245700,12444972
BK73,North Side-South Side,282872900,29281767
BK75,Bedford,199442000,31940112
BK76,Greenpoint,111169200,21945107
BK77,Bushwick North,611728800,44006830
BK78,Bushwick South,612088300,42481140
BK79,Ocean Hill,99030700,21710338
BK81,Brownsville,99426400,24064981
BK82,East New York,325491000,31722426
BK83,Cypress Hills-City Line,429875100,37115145
BK85,East New York (Pennsylvania Ave),97742700,16386676
BK88,Borough Park,166304700,23363584
BK90,East Williamsburg,218858100,31533860
BK91,East Flatbush-Farragut,59790300,12241337
BK93,Starrett City,36871400,11733324
BK95,Erasmus,41240600,12205526
BK96,Rugby-Remsen Village,44644300,13049541
BK99,park-cemetery-etc-Brooklyn,3463700,2961594
BX01,Claremont-Bathgate,174536500,18363663
BX03,Eastchester-Edenwald-Baychester,137989600,20797958
BX05,Bedford Park-Fordham North,515957400,47950311
BX06,Belmont,155885700,20130980
BX07,Bronxdale,257717200,28902816
BX08,West Farms-Bronx River,344980000,31906175
BX09,Soundview-Castle Hill-Clason Point-Harding Park,584105700,42386856
BX10,Pelham Bay-Country Club-City Island,227566100,38009118
BX13,Co-op City,315438700,51673357
BX14,East Concourse-Concourse Village,454506200,41098374
BX17,East Tremont,327852500,36673470
BX22,North Riverdale-Fieldston-Riverdale,142780600,24021368
BX26,Highbridge,266682000,31859657
BX27,Hunts Point,225808300,18474744
BX28,Van Cortlandt Village,499966600,40017516
BX29,Spuyten Duyvil-Kingsbridge,280553800,34780572
BX30,Kingsbridge Heights,278171000,26823552
BX31,Allerton-Pelham Gardens,215834700,29937541
BX33,Longwood,224012600,21816082
BX34,Melrose South-Mott Haven North,303740300,25612582
BX35,Morrisania-Melrose,257935400,24350876
BX36,University Heights-Morris Heights,407681800,31392829
BX37,Van Nest-Morris Park-Westchester Square,279123200,28262465
BX39,Mott Haven-Port Morris,426644700,34637747
BX40,Fordham South,191361900,28029696
BX41,Mount Hope,459732200,69401932
BX43,Norwood,350080400,43383608
BX44,Williamsbridge-Olinville,184401700,21366822
BX46,Parkchester,241951400,26351922
BX49,Pelham Parkway,228339200,27306579
BX52,Schuylerville-Throgs Neck-Edgewater Park,447454800,47451176
BX55,Soundview-Bruckner,333376700,32891095
