area_id,area_name,b20005c001,b20005c001_moe,b20005c002,b20005c002_moe,b20005c003,b20005c003_moe,b20005c004,b20005c004_moe,b20005c005,b20005c005_moe,b20005c006,b20005c006_moe,b20005c007,b20005c007_moe,b20005c008,b20005c008_moe,b20005c009,b20005c009_moe,b20005c010,b20005c010_moe,b20005c011,b20005c011_moe,b20005c012,b20005c012_moe,b20005c013,b20005c013_moe,b20005c014,b20005c014_moe,b20005c015,b20005c015_moe,b20005c016,b20005c016_moe,b20005c017,b20005c017_moe,b20005c018,b20005c018_moe,b20005c019,b20005c019_moe,b20005c020,b20005c020_moe,b20005c021,b20005c021_moe,b20005c022,b20005c022_moe,b20005c023,b20005c023_moe,b20005c024,b20005c024_moe,b20005c025,b20005c025_moe,b20005c026,b20005c026_moe,b20005c027,b20005c027_moe,b20005c028,b20005c028_moe,b20005c029,b20005c029_moe,b20005c030,b20005c030_moe,b20005c031,b20005c031_moe,b20005c032,b20005c032_moe,b20005c033,b20005c033_moe,b20005c034,b20005c034_moe,b20005c035,b20005c035_moe,b20005c036,b20005c036_moe,b20005c037,b20005c037_moe,b20005c038,b20005c038_moe,b20005c039,b20005c039_moe,b20005c040,b20005c040_moe,b20005c041,b20005c041_moe,b20005c042,b20005c042_moe,b20005c043,b20005c043_moe,b20005c044,b20005c044_moe,b20005c045,b20005c045_moe,b20005c046,b20005c046_moe,b20005c047,b20005c047_moe,b20005c048,b20005c048_moe,b20005c049,b20005c049_moe,b20005c050,b20005c050_moe,b20005c051,b20005c051_moe,b20005c052,b20005c052_moe,b20005c053,b20005c053_moe,b20005c054,b20005c054_moe,b20005c055,b20005c055_moe,b20005c056,b20005c056_moe,b20005c057,b20005c057_moe,b20005c058,b20005c058_moe,b20005c059,b20005c059_moe,b20005c060,b20005c060_moe,b20005c061,b20005c061_moe,b20005c062,b20005c062_moe,b20005c063,b20005c063_moe,b20005c064,b20005c064_moe,b20005c065,b20005c065_moe,b20005c066,b20005c066_moe,b20005c067,b20005c067_moe,b20005c068,b20005c068_moe,b20005c069,b20005c069_moe,b20005c070,b20005c070_moe,b20005c071,b20005c071_moe,b20005c072,b20005c072_moe,b20005c073,b20005c073_moe,b20005c074,b20005c074_moe,b20005c075,b20005c075_moe,b20005c076,b20005c076_moe,b20005c077,b20005c077_moe,b20005c078,b20005c078_moe,b20005c079,b20005c079_moe,b20005c080,b20005c080_moe,b20005c081,b20005c081_moe,b20005c082,b20005c082_moe,b20005c083,b20005c083_moe,b20005c084,b20005c084_moe,b20005c085,b20005c085_moe,b20005c086,b20005c086_moe,b20005c087,b20005c087_moe,b20005c088,b20005c088_moe,b20005c089,b20005c089_moe,b20005c090,b20005c090_moe,b20005c091,b20005c091_moe,b20005c092,b20005c092_moe,b20005c093,b20005c093_moe,b20005c094,b20005c094_moe,b20005c095,b20005c095_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,26,39,26,39,0,29,26,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,10,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,54,57,15,36,0,29,15,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,15,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,39,51,0,29,39,51,23,44,16,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,16,60,9,56,9,56,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55
BK19,Brighton Beach,74,76,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,67,75,21,50,0,38,21,50,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,21,50,0,38,0,38,0,38,0,38,0,38,0,38,46,67,13,42,33,65,0,38,33,65,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,126,97,71,84,26,55,0,38,26,55,0,38,0,38,13,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,13,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,45,64,35,63,10,39,10,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,55,61,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,55,61,12,39,43,61,13,42,30,58,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,20,57,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,20,57,20,57,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,35,54,19,50,0,48,19,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,10,49,0,48,0,48,0,48,9,49,0,48,0,48,0,48,0,48,0,48,16,52,16,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,107,107,40,55,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,40,55,40,55,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,67,69,14,40,0,36,14,40,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,14,40,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,53,57,53,57,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,40,69,19,43,5,39,0,40,5,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,5,39,14,44,14,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,21,53,21,53,0,40,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,511,357,396,265,242,188,0,64,242,188,0,64,0,64,0,64,0,64,28,75,0,64,0,64,14,66,0,64,0,64,0,64,45,84,30,79,68,96,57,87,0,64,0,64,0,64,0,64,0,64,154,154,3,63,151,154,0,64,0,64,16,67,57,82,27,75,13,65,0,64,38,75,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,115,115,37,75,0,64,37,75,0,64,0,64,0,64,0,64,27,75,0,64,10,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,78,88,39,75,39,78,0,64,0,64,10,64,0,64,0,64,0,64,0,64,29,77,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,58,80,58,80,27,57,0,51,27,57,0,51,0,51,27,57,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,31,62,12,53,19,61,0,51,0,51,0,51,9,52,0,51,10,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,76,104,39,65,39,65,0,51,39,65,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,18,57,21,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,37,76,37,76,0,51,37,76,0,51,0,51,0,51,0,51,0,51,0,51,37,76,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK31,Bay Ridge,315,199,153,136,96,98,0,66,96,98,0,66,0,66,0,66,0,66,0,66,0,66,0,66,29,79,18,71,0,66,0,66,0,66,39,83,0,66,0,66,0,66,0,66,0,66,0,66,10,67,57,87,0,66,57,87,0,66,18,71,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,39,83,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,162,102,44,79,0,66,44,79,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,33,78,0,66,11,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,118,93,77,83,41,78,0,66,0,66,0,66,0,66,0,66,0,66,20,71,0,66,0,66,21,73,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
BK32,Sunset Park West,646,310,405,219,171,133,0,49,171,133,0,49,0,49,0,49,0,49,19,57,0,49,104,123,15,53,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,14,55,19,56,0,49,0,49,234,118,163,107,71,70,0,49,0,49,0,49,11,49,0,49,35,59,25,62,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,241,134,10,51,0,49,10,51,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,10,51,0,49,0,49,0,49,231,133,195,122,36,60,0,49,0,49,17,55,0,49,19,55,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,12,45,12,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,12,45,12,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
