area_id,area_name,b22005g001,b22005g001_moe,b22005g002,b22005g002_moe,b22005g003,b22005g003_moe
BK09,Brooklyn Heights-Cobble Hill,224,129,0,29,224,129
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,125,84,46,74,79,68
BK19,Brighton Beach,304,139,40,44,264,138
BK21,Seagate-Coney Island,87,62,34,50,53,49
BK23,West Brighton,14,31,7,26,7,27
BK25,Homecrest,131,89,36,57,95,81
BK26,Gravesend,77,55,37,46,40,47
BK27,Bath Beach,121,68,12,41,109,66
BK28,Bensonhurst West,238,95,71,76,167,84
BK29,Bensonhurst East,236,97,52,59,184,89
BK30,Dyker Heights,71,60,39,62,32,47
BK31,Bay Ridge,451,131,88,86,363,116
BK32,Sunset Park West,369,128,44,57,325,122
BK33,Carroll Gardens-Columbia Street-Red Hook,416,146,90,97,326,116
BK34,Sunset Park East,304,105,113,75,191,90
BK35,Stuyvesant Heights,406,133,130,79,276,114
BK37,Park Slope-Gowanus,763,179,28,60,735,177
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,508,147,141,76,367,126
BK40,Windsor Terrace,102,81,29,43,73,75
BK41,Kensington-Ocean Parkway,250,114,15,43,235,112
BK42,Flatbush,653,173,123,83,530,160
BK43,Midwood,256,100,32,53,224,97
BK44,Madison,105,65,32,52,73,58
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,109,71,12,54,97,71
BK46,Ocean Parkway South,57,48,18,38,39,44
BK50,Canarsie,206,99,57,79,149,90
BK58,Flatlands,304,108,37,66,267,105
BK60,Prospect Lefferts Gardens-Wingate,429,163,47,65,382,158
BK61,Crown Heights North,855,212,200,102,655,195
BK63,Crown Heights South,132,67,48,47,84,60
BK64,Prospect Heights,203,82,11,35,192,80
BK68,Fort Greene,530,163,98,75,432,149
BK69,Clinton Hill,669,186,55,49,614,184
BK72,Williamsburg,129,84,69,59,60,65
BK73,North Side-South Side,497,154,156,96,341,124
BK75,Bedford,408,121,135,81,273,98
BK76,Greenpoint,238,112,23,46,215,110
BK77,Bushwick North,468,131,167,86,301,101
BK78,Bushwick South,574,162,327,135,247,97
BK79,Ocean Hill,215,126,42,45,173,121
BK81,Brownsville,319,114,127,82,192,90
BK82,East New York,348,111,69,70,279,103
BK83,Cypress Hills-City Line,177,70,80,55,97,63
BK85,East New York (Pennsylvania Ave),68,48,11,38,57,45
BK88,Borough Park,127,89,23,70,104,88
BK90,East Williamsburg,240,90,57,51,183,83
BK91,East Flatbush-Farragut,372,113,57,61,315,105
BK93,Starrett City,109,76,81,71,28,36
BK95,Erasmus,191,86,84,67,107,62
BK96,Rugby-Remsen Village,225,104,103,83,122,79
BK99,park-cemetery-etc-Brooklyn,27,51,0,40,27,51
BX01,Claremont-Bathgate,288,110,138,75,150,84
BX03,Eastchester-Edenwald-Baychester,231,120,50,53,181,111
BX05,Bedford Park-Fordham North,413,131,119,76,294,111
BX06,Belmont,291,137,83,76,208,132
BX07,Bronxdale,501,157,166,101,335,127
BX08,West Farms-Bronx River,816,218,301,133,515,176
BX09,Soundview-Castle Hill-Clason Point-Harding Park,339,111,90,68,249,95
BX10,Pelham Bay-Country Club-City Island,130,103,26,50,104,98
BX13,Co-op City,381,181,91,77,290,158
BX14,East Concourse-Concourse Village,494,151,249,112,245,106
BX17,East Tremont,434,127,156,72,278,111
BX22,North Riverdale-Fieldston-Riverdale,146,73,33,48,113,64
BX26,Highbridge,293,103,153,75,140,74
BX27,Hunts Point,288,101,149,71,139,72
BX28,Van Cortlandt Village,560,149,218,91,342,122
BX29,Spuyten Duyvil-Kingsbridge,318,121,28,43,290,118
BX30,Kingsbridge Heights,409,127,215,98,194,81
BX31,Allerton-Pelham Gardens,197,84,38,50,159,75
BX33,Longwood,215,80,104,58,111,55
BX34,Melrose South-Mott Haven North,274,105,163,84,111,69
BX35,Morrisania-Melrose,544,144,336,110,208,89
BX36,University Heights-Morris Heights,601,170,298,132,303,115
BX37,Van Nest-Morris Park-Westchester Square,327,113,114,76,213,91
BX39,Mott Haven-Port Morris,379,120,170,77,209,94
BX40,Fordham South,173,95,66,61,107,77
BX41,Mount Hope,502,139,249,100,253,107
