area_id,area_name,b23008001,b23008001_moe,b23008002,b23008002_moe,b23008003,b23008003_moe,b23008004,b23008004_moe,b23008005,b23008005_moe,b23008006,b23008006_moe,b23008007,b23008007_moe,b23008008,b23008008_moe,b23008009,b23008009_moe,b23008010,b23008010_moe,b23008011,b23008011_moe,b23008012,b23008012_moe,b23008013,b23008013_moe,b23008014,b23008014_moe,b23008015,b23008015_moe,b23008016,b23008016_moe,b23008017,b23008017_moe,b23008018,b23008018_moe,b23008019,b23008019_moe,b23008020,b23008020_moe,b23008021,b23008021_moe,b23008022,b23008022_moe,b23008023,b23008023_moe,b23008024,b23008024_moe,b23008025,b23008025_moe,b23008026,b23008026_moe,b23008027,b23008027_moe
BK09,Brooklyn Heights-Cobble Hill,2971,420,1613,265,1513,257,984,234,508,169,16,37,5,28,100,64,11,28,11,28,0,29,89,63,73,58,16,37,1358,342,1198,330,849,303,349,154,0,29,0,29,160,95,47,48,38,45,9,30,113,86,113,86,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11071,845,3838,520,2800,449,1783,375,965,273,40,57,12,57,1038,338,277,186,270,186,7,55,761,279,640,275,121,115,7233,654,4852,553,2944,470,1613,394,268,139,27,64,2381,442,639,259,502,210,137,155,1742,423,1272,332,470,247
BK19,Brighton Beach,4963,629,1788,381,1622,370,819,281,553,211,225,174,25,55,166,92,41,51,33,51,8,39,125,82,87,74,38,46,3175,446,2445,407,1476,321,897,274,63,62,9,39,730,247,276,169,217,153,59,79,454,183,285,131,169,132
BK21,Seagate-Coney Island,6186,755,1783,361,776,254,299,138,396,217,81,72,0,38,1007,282,74,65,46,49,28,57,933,275,701,242,232,134,4403,600,2070,459,1128,333,703,308,107,79,132,198,2333,444,124,71,112,68,12,40,2209,441,1941,423,268,172
BK23,West Brighton,1266,246,441,192,341,178,184,140,155,130,2,26,0,27,100,86,11,31,11,31,0,27,89,86,83,86,6,26,825,210,547,188,397,164,124,89,26,44,0,27,278,127,0,27,0,27,0,27,278,127,217,112,61,67
BK25,Homecrest,9808,877,3135,434,2733,413,799,218,1852,362,45,68,37,62,402,154,76,77,69,77,7,48,326,139,260,130,66,69,6673,663,5757,635,2421,430,3208,486,40,57,88,77,916,286,193,130,182,129,11,49,723,253,609,239,114,89
BK26,Gravesend,5020,695,1687,366,1231,306,481,150,706,276,5,35,39,67,456,233,0,36,0,36,0,36,456,233,370,216,86,94,3333,548,2430,455,1113,333,1041,319,173,156,103,80,903,339,0,36,0,36,0,36,903,339,822,362,81,79
BK27,Bath Beach,5600,627,2094,353,1904,343,540,157,1250,309,20,50,94,104,190,91,24,45,24,45,0,40,166,81,99,64,67,61,3506,484,2860,435,1302,340,1155,296,251,124,152,132,646,197,76,61,64,61,12,39,570,186,404,152,166,125
BK28,Bensonhurst West,17857,1057,6202,587,5186,550,1751,314,3229,475,125,95,81,87,1016,252,296,146,296,146,0,64,720,215,371,135,349,170,11655,861,9632,803,4704,575,4200,577,465,209,263,193,2023,406,641,238,613,237,28,69,1382,348,1096,316,286,138
BK29,Bensonhurst East,11383,805,4064,488,3517,469,1421,285,1973,375,91,95,32,59,547,188,156,116,156,116,0,51,391,153,136,98,255,128,7319,626,6062,592,3155,445,2759,457,96,78,52,66,1257,286,305,156,305,156,0,51,952,245,749,223,203,114
BK30,Dyker Heights,8866,782,3023,419,2324,342,1417,268,801,225,60,71,46,63,699,254,88,109,77,109,11,52,611,236,357,159,254,184,5843,620,4768,545,2659,408,1762,394,218,95,129,112,1075,331,102,70,102,70,0,51,973,328,730,297,243,133
BK31,Bay Ridge,16761,1076,6193,611,5171,541,2303,370,2571,407,240,139,57,80,1022,334,266,175,232,166,34,86,756,292,332,140,424,263,10568,845,8443,797,3791,451,3947,679,377,145,328,174,2125,414,273,128,204,113,69,89,1852,397,1473,350,379,189
BK32,Sunset Park West,12464,901,5172,549,3109,469,1416,314,1477,341,73,89,143,145,2063,392,576,252,538,251,38,54,1487,310,1006,257,481,182,7292,666,4327,556,2380,416,1745,379,181,122,21,51,2965,488,473,199,424,193,49,66,2492,457,1943,411,549,212
BK33,Carroll Gardens-Columbia Street-Red Hook,7511,663,2909,381,2118,324,1436,282,530,153,82,73,70,80,791,213,196,120,196,120,0,45,595,183,498,171,97,82,4602,537,2185,374,1528,314,577,198,40,59,40,67,2417,419,599,310,447,247,152,209,1818,400,1443,364,375,211
BK34,Sunset Park East,16274,1054,6121,617,4392,545,1884,366,2369,442,135,99,4,58,1729,340,555,205,555,205,0,59,1174,268,717,217,457,162,10153,808,7102,723,3780,517,3098,548,183,103,41,63,3051,441,673,225,616,223,57,73,2378,395,1888,351,490,180
BK35,Stuyvesant Heights,14616,1109,5299,579,1663,360,905,251,520,211,137,146,101,103,3636,480,368,166,368,166,0,51,3268,459,2359,403,909,273,9317,822,2340,436,1330,327,681,242,133,131,196,164,6977,757,741,238,628,222,113,83,6236,759,4596,674,1640,424
BK37,Park Slope-Gowanus,12673,910,5548,583,4726,545,3397,472,1184,283,117,89,28,71,822,231,255,160,255,160,0,58,567,174,530,171,37,63,7125,680,5229,576,3671,506,1357,311,194,111,7,58,1896,400,481,179,451,181,30,65,1415,367,1079,262,336,266
