area_id,area_name,b23024001,b23024001_moe,b23024002,b23024002_moe,b23024003,b23024003_moe,b23024004,b23024004_moe,b23024005,b23024005_moe,b23024006,b23024006_moe,b23024007,b23024007_moe,b23024008,b23024008_moe,b23024009,b23024009_moe,b23024010,b23024010_moe,b23024011,b23024011_moe,b23024012,b23024012_moe,b23024013,b23024013_moe,b23024014,b23024014_moe,b23024015,b23024015_moe,b23024016,b23024016_moe,b23024017,b23024017_moe,b23024018,b23024018_moe,b23024019,b23024019_moe,b23024020,b23024020_moe,b23024021,b23024021_moe,b23024022,b23024022_moe,b23024023,b23024023_moe,b23024024,b23024024_moe,b23024025,b23024025_moe,b23024026,b23024026_moe,b23024027,b23024027_moe,b23024028,b23024028_moe,b23024029,b23024029_moe,b23024030,b23024030_moe,b23024031,b23024031_moe
BK09,Brooklyn Heights-Cobble Hill,16336,811,1785,473,107,67,31,38,0,29,31,38,29,40,2,27,76,56,1678,467,401,143,0,29,401,143,325,129,76,63,1277,436,14551,731,699,239,432,195,0,29,432,195,394,190,38,51,267,110,13852,723,12658,682,0,29,12658,682,12064,669,594,189,1194,220
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,37656,1176,5037,610,869,205,130,83,0,55,130,83,80,71,50,65,739,191,4168,580,2096,370,0,55,2096,370,1322,313,774,213,2072,446,32619,1209,2167,347,800,196,0,55,800,196,644,177,156,89,1367,250,30452,1177,24871,1020,0,55,24871,1020,23407,980,1464,296,5581,526
BK19,Brighton Beach,18841,929,3776,614,638,233,21,41,0,38,21,41,9,39,12,41,617,232,3138,550,1433,318,18,48,1415,317,990,238,425,188,1705,370,15065,945,641,164,357,125,0,38,357,125,319,120,38,48,284,104,14424,931,11675,757,26,46,11649,754,11096,736,553,154,2749,427
BK21,Seagate-Coney Island,16334,969,4430,715,1072,264,124,77,0,38,124,77,71,60,53,58,948,252,3358,639,2133,554,0,38,2133,554,1153,269,980,420,1225,286,11904,898,1134,237,452,136,10,39,442,135,352,125,90,64,682,198,10770,871,8879,791,0,38,8879,791,7572,718,1307,277,1891,354
BK23,West Brighton,8063,751,551,155,174,81,15,35,0,27,15,35,15,35,0,27,159,78,377,138,149,72,0,27,149,72,112,63,37,47,228,113,7512,751,794,212,435,147,0,27,435,147,396,133,39,42,359,142,6718,737,5592,655,62,68,5530,650,5236,651,294,170,1126,284
BK25,Homecrest,23802,946,2656,479,381,133,62,61,0,48,62,61,43,53,19,50,319,124,2275,457,1364,274,0,48,1364,274,1031,225,333,143,911,258,21146,925,1182,247,545,194,0,48,545,194,516,193,29,48,637,157,19964,928,15391,804,0,48,15391,804,14114,772,1277,266,4573,419
BK26,Gravesend,15746,866,2868,463,579,174,84,73,0,36,84,73,45,59,39,51,495,157,2289,414,1324,280,0,36,1324,280,793,219,531,196,965,237,12878,875,1061,241,542,157,0,36,542,157,480,149,62,48,519,166,11817,826,9549,700,0,36,9549,700,8858,669,691,192,2268,321
BK27,Bath Beach,17813,970,2442,443,340,117,40,52,0,40,40,52,11,42,29,51,300,112,2102,419,910,220,0,40,910,220,717,203,193,107,1192,299,15371,984,891,196,317,119,0,40,317,119,264,103,53,51,574,156,14480,949,11397,838,0,40,11397,838,10659,780,738,182,3083,364
BK28,Bensonhurst West,53271,1563,7706,804,680,171,123,87,0,64,123,87,78,78,45,72,557,156,7026,777,3643,460,0,64,3643,460,2806,380,837,200,3383,496,45565,1601,2336,323,880,194,0,64,880,194,715,166,165,109,1456,249,43229,1558,33911,1326,21,66,33890,1326,31397,1254,2493,327,9318,646
BK29,Bensonhurst East,38135,1250,5089,652,588,168,92,89,0,51,92,89,55,62,37,64,496,148,4501,623,2493,428,0,51,2493,428,1803,320,690,249,2008,341,33046,1281,1422,220,527,137,0,51,527,137,478,134,49,59,895,163,31624,1264,25285,1068,0,51,25285,1068,23403,1020,1882,307,6339,554
