area_id,area_name,b25011001,b25011001_moe,b25011002,b25011002_moe,b25011003,b25011003_moe,b25011004,b25011004_moe,b25011005,b25011005_moe,b25011006,b25011006_moe,b25011007,b25011007_moe,b25011008,b25011008_moe,b25011009,b25011009_moe,b25011010,b25011010_moe,b25011011,b25011011_moe,b25011012,b25011012_moe,b25011013,b25011013_moe,b25011014,b25011014_moe,b25011015,b25011015_moe,b25011016,b25011016_moe,b25011017,b25011017_moe,b25011018,b25011018_moe,b25011019,b25011019_moe,b25011020,b25011020_moe,b25011021,b25011021_moe,b25011022,b25011022_moe,b25011023,b25011023_moe,b25011024,b25011024_moe,b25011025,b25011025_moe,b25011026,b25011026_moe,b25011027,b25011027_moe,b25011028,b25011028_moe,b25011029,b25011029_moe,b25011030,b25011030_moe,b25011031,b25011031_moe,b25011032,b25011032_moe,b25011033,b25011033_moe,b25011034,b25011034_moe,b25011035,b25011035_moe,b25011036,b25011036_moe,b25011037,b25011037_moe,b25011038,b25011038_moe,b25011039,b25011039_moe,b25011040,b25011040_moe,b25011041,b25011041_moe,b25011042,b25011042_moe,b25011043,b25011043_moe,b25011044,b25011044_moe,b25011045,b25011045_moe,b25011046,b25011046_moe,b25011047,b25011047_moe,b25011048,b25011048_moe,b25011049,b25011049_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4957,365,2697,303,2422,276,338,132,1768,229,316,107,275,136,121,90,46,80,69,51,6,28,154,105,0,29,93,93,61,55,2260,282,1882,257,355,130,928,197,599,148,378,132,113,59,199,103,66,65,6389,393,2087,291,1833,280,723,180,897,227,213,95,254,110,129,85,11,32,118,83,0,29,125,71,27,38,98,68,0,29,4302,381,3558,365,1497,262,1320,263,741,187,744,173,569,154,164,80,11,32
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,12683,487,9519,469,7721,452,599,164,5528,412,1594,204,1798,268,502,159,109,93,368,130,25,57,1296,220,150,97,806,170,340,109,3164,303,2895,297,113,78,1322,234,1460,194,269,88,21,57,159,76,89,63,12387,499,7004,453,4361,409,956,219,2512,325,893,182,2643,326,673,211,187,118,448,181,38,57,1970,300,369,166,1476,246,125,81,5383,410,4908,396,606,200,2129,307,2173,261,475,155,275,133,187,92,13,54
BK19,Brighton Beach,13764,343,4047,321,2786,284,2117,251,115,81,1678,222,324,93,669,152,197,96,91,75,86,67,20,40,472,129,41,44,300,112,131,69,1261,211,1155,206,130,90,586,155,439,131,106,64,0,38,60,57,46,42,9717,388,5059,408,3692,365,677,191,1918,287,1097,183,1367,247,352,134,128,82,206,110,18,40,1015,219,104,78,768,213,143,87,4658,387,4253,378,367,137,1465,255,2421,267,405,134,145,79,164,90,96,80
BK21,Seagate-Coney Island,11215,272,1856,212,1611,200,1281,199,35,50,936,178,310,116,330,122,83,72,3,37,58,67,22,42,247,108,6,36,166,91,75,66,245,93,228,89,0,38,120,75,108,63,17,39,2,37,8,38,7,38,9359,314,5816,379,2928,358,279,119,1665,309,984,201,2888,339,322,152,33,44,267,148,22,40,2566,321,376,147,1892,286,298,118,3543,313,3371,310,238,127,1297,246,1836,227,172,91,66,70,69,60,37,56
BK23,West Brighton,8026,219,3044,303,1875,270,1376,262,37,41,850,235,489,143,499,148,50,42,13,29,21,29,16,31,449,146,30,37,355,136,64,49,1169,210,1100,205,14,32,497,154,589,158,69,45,0,27,28,31,41,36,4982,323,2774,298,2157,275,89,77,928,195,1140,233,617,160,127,74,46,40,30,36,51,62,490,155,70,73,262,114,158,77,2208,285,2115,287,155,99,563,183,1397,253,93,74,0,27,53,56,40,54
BK25,Homecrest,15435,318,6287,358,5131,338,4353,317,516,138,2855,283,982,167,778,166,201,84,48,66,134,66,19,49,577,148,37,60,430,135,110,58,1156,192,1100,188,47,49,341,118,712,149,56,52,8,48,48,52,0,48,9148,407,5458,387,4269,363,1136,230,2261,287,872,179,1189,215,407,139,107,81,263,118,37,55,782,180,190,96,549,151,43,52,3690,337,3183,309,454,146,1173,212,1556,217,507,153,280,120,171,102,56,63
BK26,Gravesend,11068,297,4005,333,3182,329,2551,316,245,110,1550,242,756,201,631,156,106,58,35,42,49,47,22,39,525,147,63,76,336,120,126,60,823,172,792,171,60,57,284,113,448,132,31,44,0,36,19,40,12,38,7063,382,4295,366,2906,352,411,147,1600,270,895,212,1389,238,273,116,54,58,209,103,10,36,1116,212,166,110,774,178,176,83,2768,341,2643,333,337,156,917,209,1389,241,125,103,68,93,36,56,21,37
BK27,Bath Beach,10726,270,4473,303,3667,298,3061,282,209,88,2065,253,787,151,606,140,217,85,55,51,95,61,67,57,389,113,58,52,219,88,112,65,806,173,677,146,82,52,234,93,361,105,129,79,32,42,81,77,16,39,6253,335,3784,312,2849,305,725,198,1652,261,472,112,935,178,241,108,48,45,174,103,19,42,694,145,74,60,528,130,92,52,2469,286,2076,258,355,115,684,160,1037,188,393,136,240,107,97,66,56,72
BK28,Bensonhurst West,29717,419,10532,482,8964,466,7530,443,513,156,5298,399,1719,213,1434,224,465,123,207,90,193,95,65,65,969,192,153,81,402,127,414,138,1568,212,1514,209,44,66,453,124,1017,168,54,65,36,65,10,62,8,64,19185,553,12462,568,9291,521,2114,320,5745,445,1432,228,3171,363,1056,227,433,162,593,163,30,68,2115,294,476,140,1432,253,207,104,6723,457,5423,410,840,195,2248,295,2335,273,1300,244,896,213,356,132,48,74
BK29,Bensonhurst East,21737,342,7875,417,6717,411,5365,394,343,113,3638,338,1384,213,1352,202,549,135,130,83,381,113,38,51,803,162,131,76,480,133,192,75,1158,184,1129,181,85,62,406,119,638,132,29,54,12,53,7,51,10,52,13862,481,9072,482,6826,461,1534,267,3976,390,1316,206,2246,304,705,183,289,133,355,122,61,62,1541,256,421,147,918,198,202,94,4790,392,4050,364,619,175,1745,262,1686,227,740,190,352,127,359,137,29,56
