area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4957,365,1203,185,1154,182,529,114,164,77,461,143,49,45,3754,329,6389,393,598,149,582,148,333,119,73,61,176,85,16,33,5791,379
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,12683,487,3522,349,3242,329,655,172,517,162,2070,272,280,120,9161,457,12387,499,3420,372,3124,364,936,232,610,240,1578,294,296,140,8967,476
BK19,Brighton Beach,13764,343,4047,321,900,198,787,188,144,91,90,64,553,156,113,76,3147,297,9717,388,2278,322,2025,305,537,190,521,180,967,207,253,114,7439,373
BK21,Seagate-Coney Island,11215,272,1856,212,659,168,467,133,27,56,118,72,322,110,192,103,1197,198,9359,314,2712,334,2332,317,318,132,551,167,1463,269,380,132,6647,360
BK23,West Brighton,8026,219,3044,303,437,140,424,138,72,71,8,29,344,135,13,33,2607,295,4982,323,583,153,542,150,189,109,48,46,305,118,41,45,4399,329
BK25,Homecrest,15435,318,6287,358,2105,254,1977,245,244,93,783,177,950,171,128,79,4182,312,9148,407,2449,308,2381,302,581,163,514,151,1286,230,68,79,6699,395
BK26,Gravesend,11068,297,4005,333,1220,227,1107,221,238,106,164,79,705,177,113,58,2785,301,7063,382,1628,255,1433,253,376,145,265,145,792,198,195,98,5435,389
BK27,Bath Beach,10726,270,4473,303,1330,207,1188,195,194,82,291,105,703,162,142,66,3143,288,6253,335,1829,257,1752,256,561,160,377,132,814,204,77,65,4424,337
BK28,Bensonhurst West,29717,419,10532,482,3777,343,3359,326,642,153,519,144,2198,276,418,138,6755,401,19185,553,6439,463,6225,457,1758,286,1293,247,3174,352,214,107,12746,548
BK29,Bensonhurst East,21737,342,7875,417,2646,287,2371,280,367,115,340,130,1664,248,275,97,5229,360,13862,481,4148,378,3817,359,1109,220,796,199,1912,260,331,130,9714,479
BK30,Dyker Heights,14966,279,7063,343,2289,252,2002,238,415,119,421,116,1166,193,287,90,4774,310,7903,361,2951,328,2613,308,633,168,450,147,1530,251,338,133,4952,358
BK31,Bay Ridge,34990,426,12404,491,3538,312,3352,305,878,163,478,120,1996,261,186,85,8866,441,22586,572,5924,478,5646,462,1688,279,1370,253,2588,347,278,138,16662,576
BK32,Sunset Park West,17023,319,3977,331,1222,202,1041,194,161,75,329,127,551,141,181,82,2755,287,13046,412,5461,388,4878,387,1403,246,1191,245,2284,288,583,166,7585,437
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,4668,357,1724,225,1710,227,701,160,264,101,745,167,14,49,2944,301,12960,472,3029,333,2693,331,733,170,470,176,1490,266,336,144,9931,490
BK34,Sunset Park East,20544,327,4197,330,1409,209,1131,194,233,96,145,79,753,163,278,99,2788,280,16347,431,7702,460,6976,454,1925,292,1543,252,3508,359,726,183,8645,497
BK35,Stuyvesant Heights,24360,452,5608,430,1933,282,1296,241,263,105,135,86,898,213,637,163,3675,365,18752,557,6587,466,5445,467,1085,233,1493,280,2867,363,1142,216,12165,578
BK37,Park Slope-Gowanus,31068,489,12042,567,4307,395,4063,386,1313,243,578,145,2172,283,244,102,7735,485,19026,673,3593,388,3418,380,1569,263,614,182,1235,240,175,89,15433,647
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15085,316,3675,281,1268,190,1212,184,543,118,149,66,520,141,56,61,2407,217,11410,359,2589,294,2116,275,601,170,456,150,1059,210,473,152,8821,409
BK40,Windsor Terrace,9510,205,4287,308,1415,215,1386,214,429,109,237,105,720,162,29,44,2872,278,5223,326,1145,219,1054,210,578,173,95,76,381,132,91,68,4078,320
BK41,Kensington-Ocean Parkway,12037,287,3441,326,1238,223,1146,216,147,64,391,150,608,161,92,71,2203,257,8596,397,2938,340,2850,334,727,186,701,164,1422,246,88,66,5658,386
BK42,Flatbush,37482,454,6585,413,2192,286,1772,257,331,113,328,132,1113,210,420,148,4393,344,30897,551,11149,595,9601,580,2370,354,2085,320,5146,481,1548,265,19748,670
BK43,Midwood,18430,320,6436,342,2529,247,2459,243,210,109,943,160,1306,194,70,54,3907,307,11994,412,3176,349,3043,340,1037,206,572,137,1434,248,133,99,8818,427
BK44,Madison,15022,240,6796,324,2315,241,2245,240,346,124,531,140,1368,191,70,56,4481,301,8226,335,2121,269,1994,262,592,159,391,128,1011,211,127,74,6105,348
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16432,289,12144,371,4535,307,4198,312,773,181,1242,213,2183,266,337,128,7609,354,4288,372,1769,291,1654,281,405,148,301,138,948,229,115,94,2519,307
BK46,Ocean Parkway South,6607,235,2897,247,980,176,921,173,44,37,513,133,364,114,59,56,1917,201,3710,270,1199,206,1093,195,430,130,223,87,440,131,106,80,2511,241
BK50,Canarsie,27669,396,13555,522,5625,428,4645,399,508,156,815,169,3322,349,980,188,7930,454,14114,543,6266,451,5599,433,1246,237,1289,236,3064,339,667,173,7848,479
BK58,Flatlands,23279,315,13871,468,5116,370,4234,348,565,155,670,140,2999,315,882,174,8755,428,9408,456,4017,373,3546,355,821,185,775,191,1950,285,471,152,5391,421
BK60,Prospect Lefferts Gardens-Wingate,26016,421,4256,355,1364,248,1134,223,182,102,323,134,629,166,230,115,2892,316,21760,505,6915,516,5701,491,1179,250,1341,289,3181,398,1214,272,14845,583
BK61,Crown Heights North,40818,573,6041,466,1645,265,1150,225,197,106,225,116,728,192,495,151,4396,411,34777,680,10897,595,9404,572,2285,341,1605,269,5514,474,1493,260,23880,759
BK63,Crown Heights South,14662,272,2203,253,1127,200,1003,187,57,48,466,142,480,142,124,81,1076,184,12459,338,3955,362,3294,338,763,187,718,195,1813,285,661,180,8504,396
BK64,Prospect Heights,9394,270,3078,275,1121,185,1042,172,426,119,208,85,408,123,79,72,1957,244,6316,353,724,150,639,140,316,103,37,42,286,116,85,77,5592,358
BK68,Fort Greene,11560,313,2531,289,840,191,736,183,220,99,150,110,366,132,104,65,1691,232,9029,378,2076,256,1664,229,599,176,217,111,848,162,412,137,6953,357
