area_id,area_name,b25032f001,b25032f001_moe,b25032f002,b25032f002_moe,b25032f003,b25032f003_moe,b25032f004,b25032f004_moe,b25032f005,b25032f005_moe,b25032f006,b25032f006_moe,b25032f007,b25032f007_moe,b25032f008,b25032f008_moe,b25032f009,b25032f009_moe,b25032f010,b25032f010_moe,b25032f011,b25032f011_moe
BK09,Brooklyn Heights-Cobble Hill,190,134,0,29,0,29,0,29,43,73,32,55,17,32,17,39,81,98,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,325,159,27,60,0,55,14,58,48,76,33,76,29,67,148,129,26,59,0,55,0,55
BK19,Brighton Beach,147,94,29,58,10,41,32,53,0,38,50,66,0,38,11,38,15,44,0,38,0,38
BK21,Seagate-Coney Island,924,229,7,38,35,54,0,38,86,76,32,47,0,38,45,60,719,207,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,315,136,36,64,0,48,73,86,10,49,93,85,43,72,52,64,8,47,0,48,0,48
BK26,Gravesend,543,159,0,36,90,85,5,35,118,102,12,36,54,75,16,41,248,122,0,36,0,36
BK27,Bath Beach,429,173,30,45,79,69,145,100,71,96,0,40,15,41,77,104,12,43,0,40,0,40
BK28,Bensonhurst West,1019,236,22,66,62,88,202,121,231,122,179,120,41,79,235,133,47,75,0,64,0,64
BK29,Bensonhurst East,633,175,12,53,14,52,59,66,312,137,68,70,0,51,77,68,91,75,0,51,0,51
BK30,Dyker Heights,372,141,25,55,17,53,27,54,59,73,132,103,68,74,37,70,7,50,0,51,0,51
BK31,Bay Ridge,1626,293,45,74,77,99,311,145,290,144,332,143,53,81,224,107,294,141,0,66,0,66
BK32,Sunset Park West,4864,404,121,77,164,100,737,186,1475,255,1337,232,536,156,296,112,198,113,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,1899,327,26,47,102,113,156,112,243,140,369,146,86,88,721,185,196,122,0,45,0,45
BK34,Sunset Park East,2900,329,55,61,49,64,360,138,748,183,700,178,305,132,534,165,149,96,0,59,0,59
BK35,Stuyvesant Heights,1688,282,30,69,0,51,230,117,273,131,304,138,288,123,304,134,259,109,0,51,0,51
BK37,Park Slope-Gowanus,2343,355,61,90,159,127,379,143,476,177,722,212,356,179,125,103,65,80,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1549,231,11,43,34,66,70,61,90,79,242,117,50,55,242,124,810,201,0,42,0,42
BK40,Windsor Terrace,422,152,0,32,0,32,16,39,69,85,116,75,0,32,66,59,155,95,0,32,0,32
BK41,Kensington-Ocean Parkway,970,234,17,47,59,63,215,136,235,124,68,86,46,53,213,98,117,91,0,40,0,40
BK42,Flatbush,3108,411,98,87,0,68,265,136,113,104,41,75,191,125,1264,282,1136,267,0,68,0,68
BK43,Midwood,554,199,27,59,17,57,36,63,22,61,0,51,16,56,212,135,224,142,0,51,0,51
BK44,Madison,200,100,37,53,49,65,21,53,0,46,14,49,0,46,11,48,68,78,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,295,129,27,58,87,82,102,88,79,86,0,55,0,55,0,55,0,55,0,55,0,55
BK46,Ocean Parkway South,286,128,0,36,16,42,68,72,59,68,0,36,72,69,31,49,40,55,0,36,0,36
BK50,Canarsie,1142,226,54,85,88,93,495,153,166,117,36,76,87,92,129,92,87,95,0,70,0,70
BK58,Flatlands,537,161,96,87,142,86,154,102,59,81,0,62,0,62,8,63,78,85,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,1226,267,44,71,32,66,59,88,108,91,125,111,83,88,183,99,592,203,0,58,0,58
BK61,Crown Heights North,1963,310,39,92,29,72,169,112,202,107,136,102,373,148,645,198,370,139,0,67,0,67
BK63,Crown Heights South,653,183,11,42,0,40,30,53,28,48,62,69,15,45,129,94,378,137,0,40,0,40
BK64,Prospect Heights,458,182,0,32,19,39,8,33,58,58,101,89,44,57,43,48,185,140,0,32,0,32
BK68,Fort Greene,789,184,13,41,0,38,19,47,185,94,121,82,63,58,182,97,206,112,0,38,0,38
BK69,Clinton Hill,803,179,14,44,0,40,37,51,261,114,199,103,33,49,125,81,134,98,0,40,0,40
BK72,Williamsburg,418,133,21,48,0,36,0,36,23,49,57,47,0,36,133,75,184,100,0,36,0,36
BK73,North Side-South Side,1292,251,12,51,21,56,62,79,151,102,125,80,123,83,661,183,137,71,0,48,0,48
BK75,Bedford,2161,302,0,56,51,63,184,98,345,137,260,116,238,108,780,182,303,137,0,56,0,56
BK76,Greenpoint,653,160,15,46,0,42,50,57,152,97,372,126,64,70,0,42,0,42,0,42,0,42
BK77,Bushwick North,7511,496,29,70,106,77,706,191,1745,291,4374,410,268,133,135,92,148,108,0,54,0,54
BK78,Bushwick South,5040,445,119,83,233,117,882,201,714,195,1224,246,408,179,520,155,940,213,0,56,0,56
BK79,Ocean Hill,1277,225,13,41,38,47,172,89,295,121,252,108,154,85,117,87,236,107,0,38,0,38
BK81,Brownsville,1524,271,24,65,71,70,94,83,75,73,187,108,85,75,426,161,562,179,0,51,0,51
BK82,East New York,2328,323,203,122,175,96,632,187,499,169,220,110,137,88,214,107,248,129,0,65,0,65
BK83,Cypress Hills-City Line,1974,256,175,91,221,90,821,177,391,136,91,79,9,48,132,81,134,84,0,49,0,49
BK85,East New York (Pennsylvania Ave),1149,220,7,36,50,54,201,97,234,104,197,98,123,86,127,83,210,96,0,36,0,36
BK88,Borough Park,1547,275,2,67,6,69,300,150,343,143,370,130,122,102,330,146,74,78,0,68,0,68
BK90,East Williamsburg,1500,240,21,44,26,48,29,50,181,114,465,163,174,85,251,107,353,134,0,40,0,40
BK91,East Flatbush-Farragut,376,144,12,55,35,62,57,65,76,79,4,53,11,55,100,101,81,79,0,54,0,54
BK93,Starrett City,362,211,0,24,0,24,0,24,0,24,0,24,58,77,0,24,304,200,0,24,0,24
BK95,Erasmus,357,127,0,36,9,37,59,61,8,34,51,65,0,36,121,70,109,83,0,36,0,36
BK96,Rugby-Remsen Village,351,146,36,70,9,54,52,70,10,54,0,54,32,68,82,83,130,103,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,3668,333,19,48,30,50,198,92,164,79,201,89,299,97,822,186,1935,284,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,1518,262,187,97,95,68,261,119,168,117,0,40,304,139,109,80,394,158,0,40,0,40
BX05,Bedford Park-Fordham North,8914,496,131,98,20,56,312,141,667,204,232,110,830,224,2854,367,3850,435,0,50,18,55
BX06,Belmont,3384,323,37,60,41,54,220,112,193,89,248,120,608,172,1313,256,724,167,0,34,0,34
BX07,Bronxdale,4266,374,10,39,62,59,223,131,283,122,250,106,213,117,1600,287,1625,296,0,38,0,38
BX08,West Farms-Bronx River,4554,379,199,93,44,54,434,159,1135,241,151,98,227,108,928,219,1399,255,0,40,37,69
BX09,Soundview-Castle Hill-Clason Point-Harding Park,7148,473,701,187,935,212,1224,256,592,172,57,64,67,68,442,172,3130,373,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,1887,319,224,151,82,78,383,181,191,114,94,109,58,60,361,133,494,205,0,34,0,34
BX13,Co-op City,2031,353,62,71,56,68,102,78,134,109,0,33,13,34,57,52,1607,312,0,33,0,33
BX14,East Concourse-Concourse Village,7766,502,14,52,42,73,189,116,453,164,91,72,627,212,1917,339,4433,463,0,51,0,51
BX17,East Tremont,6318,421,41,52,116,80,211,103,398,125,224,124,429,148,2314,319,2557,327,0,45,28,60
BX22,North Riverdale-Fieldston-Riverdale,691,178,34,49,33,50,37,52,30,51,0,38,17,39,88,78,452,158,0,38,0,38
BX26,Highbridge,5065,376,55,63,42,60,237,119,270,139,146,87,247,109,1594,262,2474,314,0,42,0,42
BX27,Hunts Point,3792,290,0,38,15,39,110,66,236,94,197,92,418,149,1508,247,1308,220,0,38,0,38
BX28,Van Cortlandt Village,7052,450,183,121,39,61,107,89,313,155,37,51,155,86,2237,293,3946,403,35,66,0,43
BX29,Spuyten Duyvil-Kingsbridge,2170,294,15,43,25,52,149,96,75,65,0,38,114,89,433,160,1359,260,0,38,0,38
BX30,Kingsbridge Heights,5431,355,22,40,43,65,79,71,144,94,81,83,311,129,2377,339,2374,340,0,38,0,38
BX31,Allerton-Pelham Gardens,1687,253,246,113,379,125,333,129,338,131,64,56,7,41,131,115,189,88,0,42,0,42
BX33,Longwood,3974,343,89,89,100,87,250,104,461,164,254,98,330,122,1049,186,1441,260,0,36,0,36
BX34,Melrose South-Mott Haven North,4461,410,16,42,113,64,305,117,436,157,263,113,336,133,875,222,2117,328,0,42,0,42
BX35,Morrisania-Melrose,4836,367,11,38,161,89,258,102,584,165,129,85,427,134,1097,211,2169,288,0,40,0,40
BX36,University Heights-Morris Heights,7851,456,52,62,28,57,338,132,374,142,194,99,288,119,2794,368,3737,386,0,51,46,84
BX37,Van Nest-Morris Park-Westchester Square,3448,316,429,139,251,100,843,201,797,182,135,85,93,82,630,170,259,106,11,43,0,42
BX39,Mott Haven-Port Morris,4809,396,94,77,63,71,196,94,246,102,427,140,565,158,1159,226,2059,282,0,50,0,50
BX40,Fordham South,3535,355,0,32,42,68,59,75,61,63,140,102,216,116,1545,266,1472,294,0,32,0,32
BX41,Mount Hope,7421,412,64,68,63,68,211,104,264,125,65,61,354,140,2196,288,4153,372,0,51,51,72
BX43,Norwood,5138,437,29,58,52,72,190,110,307,126,148,86,99,77,2235,341,2078,342,0,41,0,41
BX44,Williamsbridge-Olinville,2614,281,122,80,92,76,364,126,611,171,128,85,113,77,403,126,781,173,0,54,0,54
BX46,Parkchester,2830,349,36,58,42,56,12,39,118,88,56,68,140,113,524,198,1876,315,26,52,0,36
BX49,Pelham Parkway,3035,346,139,97,100,73,185,107,23,44,62,72,65,86,817,244,1644,308,0,38,0,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,3463,399,209,122,435,177,1118,265,848,242,215,116,43,62,304,130,291,136,0,52,0,52
BX55,Soundview-Bruckner,3811,344,121,80,147,88,369,130,611,168,171,88,242,132,674,170,1461,236,0,40,15,44
