area_id,area_name,b25036001,b25036001_moe,b25036002,b25036002_moe,b25036003,b25036003_moe,b25036004,b25036004_moe,b25036005,b25036005_moe,b25036006,b25036006_moe,b25036007,b25036007_moe,b25036008,b25036008_moe,b25036009,b25036009_moe,b25036010,b25036010_moe,b25036011,b25036011_moe,b25036012,b25036012_moe,b25036013,b25036013_moe,b25036014,b25036014_moe,b25036015,b25036015_moe,b25036016,b25036016_moe,b25036017,b25036017_moe,b25036018,b25036018_moe,b25036019,b25036019_moe,b25036020,b25036020_moe,b25036021,b25036021_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4957,365,0,29,101,62,36,45,46,40,335,103,581,151,326,126,163,80,3369,310,6389,393,0,29,678,127,59,52,93,84,154,74,345,127,285,100,379,143,4396,368
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,12683,487,7,55,489,147,219,101,212,95,501,133,1562,233,3737,324,2245,293,3711,332,12387,499,0,55,236,129,331,125,197,98,564,152,2432,330,4219,401,1864,301,2544,331
BK19,Brighton Beach,13764,343,4047,321,0,38,740,152,65,63,54,51,275,129,541,148,876,156,690,151,806,176,9717,388,0,38,249,132,83,53,133,70,369,147,1070,236,1782,268,2111,301,3920,354
BK21,Seagate-Coney Island,11215,272,1856,212,0,38,78,78,343,101,498,128,35,53,237,102,73,58,55,61,537,119,9359,314,23,48,99,53,297,102,626,164,3044,351,2352,310,1430,221,388,130,1100,237
BK23,West Brighton,8026,219,3044,303,0,27,0,27,44,72,0,27,355,145,2083,254,346,140,138,96,78,100,4982,323,0,27,23,34,16,33,48,48,457,143,3312,325,508,131,332,155,286,151
BK25,Homecrest,15435,318,6287,358,13,51,213,93,225,94,140,75,129,65,898,172,1133,185,791,158,2745,287,9148,407,0,48,134,85,148,82,173,70,499,144,1729,235,1430,200,1105,208,3930,364
BK26,Gravesend,11068,297,4005,333,0,36,109,60,127,79,59,49,202,93,1291,230,492,142,385,127,1340,224,7063,382,0,36,132,57,111,75,134,87,472,154,1556,286,2260,306,1009,246,1389,294
BK27,Bath Beach,10726,270,4473,303,0,40,283,76,169,77,61,49,202,84,200,76,739,167,943,155,1876,233,6253,335,0,40,179,81,112,74,126,78,251,109,512,131,829,177,1759,261,2485,297
BK28,Bensonhurst West,29717,419,10532,482,8,64,420,121,309,133,138,87,308,117,593,143,878,184,1303,215,6575,403,19185,553,0,64,360,128,571,143,296,119,712,172,1419,226,1342,204,2199,276,12286,571
BK29,Bensonhurst East,21737,342,7875,417,0,51,508,135,16,52,35,52,293,100,545,144,1041,201,918,186,4519,348,13862,481,0,51,382,133,150,88,173,93,517,127,1480,224,1397,232,1474,231,8289,492
BK30,Dyker Heights,14966,279,7063,343,10,52,195,86,268,87,131,68,227,90,360,126,575,137,695,133,4602,332,7903,361,65,70,195,95,137,77,163,80,319,109,543,141,451,124,766,163,5264,374
BK31,Bay Ridge,34990,426,12404,491,13,65,424,147,163,109,363,117,410,122,500,132,1561,217,1111,183,7859,436,22586,572,17,67,419,131,392,138,435,142,1081,189,1602,249,2832,313,2828,321,12980,573
BK32,Sunset Park West,17023,319,3977,331,14,53,191,84,55,67,12,48,227,93,96,70,113,80,139,74,3130,301,13046,412,0,49,413,121,165,81,267,99,725,173,699,161,615,155,559,137,9603,444
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,4668,357,17,43,290,109,163,88,435,128,67,68,45,53,92,62,128,81,3431,346,12960,472,40,61,425,142,342,140,372,150,377,147,542,159,1711,248,859,202,8292,503
BK34,Sunset Park East,20544,327,4197,330,17,62,154,82,92,73,78,74,119,80,203,106,107,75,272,94,3155,298,16347,431,79,70,411,136,189,91,528,150,601,165,513,136,667,153,1111,214,12248,479
BK35,Stuyvesant Heights,24360,452,5608,430,0,51,223,102,505,143,54,61,64,83,20,54,66,64,266,115,4410,381,18752,557,0,51,1213,238,994,211,481,137,1381,215,1500,257,1771,240,851,204,10561,574
BK37,Park Slope-Gowanus,31068,489,12042,567,84,83,798,155,55,63,208,90,45,56,142,90,317,114,414,129,9979,538,19026,673,66,82,639,170,245,118,300,120,490,135,613,145,909,193,852,188,14912,666
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15085,316,3675,281,54,49,724,134,55,70,102,60,61,61,132,67,599,115,131,75,1817,218,11410,359,202,76,1873,244,256,99,151,81,258,99,715,159,2144,244,1208,210,4603,359
BK40,Windsor Terrace,9510,205,4287,308,0,32,219,67,96,79,105,69,95,65,539,132,432,135,230,87,2571,249,5223,326,0,32,178,92,1,35,292,121,376,136,388,128,603,183,417,129,2968,311
BK41,Kensington-Ocean Parkway,12037,287,3441,326,0,40,129,82,33,46,0,40,107,68,349,107,428,134,476,125,1919,262,8596,397,7,37,77,72,68,60,198,116,274,144,1288,243,1446,228,1093,222,4145,386
BK42,Flatbush,37482,454,6585,413,34,86,108,88,19,69,26,73,112,78,570,143,653,155,753,165,4310,340,30897,551,0,68,474,160,208,100,242,115,1095,237,3002,352,3781,385,3097,352,18998,675
