area_id,area_name,b25040001,b25040001_moe,b25040002,b25040002_moe,b25040003,b25040003_moe,b25040004,b25040004_moe,b25040005,b25040005_moe,b25040006,b25040006_moe,b25040007,b25040007_moe,b25040008,b25040008_moe,b25040009,b25040009_moe,b25040010,b25040010_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,6423,425,141,70,1375,214,3116,343,13,34,18,41,0,29,160,88,100,57
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,20016,522,367,119,795,164,3315,355,19,55,46,72,14,58,253,93,245,118
BK19,Brighton Beach,13764,343,10142,433,173,82,757,175,2258,262,0,38,0,38,30,42,221,91,183,73
BK21,Seagate-Coney Island,11215,272,7437,412,114,59,895,177,2258,315,0,38,5,37,15,41,204,90,287,101
BK23,West Brighton,8026,219,4563,382,56,54,780,173,2074,288,35,40,0,27,0,27,265,85,253,93
BK25,Homecrest,15435,318,11054,393,278,94,519,144,3197,311,23,50,16,50,29,52,201,84,118,64
BK26,Gravesend,11068,297,7935,387,160,74,321,101,2375,301,0,36,10,37,4,35,155,94,108,57
BK27,Bath Beach,10726,270,8596,332,198,75,187,74,1554,228,6,39,7,40,0,40,67,56,111,66
BK28,Bensonhurst West,29717,419,22329,554,629,139,911,166,5314,412,74,89,68,95,12,65,128,74,252,88
BK29,Bensonhurst East,21737,342,16918,470,545,114,472,118,3552,334,18,57,0,51,0,51,135,67,97,57
BK30,Dyker Heights,14966,279,12848,354,239,88,317,110,1453,211,0,51,33,58,0,51,33,50,43,52
BK31,Bay Ridge,34990,426,23065,615,553,127,2056,275,8739,489,74,87,13,64,5,65,225,88,260,90
BK32,Sunset Park West,17023,319,12591,447,461,131,742,164,2947,341,41,70,22,59,0,49,139,75,80,63
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,11842,505,272,91,1676,263,3358,376,0,45,39,64,9,45,232,98,200,88
BK34,Sunset Park East,20544,327,16246,448,282,88,756,183,3061,332,10,59,15,62,7,59,50,64,117,71
BK35,Stuyvesant Heights,24360,452,17926,569,217,88,1487,237,4277,412,20,59,25,58,14,55,139,81,255,114
BK37,Park Slope-Gowanus,31068,489,19958,667,717,163,1834,290,8004,563,0,58,9,57,0,58,275,114,271,110
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15085,316,9147,428,209,77,2712,314,2644,305,0,42,16,46,0,42,113,70,244,86
BK40,Windsor Terrace,9510,205,6406,333,160,70,526,132,2260,262,0,32,0,32,0,32,98,67,60,47
BK41,Kensington-Ocean Parkway,12037,287,7698,402,337,125,445,129,3316,357,23,46,0,40,0,40,74,51,144,78
BK42,Flatbush,37482,454,23834,720,784,193,1683,269,10578,629,26,72,27,79,25,71,304,109,221,99
BK43,Midwood,18430,320,12176,476,446,129,775,161,4444,382,17,52,29,59,25,52,226,86,292,101
BK44,Madison,15022,240,11876,340,293,98,544,143,2097,236,18,45,10,45,0,46,71,54,113,63
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16432,289,14978,345,184,76,307,123,939,177,0,55,0,55,0,55,18,56,6,55
BK46,Ocean Parkway South,6607,235,4648,285,88,48,273,99,1504,202,7,35,0,36,0,36,62,44,25,42
BK50,Canarsie,27669,396,24518,471,396,114,986,182,1439,224,0,70,30,73,11,71,149,90,140,91
BK58,Flatlands,23279,315,19281,434,329,112,715,160,2741,285,0,62,22,72,0,62,66,71,125,78
BK60,Prospect Lefferts Gardens-Wingate,26016,421,16556,617,470,132,1164,239,7407,543,34,69,0,58,0,58,179,91,206,107
BK61,Crown Heights North,40818,573,30649,738,405,123,2574,308,6708,529,0,67,0,67,0,67,243,101,239,105
BK63,Crown Heights South,14662,272,9125,424,109,59,592,136,4614,354,22,50,12,42,5,39,131,79,52,52
BK64,Prospect Heights,9394,270,5882,387,208,95,628,164,2552,328,0,32,0,32,0,32,82,80,42,49
BK68,Fort Greene,11560,313,7222,392,238,88,1202,199,2661,336,0,38,33,63,0,38,99,62,105,67
BK69,Clinton Hill,14937,368,10551,446,384,107,755,169,3037,315,10,41,12,41,0,40,112,58,76,53
BK72,Williamsburg,8299,215,6034,279,128,75,265,105,1647,241,35,49,55,53,0,36,81,59,54,52
BK73,North Side-South Side,19172,372,12021,523,637,181,1839,243,4281,402,0,48,37,54,0,48,141,78,216,83
BK75,Bedford,24225,451,17770,568,476,127,1613,231,3788,371,32,61,0,56,14,60,212,87,320,104
BK76,Greenpoint,15124,380,11548,459,369,118,643,154,2315,277,0,42,10,43,0,42,67,53,172,71
BK77,Bushwick North,18885,343,14926,464,215,86,609,150,2982,333,0,54,0,54,0,54,63,59,90,64
