area_id,area_name,b25123001,b25123001_moe,b25123002,b25123002_moe,b25123003,b25123003_moe,b25123004,b25123004_moe,b25123005,b25123005_moe,b25123006,b25123006_moe,b25123007,b25123007_moe,b25123008,b25123008_moe,b25123009,b25123009_moe,b25123010,b25123010_moe,b25123011,b25123011_moe,b25123012,b25123012_moe,b25123013,b25123013_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4957,365,977,216,64,48,10,31,0,29,3906,336,6389,393,2063,287,48,47,0,29,0,29,4278,387
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,12683,487,4656,398,348,140,0,55,0,55,7679,454,12387,499,5452,443,521,186,7,55,0,55,6407,478
BK19,Brighton Beach,13764,343,4047,321,1384,246,76,61,13,42,0,38,2574,297,9717,388,5514,407,672,175,67,57,0,38,3464,356
BK21,Seagate-Coney Island,11215,272,1856,212,607,129,33,51,0,38,0,38,1216,197,9359,314,4143,360,366,140,22,45,0,38,4828,384
BK23,West Brighton,8026,219,3044,303,711,202,13,33,0,27,0,27,2320,318,4982,323,2581,320,62,66,8,27,0,27,2331,303
BK25,Homecrest,15435,318,6287,358,2678,282,160,80,10,49,0,48,3439,295,9148,407,4526,358,606,156,6,48,0,48,4010,370
BK26,Gravesend,11068,297,4005,333,1501,230,76,52,0,36,0,36,2428,280,7063,382,3597,381,268,118,9,36,0,36,3189,358
BK27,Bath Beach,10726,270,4473,303,1937,238,47,54,10,41,0,40,2479,255,6253,335,3059,321,327,116,0,40,0,40,2867,316
BK28,Bensonhurst West,29717,419,10532,482,4588,366,477,133,23,64,0,64,5444,387,19185,553,10212,549,1222,224,27,69,37,75,7687,514
BK29,Bensonhurst East,21737,342,7875,417,3475,325,292,105,0,51,0,51,4108,361,13862,481,6885,454,1039,211,0,51,0,51,5938,426
BK30,Dyker Heights,14966,279,7063,343,2936,297,295,109,8,51,0,51,3824,299,7903,361,3621,338,876,209,0,51,36,61,3370,330
BK31,Bay Ridge,34990,426,12404,491,4556,376,170,90,5,65,0,66,7673,439,22586,572,10054,555,1324,245,61,83,0,66,11147,569
BK32,Sunset Park West,17023,319,3977,331,1749,246,142,78,0,49,0,49,2086,264,13046,412,6598,446,1679,265,110,88,11,51,4648,387
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,4668,357,1424,214,105,89,0,45,0,45,3139,324,12960,472,5072,444,224,113,14,47,0,45,7650,473
BK34,Sunset Park East,20544,327,4197,330,2031,265,402,126,0,59,0,59,1764,215,16347,431,8647,470,2708,317,95,82,52,70,4845,408
BK35,Stuyvesant Heights,24360,452,5608,430,2700,304,201,98,0,51,0,51,2707,331,18752,557,9117,536,841,196,195,111,3,51,8596,524
BK37,Park Slope-Gowanus,31068,489,12042,567,3234,363,72,66,0,58,0,58,8736,536,19026,673,7051,559,545,165,10,59,0,58,11420,620
