area_id,area_name,b99081001,b99081001_moe,b99081002,b99081002_moe,b99081003,b99081003_moe,b99081004,b99081004_moe,b99081005,b99081005_moe
BK09,Brooklyn Heights-Cobble Hill,13874,-1,970,-1,110,-1,860,-1,12904,-1
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26453,-1,3774,-1,565,-1,3209,-1,22679,-1
BK19,Brighton Beach,12761,-1,1910,-1,391,-1,1519,-1,10851,-1
BK21,Seagate-Coney Island,9500,-1,1263,-1,142,-1,1121,-1,8237,-1
BK23,West Brighton,6090,-1,761,-1,96,-1,665,-1,5329,-1
BK25,Homecrest,16159,-1,2292,-1,293,-1,1999,-1,13867,-1
BK26,Gravesend,10448,-1,1414,-1,213,-1,1201,-1,9034,-1
BK27,Bath Beach,12087,-1,2164,-1,223,-1,1941,-1,9923,-1
BK28,Bensonhurst West,35692,-1,5518,-1,879,-1,4639,-1,30174,-1
BK29,Bensonhurst East,26066,-1,3325,-1,666,-1,2659,-1,22741,-1
BK30,Dyker Heights,19282,-1,2519,-1,834,-1,1685,-1,16763,-1
BK31,Bay Ridge,38152,-1,3998,-1,879,-1,3119,-1,34154,-1
BK32,Sunset Park West,24481,-1,3448,-1,1100,-1,2348,-1,21033,-1
BK33,Carroll Gardens-Columbia Street-Red Hook,20902,-1,1243,-1,170,-1,1073,-1,19659,-1
BK34,Sunset Park East,30563,-1,6325,-1,3198,-1,3127,-1,24238,-1
BK35,Stuyvesant Heights,24863,-1,3889,-1,680,-1,3209,-1,20974,-1
BK37,Park Slope-Gowanus,44495,-1,2007,-1,246,-1,1761,-1,42488,-1
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17780,-1,1314,-1,186,-1,1128,-1,16466,-1
BK40,Windsor Terrace,12724,-1,948,-1,157,-1,791,-1,11776,-1
BK41,Kensington-Ocean Parkway,15029,-1,1492,-1,303,-1,1189,-1,13537,-1
BK42,Flatbush,46652,-1,5718,-1,1166,-1,4552,-1,40934,-1
BK43,Midwood,19836,-1,1903,-1,399,-1,1504,-1,17933,-1
BK44,Madison,17314,-1,3103,-1,594,-1,2509,-1,14211,-1
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,20634,-1,2449,-1,404,-1,2045,-1,18185,-1
BK46,Ocean Parkway South,7274,-1,1091,-1,312,-1,779,-1,6183,-1
BK50,Canarsie,39874,-1,4753,-1,885,-1,3868,-1,35121,-1
BK58,Flatlands,32795,-1,4256,-1,414,-1,3842,-1,28539,-1
BK60,Prospect Lefferts Gardens-Wingate,30733,-1,3662,-1,964,-1,2698,-1,27071,-1
BK61,Crown Heights North,42278,-1,4592,-1,850,-1,3742,-1,37686,-1
BK63,Crown Heights South,16453,-1,1804,-1,340,-1,1464,-1,14649,-1
BK64,Prospect Heights,12764,-1,751,-1,76,-1,675,-1,12013,-1
BK68,Fort Greene,13156,-1,1152,-1,151,-1,1001,-1,12004,-1
BK69,Clinton Hill,18744,-1,2058,-1,436,-1,1622,-1,16686,-1
BK72,Williamsburg,7885,-1,563,-1,19,-1,544,-1,7322,-1
BK73,North Side-South Side,24791,-1,1813,-1,327,-1,1486,-1,22978,-1
BK75,Bedford,26767,-1,2850,-1,737,-1,2113,-1,23917,-1
BK76,Greenpoint,19586,-1,2259,-1,622,-1,1637,-1,17327,-1
BK77,Bushwick North,27048,-1,3117,-1,604,-1,2513,-1,23931,-1
BK78,Bushwick South,29114,-1,3744,-1,654,-1,3090,-1,25370,-1
BK79,Ocean Hill,12065,-1,1546,-1,245,-1,1301,-1,10519,-1
BK81,Brownsville,17560,-1,2494,-1,315,-1,2179,-1,15066,-1
BK82,East New York,31629,-1,6025,-1,1017,-1,5008,-1,25604,-1
BK83,Cypress Hills-City Line,18767,-1,3452,-1,579,-1,2873,-1,15315,-1
BK85,East New York (Pennsylvania Ave),10354,-1,1757,-1,347,-1,1410,-1,8597,-1
BK88,Borough Park,34527,-1,5071,-1,1825,-1,3246,-1,29456,-1
BK90,East Williamsburg,17790,-1,1622,-1,336,-1,1286,-1,16168,-1
BK91,East Flatbush-Farragut,24537,-1,2721,-1,488,-1,2233,-1,21816,-1
BK93,Starrett City,4138,-1,408,-1,8,-1,400,-1,3730,-1
BK95,Erasmus,12764,-1,1983,-1,478,-1,1505,-1,10781,-1
BK96,Rugby-Remsen Village,24971,-1,3351,-1,594,-1,2757,-1,21620,-1
BK99,park-cemetery-etc-Brooklyn,211,-1,62,-1,0,-1,62,-1,149,-1
BX01,Claremont-Bathgate,8314,-1,982,-1,251,-1,731,-1,7332,-1
BX03,Eastchester-Edenwald-Baychester,14477,-1,2174,-1,771,-1,1403,-1,12303,-1
BX05,Bedford Park-Fordham North,20076,-1,1685,-1,209,-1,1476,-1,18391,-1
BX06,Belmont,8391,-1,993,-1,151,-1,842,-1,7398,-1
BX07,Bronxdale,13633,-1,1960,-1,506,-1,1454,-1,11673,-1
BX08,West Farms-Bronx River,13874,-1,1421,-1,304,-1,1117,-1,12453,-1
BX09,Soundview-Castle Hill-Clason Point-Harding Park,20564,-1,2432,-1,234,-1,2198,-1,18132,-1
BX10,Pelham Bay-Country Club-City Island,12583,-1,1189,-1,575,-1,614,-1,11394,-1
BX13,Co-op City,18320,-1,1935,-1,258,-1,1677,-1,16385,-1
BX14,East Concourse-Concourse Village,22913,-1,2722,-1,756,-1,1966,-1,20191,-1
BX17,East Tremont,13224,-1,1924,-1,283,-1,1641,-1,11300,-1
BX22,North Riverdale-Fieldston-Riverdale,12110,-1,905,-1,86,-1,819,-1,11205,-1
BX26,Highbridge,12857,-1,1936,-1,321,-1,1615,-1,10921,-1
BX27,Hunts Point,8289,-1,737,-1,121,-1,616,-1,7552,-1
BX28,Van Cortlandt Village,21024,-1,2191,-1,578,-1,1613,-1,18833,-1
BX29,Spuyten Duyvil-Kingsbridge,13519,-1,863,-1,160,-1,703,-1,12656,-1
BX30,Kingsbridge Heights,12019,-1,1355,-1,340,-1,1015,-1,10664,-1
BX31,Allerton-Pelham Gardens,13127,-1,2095,-1,749,-1,1346,-1,11032,-1
BX33,Longwood,8150,-1,1006,-1,276,-1,730,-1,7144,-1
BX34,Melrose South-Mott Haven North,12486,-1,1357,-1,208,-1,1149,-1,11129,-1
BX35,Morrisania-Melrose,12844,-1,1291,-1,318,-1,973,-1,11553,-1
BX36,University Heights-Morris Heights,19277,-1,2728,-1,623,-1,2105,-1,16549,-1
BX37,Van Nest-Morris Park-Westchester Square,12335,-1,1274,-1,332,-1,942,-1,11061,-1
BX39,Mott Haven-Port Morris,16780,-1,1535,-1,167,-1,1368,-1,15245,-1
BX40,Fordham South,8946,-1,964,-1,298,-1,666,-1,7982,-1
BX41,Mount Hope,19368,-1,2836,-1,432,-1,2404,-1,16532,-1
BX43,Norwood,16785,-1,1729,-1,458,-1,1271,-1,15056,-1
BX44,Williamsbridge-Olinville,24498,-1,3989,-1,1139,-1,2850,-1,20509,-1
BX46,Parkchester,14101,-1,1578,-1,125,-1,1453,-1,12523,-1
BX49,Pelham Parkway,13308,-1,1630,-1,495,-1,1135,-1,11678,-1
BX52,Schuylerville-Throgs Neck-Edgewater Park,19818,-1,2129,-1,745,-1,1384,-1,17689,-1
BX55,Soundview-Bruckner,12992,-1,1477,-1,405,-1,1072,-1,11515,-1
BX59,Westchester-Unionport,10823,-1,1338,-1,404,-1,934,-1,9485,-1
BX62,Woodlawn-Wakefield,20698,-1,2387,-1,638,-1,1749,-1,18311,-1
BX63,West Concourse,15361,-1,2108,-1,417,-1,1691,-1,13253,-1
BX75,Crotona Park East,6408,-1,881,-1,136,-1,745,-1,5527,-1
BX98,Rikers Island,0,-1,0,-1,0,-1,0,-1,0,-1
BX99,park-cemetery-etc-Bronx,600,-1,103,-1,46,-1,57,-1,497,-1
MN01,Marble Hill-Inwood,23152,-1,2015,-1,784,-1,1231,-1,21137,-1
MN03,Central Harlem North-Polo Grounds,31041,-1,3283,-1,413,-1,2870,-1,27758,-1
MN04,Hamilton Heights,23716,-1,1937,-1,355,-1,1582,-1,21779,-1
MN06,Manhattanville,9766,-1,791,-1,227,-1,564,-1,8975,-1
MN09,Morningside Heights,23574,-1,2755,-1,278,-1,2477,-1,20819,-1
MN11,Central Harlem South,21045,-1,2067,-1,228,-1,1839,-1,18978,-1
MN12,Upper West Side,74710,-1,4123,-1,806,-1,3317,-1,70587,-1
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,43635,-1,2398,-1,149,-1,2249,-1,41237,-1
