area_id,area_name,b99104001,b99104001_moe,b99104002,b99104002_moe,b99104003,b99104003_moe,b99104004,b99104004_moe,b99104005,b99104005_moe,b99104006,b99104006_moe,b99104007,b99104007_moe
BK09,Brooklyn Heights-Cobble Hill,15794,-1,124,-1,0,-1,0,-1,0,-1,124,-1,15670,-1
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,41856,-1,1109,-1,222,-1,18,-1,204,-1,887,-1,40747,-1
BK19,Brighton Beach,21630,-1,486,-1,163,-1,7,-1,156,-1,323,-1,21144,-1
BK21,Seagate-Coney Island,18667,-1,920,-1,428,-1,71,-1,357,-1,492,-1,17747,-1
BK23,West Brighton,12676,-1,282,-1,117,-1,7,-1,110,-1,165,-1,12394,-1
BK25,Homecrest,25275,-1,584,-1,196,-1,51,-1,145,-1,388,-1,24691,-1
BK26,Gravesend,18685,-1,839,-1,244,-1,53,-1,191,-1,595,-1,17846,-1
BK27,Bath Beach,19035,-1,727,-1,181,-1,39,-1,142,-1,546,-1,18308,-1
BK28,Bensonhurst West,53284,-1,2219,-1,485,-1,172,-1,313,-1,1734,-1,51065,-1
BK29,Bensonhurst East,39352,-1,2178,-1,878,-1,137,-1,741,-1,1300,-1,37174,-1
BK30,Dyker Heights,27952,-1,1691,-1,771,-1,72,-1,699,-1,920,-1,26261,-1
BK31,Bay Ridge,53135,-1,1029,-1,308,-1,48,-1,260,-1,721,-1,52106,-1
BK32,Sunset Park West,28848,-1,1724,-1,679,-1,66,-1,613,-1,1045,-1,27124,-1
BK33,Carroll Gardens-Columbia Street-Red Hook,25240,-1,378,-1,228,-1,43,-1,185,-1,150,-1,24862,-1
BK34,Sunset Park East,38596,-1,2698,-1,1068,-1,250,-1,818,-1,1630,-1,35898,-1
BK35,Stuyvesant Heights,35793,-1,2708,-1,1073,-1,182,-1,891,-1,1635,-1,33085,-1
BK37,Park Slope-Gowanus,44857,-1,730,-1,351,-1,65,-1,286,-1,379,-1,44127,-1
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21843,-1,621,-1,334,-1,9,-1,325,-1,287,-1,21222,-1
BK40,Windsor Terrace,14524,-1,310,-1,129,-1,0,-1,129,-1,181,-1,14214,-1
BK41,Kensington-Ocean Parkway,19777,-1,674,-1,252,-1,38,-1,214,-1,422,-1,19103,-1
