area_id,area_name,b99151001,b99151001_moe,b99151002,b99151002_moe,b99151003,b99151003_moe
BK09,Brooklyn Heights-Cobble Hill,18297,-1,395,-1,17902,-1
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45539,-1,4339,-1,41200,-1
BK19,Brighton Beach,23652,-1,2300,-1,21352,-1
BK21,Seagate-Coney Island,20455,-1,2249,-1,18206,-1
BK23,West Brighton,13418,-1,1151,-1,12267,-1
BK25,Homecrest,28097,-1,2294,-1,25803,-1
BK26,Gravesend,20397,-1,1744,-1,18653,-1
BK27,Bath Beach,21251,-1,2232,-1,19019,-1
BK28,Bensonhurst West,60636,-1,7208,-1,53428,-1
BK29,Bensonhurst East,44527,-1,3481,-1,41046,-1
BK30,Dyker Heights,31799,-1,2177,-1,29622,-1
BK31,Bay Ridge,60139,-1,3901,-1,56238,-1
BK32,Sunset Park West,35838,-1,3541,-1,32297,-1
BK33,Carroll Gardens-Columbia Street-Red Hook,29264,-1,1782,-1,27482,-1
BK34,Sunset Park East,45902,-1,3846,-1,42056,-1
BK35,Stuyvesant Heights,41000,-1,3867,-1,37133,-1
BK37,Park Slope-Gowanus,54482,-1,2217,-1,52265,-1
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,25979,-1,1587,-1,24392,-1
BK40,Windsor Terrace,16327,-1,755,-1,15572,-1
BK41,Kensington-Ocean Parkway,22968,-1,1422,-1,21546,-1
BK42,Flatbush,67622,-1,6800,-1,60822,-1
BK43,Midwood,32573,-1,2268,-1,30305,-1
BK44,Madison,28086,-1,2703,-1,25383,-1
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,32108,-1,2408,-1,29700,-1
BK46,Ocean Parkway South,11672,-1,938,-1,10734,-1
BK50,Canarsie,55379,-1,8349,-1,47030,-1
BK58,Flatlands,46254,-1,4322,-1,41932,-1
BK60,Prospect Lefferts Gardens-Wingate,46554,-1,5546,-1,41008,-1
BK61,Crown Heights North,66880,-1,6505,-1,60375,-1
BK63,Crown Heights South,24602,-1,2472,-1,22130,-1
BK64,Prospect Heights,15979,-1,796,-1,15183,-1
BK68,Fort Greene,19007,-1,1393,-1,17614,-1
BK69,Clinton Hill,24690,-1,1814,-1,22876,-1
BK72,Williamsburg,12929,-1,1585,-1,11344,-1
BK73,North Side-South Side,31774,-1,1470,-1,30304,-1
BK75,Bedford,40026,-1,3272,-1,36754,-1
BK76,Greenpoint,25261,-1,1129,-1,24132,-1
BK77,Bushwick North,37259,-1,3108,-1,34151,-1
BK78,Bushwick South,44391,-1,4240,-1,40151,-1
BK79,Ocean Hill,19010,-1,1729,-1,17281,-1
BK81,Brownsville,32125,-1,2693,-1,29432,-1
BK82,East New York,53572,-1,5239,-1,48333,-1
BK83,Cypress Hills-City Line,27784,-1,2368,-1,25416,-1
BK85,East New York (Pennsylvania Ave),16192,-1,1644,-1,14548,-1
BK88,Borough Park,55029,-1,4772,-1,50257,-1
BK90,East Williamsburg,25061,-1,1571,-1,23490,-1
BK91,East Flatbush-Farragut,36094,-1,3397,-1,32697,-1
BK93,Starrett City,8831,-1,676,-1,8155,-1
BK95,Erasmus,19266,-1,2024,-1,17242,-1
BK96,Rugby-Remsen Village,38160,-1,4568,-1,33592,-1
BK99,park-cemetery-etc-Brooklyn,251,-1,0,-1,251,-1
BX01,Claremont-Bathgate,16551,-1,1450,-1,15101,-1
BX03,Eastchester-Edenwald-Baychester,22313,-1,1889,-1,20424,-1
BX05,Bedford Park-Fordham North,31845,-1,2005,-1,29840,-1
BX06,Belmont,12591,-1,765,-1,11826,-1
BX07,Bronxdale,22720,-1,1939,-1,20781,-1
BX08,West Farms-Bronx River,21547,-1,2809,-1,18738,-1
BX09,Soundview-Castle Hill-Clason Point-Harding Park,34057,-1,2275,-1,31782,-1
BX10,Pelham Bay-Country Club-City Island,19960,-1,1307,-1,18653,-1
BX13,Co-op City,32379,-1,2199,-1,30180,-1
BX14,East Concourse-Concourse Village,38729,-1,3313,-1,35416,-1
BX17,East Tremont,23179,-1,2038,-1,21141,-1
BX22,North Riverdale-Fieldston-Riverdale,18459,-1,828,-1,17631,-1
BX26,Highbridge,21463,-1,1549,-1,19914,-1
BX27,Hunts Point,15519,-1,1324,-1,14195,-1
BX28,Van Cortlandt Village,31784,-1,2809,-1,28975,-1
BX29,Spuyten Duyvil-Kingsbridge,22052,-1,925,-1,21127,-1
BX30,Kingsbridge Heights,19666,-1,1929,-1,17737,-1
BX31,Allerton-Pelham Gardens,22535,-1,2448,-1,20087,-1
BX33,Longwood,14150,-1,1248,-1,12902,-1
BX34,Melrose South-Mott Haven North,21347,-1,1723,-1,19624,-1
BX35,Morrisania-Melrose,21705,-1,1412,-1,20293,-1
BX36,University Heights-Morris Heights,31399,-1,2413,-1,28986,-1
BX37,Van Nest-Morris Park-Westchester Square,19338,-1,1693,-1,17645,-1
