area_id,area_name,c15002g001,c15002g001_moe,c15002g002,c15002g002_moe,c15002g003,c15002g003_moe,c15002g004,c15002g004_moe,c15002g005,c15002g005_moe,c15002g006,c15002g006_moe,c15002g007,c15002g007_moe,c15002g008,c15002g008_moe,c15002g009,c15002g009_moe,c15002g010,c15002g010_moe,c15002g011,c15002g011_moe
BK09,Brooklyn Heights-Cobble Hill,441,155,175,99,1,27,15,30,0,29,159,96,266,124,0,29,18,47,40,51,208,110
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,293,173,110,86,54,74,24,59,6,55,26,57,183,114,1,54,91,99,12,57,79,70
BK19,Brighton Beach,419,165,172,100,58,75,27,52,16,39,71,62,247,122,17,43,17,41,28,57,185,111
BK21,Seagate-Coney Island,211,101,102,75,81,72,0,38,7,35,14,43,109,75,48,61,31,53,14,39,16,41
BK23,West Brighton,37,48,24,35,0,27,7,26,8,28,9,28,13,31,0,27,6,26,7,27,0,27
BK25,Homecrest,279,188,148,108,28,53,61,87,20,55,39,57,131,98,43,75,35,70,31,58,22,52
BK26,Gravesend,154,107,88,80,20,44,40,67,28,43,0,36,66,63,7,35,0,36,59,63,0,36
BK27,Bath Beach,203,103,135,76,16,41,29,45,58,58,32,47,68,51,26,44,13,40,16,42,13,44
BK28,Bensonhurst West,336,126,178,94,23,64,72,75,45,73,38,65,158,84,20,62,53,69,62,71,23,67
BK29,Bensonhurst East,435,187,206,107,52,60,79,89,19,52,56,69,229,106,36,53,115,94,30,55,48,60
BK30,Dyker Heights,201,116,86,62,9,49,13,50,25,50,39,59,115,92,4,50,10,51,29,54,72,89
BK31,Bay Ridge,720,211,430,149,49,75,115,90,95,86,171,98,290,109,11,65,55,79,76,74,148,90
BK32,Sunset Park West,845,223,504,157,153,84,73,72,109,97,169,99,341,119,64,62,41,57,98,79,138,77
BK33,Carroll Gardens-Columbia Street-Red Hook,627,176,234,100,34,52,28,50,16,49,156,82,393,139,44,82,65,56,71,57,213,96
BK34,Sunset Park East,561,201,261,155,69,75,129,118,56,66,7,57,300,116,90,76,55,67,63,71,92,73
BK35,Stuyvesant Heights,608,191,326,130,94,75,42,58,116,85,74,82,282,113,61,68,34,56,73,64,114,82
BK37,Park Slope-Gowanus,1310,246,683,192,43,63,25,60,207,122,408,149,627,147,57,62,73,66,102,92,395,123
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,827,192,352,125,60,72,95,76,30,44,167,79,475,144,27,45,35,55,78,62,335,125
BK40,Windsor Terrace,281,125,112,67,19,36,31,44,14,32,48,53,169,102,33,54,20,40,13,36,103,82
BK41,Kensington-Ocean Parkway,447,193,206,105,29,41,64,62,52,80,61,53,241,118,48,47,37,47,117,91,39,55
BK42,Flatbush,1213,308,577,184,121,98,124,95,186,102,146,103,636,191,105,91,178,99,109,89,244,122
BK43,Midwood,427,174,236,109,42,59,24,58,114,92,56,62,191,102,57,86,21,52,47,60,66,60
BK44,Madison,154,83,90,62,51,52,18,50,16,47,5,46,64,56,6,46,38,51,0,46,20,51
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,268,124,111,73,26,59,8,53,57,65,20,59,157,101,0,55,40,72,49,65,68,65
BK46,Ocean Parkway South,71,51,24,40,10,38,0,36,0,36,14,36,47,44,0,36,10,37,19,40,18,40
BK50,Canarsie,432,169,228,139,16,71,45,81,126,94,41,74,204,101,62,80,10,69,47,76,85,88
BK58,Flatlands,583,199,292,121,32,67,125,90,72,74,63,67,291,113,7,64,42,70,131,88,111,84
BK60,Prospect Lefferts Gardens-Wingate,615,249,237,163,132,138,22,60,23,60,60,84,378,158,49,68,68,77,87,97,174,107
BK61,Crown Heights North,1088,246,388,163,75,95,117,100,17,71,179,123,700,186,159,101,90,77,140,86,311,137
BK63,Crown Heights South,124,67,50,51,0,40,27,46,10,41,13,43,74,56,23,44,8,40,15,43,28,51
BK64,Prospect Heights,345,111,149,73,9,33,25,38,0,32,115,66,196,84,9,33,0,32,57,52,130,67
BK68,Fort Greene,774,202,357,124,26,42,43,44,50,47,238,113,417,149,62,63,35,55,63,65,257,116
BK69,Clinton Hill,974,236,553,177,8,40,41,50,55,56,449,166,421,126,30,47,30,47,102,64,259,95
BK72,Williamsburg,159,106,64,60,26,45,23,51,11,37,4,35,95,76,33,51,21,47,41,56,0,36
BK73,North Side-South Side,767,231,337,140,98,96,19,50,0,48,220,107,430,139,93,78,22,52,134,84,181,88
BK75,Bedford,715,187,309,116,95,74,53,73,56,66,105,82,406,123,82,71,50,67,53,64,221,97
BK76,Greenpoint,473,177,165,110,5,41,22,48,48,60,90,89,308,133,16,43,13,42,47,54,232,123
BK77,Bushwick North,908,278,449,156,183,87,131,85,111,75,24,56,459,165,222,134,58,61,87,73,92,75
BK78,Bushwick South,1239,332,600,217,221,125,132,92,154,108,93,86,639,201,242,117,168,101,93,79,136,85
BK79,Ocean Hill,293,150,186,129,21,43,45,51,120,117,0,38,107,59,34,45,20,36,47,49,6,37
BK81,Brownsville,472,151,165,79,88,65,69,65,0,51,8,51,307,122,62,64,41,57,177,98,27,54
BK82,East New York,572,172,246,116,78,87,108,90,18,63,42,73,326,127,81,81,134,78,87,70,24,65
BK83,Cypress Hills-City Line,538,177,235,101,64,59,107,63,51,56,13,49,303,105,118,60,71,60,88,67,26,55
BK85,East New York (Pennsylvania Ave),211,129,127,78,73,62,24,39,11,40,19,40,84,69,37,42,6,35,10,39,31,49
BK88,Borough Park,256,134,191,118,28,71,28,77,34,72,101,88,65,71,36,71,18,68,11,69,0,68
BK90,East Williamsburg,365,125,136,75,48,54,20,42,39,58,29,44,229,84,56,47,68,56,30,50,75,53
BK91,East Flatbush-Farragut,674,202,289,116,48,55,71,73,126,88,44,61,385,128,72,62,94,70,96,69,123,79
BK93,Starrett City,185,120,78,78,15,31,49,61,14,29,0,24,107,80,12,26,34,33,17,32,44,59
BK95,Erasmus,405,208,165,116,40,52,39,47,86,72,0,36,240,135,67,58,81,78,63,51,29,47
BK96,Rugby-Remsen Village,317,128,157,90,36,57,50,75,35,59,36,58,160,85,57,73,29,56,44,59,30,57
BK99,park-cemetery-etc-Brooklyn,35,55,0,40,0,40,0,40,0,40,0,40,35,55,0,40,0,40,0,40,35,55
BX01,Claremont-Bathgate,411,173,163,88,60,65,41,53,28,47,34,49,248,132,79,62,70,56,77,78,22,43
BX03,Eastchester-Edenwald-Baychester,430,201,290,174,27,43,87,92,167,156,9,41,140,76,16,41,44,54,37,46,43,50
BX05,Bedford Park-Fordham North,644,211,332,138,94,66,49,69,181,117,8,48,312,116,95,71,62,58,28,50,127,74
BX06,Belmont,412,226,204,131,74,92,2,32,128,99,0,34,208,132,78,84,107,112,23,38,0,34
BX07,Bronxdale,683,221,241,123,98,89,49,50,94,63,0,38,442,151,73,66,67,77,135,88,167,93
BX08,West Farms-Bronx River,1406,421,675,227,349,157,136,98,88,71,102,102,731,227,184,102,242,112,201,134,104,80
BX09,Soundview-Castle Hill-Clason Point-Harding Park,872,351,437,226,60,64,218,136,89,92,70,72,435,160,23,50,140,91,203,97,69,57
BX10,Pelham Bay-Country Club-City Island,280,181,208,154,1,43,0,34,113,113,94,97,72,60,27,55,16,39,29,38,0,34
BX13,Co-op City,865,570,327,248,51,63,32,32,192,228,52,52,538,336,36,48,54,58,168,126,280,269
BX14,East Concourse-Concourse Village,744,227,302,123,166,91,55,64,0,51,81,77,442,156,144,80,109,93,108,81,81,85
BX17,East Tremont,625,228,289,163,17,43,176,141,44,55,52,66,336,125,58,52,90,70,136,79,52,58
BX22,North Riverdale-Fieldston-Riverdale,177,81,46,50,0,38,6,38,0,38,40,48,131,70,0,38,0,38,60,55,71,53
BX26,Highbridge,356,126,169,85,46,46,91,73,18,46,14,44,187,87,85,57,49,50,37,45,16,41
BX27,Hunts Point,629,210,247,110,118,80,46,47,55,60,28,45,382,129,126,67,70,50,158,84,28,42
BX28,Van Cortlandt Village,1045,271,485,156,175,105,85,66,60,66,165,84,560,178,177,101,148,95,130,78,105,65
BX29,Spuyten Duyvil-Kingsbridge,619,214,309,137,35,50,28,46,128,96,118,85,310,130,16,40,52,81,118,100,124,61
BX30,Kingsbridge Heights,623,207,158,81,72,63,19,39,28,46,39,49,465,175,200,143,31,41,177,88,57,53
BX31,Allerton-Pelham Gardens,335,121,104,70,19,50,6,40,42,51,37,58,231,97,33,45,41,51,109,69,48,55
BX33,Longwood,344,131,131,74,11,37,44,42,76,58,0,36,213,94,68,50,60,46,42,48,43,44
BX34,Melrose South-Mott Haven North,465,198,136,85,55,63,27,55,45,57,9,41,329,153,102,72,139,84,44,66,44,59
BX35,Morrisania-Melrose,867,227,354,133,118,70,67,60,125,72,44,57,513,150,178,77,126,71,155,89,54,52
BX36,University Heights-Morris Heights,942,254,361,132,66,65,125,90,113,82,57,65,581,189,200,102,162,91,163,111,56,65
BX37,Van Nest-Morris Park-Westchester Square,540,174,269,112,98,62,51,54,95,73,25,45,271,101,60,61,75,54,87,55,49,61
BX39,Mott Haven-Port Morris,527,178,218,95,78,65,104,77,36,57,0,50,309,132,168,100,50,61,73,61,18,50
BX40,Fordham South,225,137,37,56,37,56,0,32,0,32,0,32,188,126,44,50,61,66,21,42,62,71
BX41,Mount Hope,801,218,404,145,83,60,108,87,134,97,79,70,397,130,168,84,69,73,117,92,43,50
BX43,Norwood,1010,339,381,194,214,119,80,115,18,49,69,65,629,190,136,85,203,109,150,78,140,98
BX44,Williamsbridge-Olinville,497,166,206,91,49,69,65,63,61,60,31,58,291,129,53,63,9,54,179,105,50,63
BX46,Parkchester,888,291,431,184,141,92,77,60,107,87,106,96,457,164,79,53,80,78,130,64,168,114
BX49,Pelham Parkway,281,135,149,106,33,41,21,55,62,77,33,45,132,76,11,40,0,38,17,39,104,72
BX52,Schuylerville-Throgs Neck-Edgewater Park,573,179,206,104,36,62,118,74,0,52,52,78,367,141,161,107,84,70,87,83,35,62
BX55,Soundview-Bruckner,1419,384,629,256,380,201,202,124,18,41,29,47,790,202,316,125,159,93,193,95,122,86
BX59,Westchester-Unionport,661,226,283,151,21,40,128,101,115,77,19,39,378,178,108,102,102,74,127,86,41,44
BX62,Woodlawn-Wakefield,394,214,213,140,27,48,100,91,57,69,29,59,181,97,31,51,88,83,8,48,54,55
BX63,West Concourse,702,226,350,131,114,74,77,64,114,85,45,46,352,140,201,102,48,49,35,51,68,68
BX75,Crotona Park East,206,102,72,48,51,42,11,32,0,29,10,31,134,80,27,39,19,32,45,43,43,62
BX98,Rikers Island,78,47,78,47,47,34,7,12,17,19,7,13,0,17,0,17,0,17,0,17,0,17
