area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
BK09,Brooklyn Heights-Cobble Hill,17611,917,14090,748,13317,744,429,195,12888,739,773,210,63,61,710,204,3521,565,407,195,3114,529
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,38792,1226,28167,1038,25662,972,724,188,24938,969,2505,372,206,97,2299,365,10625,744,2122,309,8503,700
BK19,Brighton Beach,19508,975,13605,760,12561,737,328,120,12233,733,1044,240,50,52,994,233,5903,633,917,245,4986,574
BK21,Seagate-Coney Island,17294,992,11816,867,9290,737,423,136,8867,738,2526,511,143,80,2383,502,5478,570,1655,306,3823,464
BK23,West Brighton,8157,749,6207,673,5830,666,411,141,5419,654,377,181,39,42,338,175,1950,340,531,168,1419,302
BK25,Homecrest,24789,987,17654,831,15942,791,572,196,15370,797,1712,301,48,50,1664,298,7135,548,968,194,6167,515
BK26,Gravesend,16315,890,11683,727,10326,698,525,153,9801,683,1357,272,101,61,1256,262,4632,464,1032,227,3600,404
BK27,Bath Beach,18358,989,12915,868,11886,807,275,105,11611,795,1029,220,82,62,947,211,5443,512,879,193,4564,458
BK28,Bensonhurst West,55182,1636,39133,1345,35403,1260,799,175,34604,1244,3730,415,210,116,3520,399,16049,866,2050,295,13999,813
BK29,Bensonhurst East,39244,1288,28828,1095,25988,1024,533,146,25455,1019,2840,407,86,71,2754,403,10416,679,1391,220,9025,655
BK30,Dyker Heights,28612,1115,21103,952,19354,915,394,120,18960,920,1749,310,90,79,1659,299,7509,637,1097,208,6412,589
BK31,Bay Ridge,54687,1358,40682,1087,37219,1038,1148,217,36071,1024,3463,387,272,113,3191,366,14005,883,2140,375,11865,800
BK32,Sunset Park West,35355,1225,27574,1094,24783,1064,609,169,24174,1079,2791,376,104,69,2687,373,7781,578,1315,235,6466,532
BK33,Carroll Gardens-Columbia Street-Red Hook,27492,1001,22842,882,20781,836,385,121,20396,831,2061,384,139,94,1922,374,4650,543,1335,323,3315,442
BK34,Sunset Park East,48018,1557,35179,1332,31328,1238,847,192,30481,1226,3851,473,161,85,3690,467,12839,796,1777,278,11062,762
BK35,Stuyvesant Heights,41769,1417,29208,1212,24573,1115,1248,249,23325,1089,4635,538,285,103,4350,535,12561,849,3069,407,9492,732
BK37,Park Slope-Gowanus,53744,1352,46614,1289,43572,1253,833,226,42739,1257,3042,426,195,107,2847,415,7130,584,1105,245,6025,535
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,25337,980,19665,820,17684,776,506,149,17178,786,1981,312,264,109,1717,301,5672,612,1585,288,4087,515
BK40,Windsor Terrace,15810,669,13278,643,12535,636,308,165,12227,625,743,178,138,88,605,154,2532,368,350,133,2182,335
BK41,Kensington-Ocean Parkway,22754,983,16377,815,14953,761,750,228,14203,734,1424,308,154,120,1270,284,6377,549,1140,231,5237,517
BK42,Flatbush,69544,1787,51300,1532,46009,1459,1510,253,44499,1457,5291,519,445,154,4846,494,18244,1034,2646,371,15598,976
BK43,Midwood,31123,1068,21155,837,19383,825,477,133,18906,824,1772,355,200,135,1572,334,9968,696,1614,287,8354,675
BK44,Madison,25690,873,18385,686,17200,682,607,153,16593,678,1185,233,82,57,1103,233,7305,541,936,206,6369,506
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,29484,995,22023,813,19878,771,517,141,19361,768,2145,380,138,89,2007,367,7461,595,968,190,6493,569
BK46,Ocean Parkway South,11319,702,7881,572,7056,509,176,87,6880,507,825,200,20,35,805,199,3438,342,388,114,3050,328
