area_id,area_name,c18121001,c18121001_moe,c18121002,c18121002_moe,c18121003,c18121003_moe,c18121004,c18121004_moe,c18121005,c18121005_moe,c18121006,c18121006_moe,c18121007,c18121007_moe,c18121008,c18121008_moe,c18121009,c18121009_moe,c18121010,c18121010_moe
BK09,Brooklyn Heights-Cobble Hill,17611,917,10148,626,297,168,9851,616,4240,547,224,120,4016,538,3223,537,378,182,2845,509
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,38792,1226,20505,905,413,129,20092,905,7104,633,542,177,6562,607,11183,766,2097,309,9086,729
BK19,Brighton Beach,19508,975,9772,673,144,68,9628,672,3577,444,220,103,3357,433,6159,641,931,246,5228,590
BK21,Seagate-Coney Island,17294,992,6555,612,360,131,6195,610,4019,473,187,80,3832,468,6720,675,1674,309,5046,597
BK23,West Brighton,8157,749,4680,589,250,100,4430,588,1487,283,216,109,1271,261,1990,347,515,168,1475,310
BK25,Homecrest,24789,987,11600,655,427,161,11173,654,5518,500,192,82,5326,493,7671,550,969,193,6702,524
BK26,Gravesend,16315,890,7891,606,291,99,7600,607,3313,440,352,124,2961,412,5111,496,1015,229,4096,460
BK27,Bath Beach,18358,989,8873,661,214,93,8659,652,3855,454,166,82,3689,441,5630,526,856,185,4774,480
BK28,Bensonhurst West,55182,1636,26508,1098,457,134,26051,1082,12169,791,556,142,11613,784,16505,869,2046,297,14459,835
BK29,Bensonhurst East,39244,1288,19311,895,322,114,18989,891,8772,637,330,115,8442,631,11161,691,1358,219,9803,670
BK30,Dyker Heights,28612,1115,14375,798,201,84,14174,801,6439,547,252,98,6187,542,7798,646,1128,215,6670,595
BK31,Bay Ridge,54687,1358,28465,949,647,163,27818,948,11989,707,682,169,11307,696,14233,898,2231,386,12002,817
BK32,Sunset Park West,35355,1225,17018,869,355,123,16663,877,9512,760,385,126,9127,754,8825,611,1288,235,7537,561
BK33,Carroll Gardens-Columbia Street-Red Hook,27492,1001,15454,751,302,102,15152,754,7093,605,271,111,6822,597,4945,580,1286,311,3659,503
BK34,Sunset Park East,48018,1557,19808,990,438,133,19370,986,14507,922,540,165,13967,896,13703,838,1807,284,11896,804
BK35,Stuyvesant Heights,41769,1417,19039,981,1000,218,18039,962,8066,676,453,140,7613,659,14664,895,3149,409,11515,805
BK37,Park Slope-Gowanus,53744,1352,31981,1103,569,196,31412,1112,14768,844,422,139,14346,834,6995,614,1142,248,5853,564
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,25337,980,13252,689,248,102,13004,687,6065,480,537,182,5528,452,6020,639,1570,288,4450,533
BK40,Windsor Terrace,15810,669,9023,609,146,97,8877,599,4479,468,249,130,4230,463,2308,359,401,157,1907,318
BK41,Kensington-Ocean Parkway,22754,983,9494,666,396,151,9098,654,6956,551,443,189,6513,534,6304,560,1205,233,5099,520
BK42,Flatbush,69544,1787,34036,1287,925,202,33111,1286,16111,930,891,200,15220,898,19397,1077,2785,374,16612,1015
BK43,Midwood,31123,1068,12245,661,185,81,12060,658,9209,656,490,173,8719,646,9669,692,1616,305,8053,658
BK44,Madison,25690,873,13220,621,461,139,12759,612,5216,483,240,92,4976,471,7254,553,924,209,6330,519
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,29484,995,15194,693,379,118,14815,696,6520,530,283,114,6237,515,7770,642,961,194,6809,608
BK46,Ocean Parkway South,11319,702,4644,421,79,70,4565,420,3316,390,116,62,3200,388,3359,346,389,114,2970,334
BK50,Canarsie,56852,1473,30672,1100,720,169,29952,1088,11480,725,616,165,10864,709,14700,839,2115,279,12585,779
BK58,Flatlands,45544,1239,23352,938,524,134,22828,928,11224,716,539,142,10685,709,10968,672,1409,224,9559,651
BK60,Prospect Lefferts Gardens-Wingate,45330,1476,22188,1059,640,171,21548,1054,11158,864,716,192,10442,838,11984,923,1971,412,10013,836
