area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
BK09,Brooklyn Heights-Cobble Hill,22622,1151,2985,422,83,59,19,36,64,54,2902,419,108,88,2794,414,16756,886,881,297,159,140,722,246,15875,876,1684,465,14191,794,2881,356,786,215,109,64,677,209,2095,298,135,93,1960,291
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61232,1613,11228,843,169,90,0,55,169,90,11059,840,2297,550,8762,752,38792,1226,3052,404,885,207,2167,347,35740,1219,4357,615,31383,1230,11212,656,5582,510,1553,306,4029,404,5630,440,774,189,4856,410
BK19,Brighton Beach,31417,1314,5141,634,107,76,52,56,55,60,5034,630,1429,377,3605,573,19508,975,1295,275,638,233,657,165,18213,966,3357,587,14856,981,6768,458,4766,410,2580,334,2186,323,2002,301,403,140,1599,279
BK21,Seagate-Coney Island,29381,1272,6455,766,311,147,142,89,169,120,6144,738,2284,522,3860,599,17269,991,2221,345,1088,265,1133,238,15048,960,3754,707,11294,911,5657,489,2841,352,1550,270,1291,247,2816,373,731,184,2085,345
BK23,West Brighton,15410,683,1287,245,13,31,0,27,13,31,1274,242,50,48,1224,242,8157,749,981,232,174,81,807,218,7176,732,391,143,6785,734,5966,454,2815,315,761,180,2054,286,3151,432,444,152,2707,417
BK25,Homecrest,41755,1455,10053,903,225,109,38,67,187,98,9828,889,1806,490,8022,810,24734,983,1588,272,384,133,1204,248,23146,995,2389,467,20757,967,6968,502,2801,316,690,166,2111,292,4167,419,546,147,3621,402
BK26,Gravesend,27710,1254,5154,698,148,71,36,42,112,63,5006,701,1490,489,3516,552,16315,890,1658,294,597,178,1061,241,14657,847,2373,425,12284,862,6241,501,2683,338,847,175,1836,315,3558,474,213,88,3345,473
BK27,Bath Beach,29100,1245,5690,629,82,64,41,61,41,44,5608,620,1120,329,4488,580,18358,989,1236,233,340,117,896,196,17122,944,2245,437,14877,963,5052,426,1900,257,473,134,1427,236,3152,367,323,113,2829,356
BK28,Bensonhurst West,86379,2161,18095,1056,195,88,61,70,134,79,17900,1049,4774,719,13126,900,55182,1636,3059,367,684,171,2375,325,52123,1604,7505,825,44618,1612,13102,777,4878,529,1369,309,3509,365,8224,600,1102,241,7122,570
BK29,Bensonhurst East,60961,1647,11520,805,145,75,34,57,111,67,11375,804,2394,485,8981,723,39244,1288,2010,282,588,168,1422,220,37234,1288,4789,664,32445,1291,10197,617,3819,352,1096,201,2723,318,6378,562,921,203,5457,533
