area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
BK09,Brooklyn Heights-Cobble Hill,501,162,217,106,217,106,1,27,216,106,0,29,0,29,0,29,284,128,284,128,0,29,284,128,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,365,209,145,99,138,98,0,55,138,98,7,55,0,55,7,55,220,133,210,132,0,55,210,132,10,56,0,55,10,56
BK19,Brighton Beach,641,326,290,148,290,148,0,38,290,148,0,38,0,38,0,38,351,202,351,202,0,38,351,202,0,38,0,38,0,38
BK21,Seagate-Coney Island,327,159,181,122,137,116,0,38,137,116,44,49,0,38,44,49,146,80,113,78,0,38,113,78,33,53,0,38,33,53
BK23,West Brighton,28,47,15,32,8,28,0,27,8,28,7,26,0,27,7,26,13,31,7,27,0,27,7,27,6,26,0,27,6,26
BK25,Homecrest,386,300,230,216,212,215,0,48,212,215,18,50,0,48,18,50,156,112,145,112,0,48,145,112,11,50,0,48,11,50
BK26,Gravesend,168,111,88,80,88,80,11,36,77,79,0,36,0,36,0,36,80,64,59,52,0,36,59,52,21,39,0,36,21,39
BK27,Bath Beach,221,115,152,84,136,82,0,40,136,82,16,41,0,40,16,41,69,52,52,48,0,40,52,48,17,41,0,40,17,41
BK28,Bensonhurst West,379,136,213,98,197,97,35,69,162,85,16,62,0,64,16,62,166,85,153,82,18,67,135,79,13,66,0,64,13,66
BK29,Bensonhurst East,485,204,251,125,231,124,0,51,231,124,20,52,0,51,20,52,234,107,224,106,0,51,224,106,10,50,0,51,10,50
BK30,Dyker Heights,263,177,140,125,109,96,0,51,109,96,31,59,4,50,27,60,123,92,119,92,0,51,119,92,4,50,0,51,4,50
BK31,Bay Ridge,846,247,449,158,436,158,25,68,411,154,13,67,0,66,13,67,397,141,397,141,16,65,381,139,0,66,0,66,0,66
BK32,Sunset Park West,1084,286,714,218,684,217,0,49,684,217,30,53,0,49,30,53,370,122,325,118,0,49,325,118,45,54,0,49,45,54
BK33,Carroll Gardens-Columbia Street-Red Hook,821,250,299,116,288,114,0,45,288,114,11,47,0,45,11,47,522,206,505,205,0,45,505,205,17,45,0,45,17,45
BK34,Sunset Park East,694,234,304,169,273,154,26,64,247,151,31,70,0,59,31,70,390,143,367,138,0,59,367,138,23,58,0,59,23,58
BK35,Stuyvesant Heights,738,220,389,152,377,151,24,53,353,148,12,53,0,51,12,53,349,127,310,121,0,51,310,121,39,59,0,51,39,59
BK37,Park Slope-Gowanus,1491,275,724,191,718,191,11,59,707,190,6,58,6,58,0,58,767,183,642,172,0,58,642,172,125,75,0,58,125,75
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,975,215,410,131,347,111,16,43,331,109,63,63,41,56,22,50,565,161,529,158,31,65,498,151,36,46,0,42,36,46
BK40,Windsor Terrace,368,174,172,104,146,88,0,32,146,88,26,39,0,32,26,39,196,115,177,112,0,32,177,112,19,35,0,32,19,35
BK41,Kensington-Ocean Parkway,533,219,249,120,249,120,0,40,249,120,0,40,0,40,0,40,284,134,266,129,0,40,266,129,18,41,0,40,18,41
BK42,Flatbush,1417,344,601,193,500,173,10,69,490,172,101,86,10,69,91,86,816,221,755,218,15,71,740,217,61,74,24,70,37,70
BK43,Midwood,518,192,264,112,227,106,0,51,227,106,37,58,0,51,37,58,254,116,210,96,0,51,210,96,44,64,0,51,44,64
BK44,Madison,165,91,101,68,96,66,22,49,74,65,5,46,5,46,0,46,64,56,54,54,15,50,39,49,10,47,0,46,10,47
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,380,160,199,99,173,95,21,59,152,93,26,59,0,55,26,59,181,113,172,106,0,55,172,106,9,56,0,55,9,56
BK46,Ocean Parkway South,71,51,24,40,14,36,0,36,14,36,10,38,0,36,10,38,47,44,47,44,0,36,47,44,0,36,0,36,0,36
BK50,Canarsie,519,186,265,147,258,147,27,80,231,142,7,70,0,70,7,70,254,107,231,106,0,70,231,106,23,71,0,70,23,71
BK58,Flatlands,706,236,333,127,259,115,14,62,245,115,74,85,23,65,51,78,373,142,319,137,0,62,319,137,54,71,0,62,54,71
BK60,Prospect Lefferts Gardens-Wingate,821,333,348,215,333,215,0,58,333,215,15,58,0,58,15,58,473,205,428,196,0,58,428,196,45,80,0,58,45,80
BK61,Crown Heights North,1315,287,538,207,526,206,6,67,520,206,12,68,0,67,12,68,777,197,684,187,0,67,684,187,93,76,0,67,93,76
BK63,Crown Heights South,140,70,58,51,58,51,0,40,58,51,0,40,0,40,0,40,82,57,74,56,0,40,74,56,8,40,0,40,8,40
BK64,Prospect Heights,378,129,166,83,157,82,9,33,148,81,9,33,0,32,9,33,212,87,181,79,9,33,172,78,31,46,0,32,31,46
BK68,Fort Greene,848,220,373,127,351,124,67,71,284,109,22,40,6,37,16,41,475,166,445,156,0,38,445,156,30,44,0,38,30,44
BK69,Clinton Hill,1154,275,692,225,639,220,0,40,639,220,53,65,45,65,8,40,462,130,406,116,0,40,406,116,56,60,0,40,56,60
BK72,Williamsburg,170,107,69,61,69,61,4,35,65,62,0,36,0,36,0,36,101,77,56,59,0,36,56,59,45,59,0,36,45,59
