area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
BK09,Brooklyn Heights-Cobble Hill,16630,818,8652,561,7416,527,6068,481,0,29,6068,481,5772,471,296,127,1348,251,1236,204,363,115,363,115,0,29,873,178,7978,502,6828,472,5525,383,0,29,5525,383,5243,385,282,143,1303,274,1150,217,289,113,280,112,9,30,861,193
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,38839,1195,17848,743,14144,728,10878,583,0,55,10878,583,10026,553,852,198,3266,437,3704,331,542,121,484,116,58,60,3162,319,20991,781,15101,729,10124,652,0,55,10124,652,9432,619,692,214,4977,550,5890,424,453,116,432,114,21,55,5437,418
BK19,Brighton Beach,21893,929,9654,588,7375,547,5473,471,35,53,5438,466,4956,457,482,159,1902,313,2279,260,195,87,171,85,24,42,2084,246,12239,610,8178,575,5241,451,0,38,5241,451,5006,441,235,109,2937,427,4061,337,261,101,251,100,10,38,3800,335
BK21,Seagate-Coney Island,10903,828,4979,483,3505,438,2469,387,0,38,2469,387,2059,350,410,153,1036,248,1474,229,160,81,151,81,9,37,1314,219,5924,477,3702,434,2226,341,10,39,2216,341,1941,322,275,139,1476,294,2222,256,101,66,101,66,0,38,2121,253
BK23,West Brighton,14037,625,5900,418,3532,439,2667,377,53,66,2614,379,2419,375,195,94,865,232,2368,274,196,96,186,94,10,29,2172,280,8137,445,4694,484,3515,437,0,27,3515,437,3342,432,173,145,1179,270,3443,310,293,114,241,96,52,64,3150,300
BK25,Homecrest,27759,979,13507,625,10813,612,8524,525,0,48,8524,525,7858,490,666,178,2289,311,2694,272,355,90,345,88,10,49,2339,263,14252,551,10631,534,6187,442,0,48,6187,442,5466,427,721,182,4444,379,3621,302,178,69,169,67,9,49,3443,300
BK26,Gravesend,14781,815,6830,513,4426,475,3261,388,0,36,3261,388,2893,368,368,135,1165,235,2404,286,115,58,103,53,12,39,2289,287,7951,448,4997,421,3361,352,0,36,3361,352,3022,330,339,117,1636,268,2954,290,149,65,149,65,0,36,2805,288
BK27,Bath Beach,15110,879,7329,560,5375,544,4189,497,0,40,4189,497,3811,460,378,124,1186,219,1954,247,207,79,200,77,7,40,1747,229,7781,502,5158,485,3287,407,0,40,3287,407,3062,388,225,93,1871,277,2623,266,133,77,125,76,8,37,2490,262
BK28,Bensonhurst West,40403,1379,18656,821,14538,807,11608,701,0,64,11608,701,10412,656,1196,249,2930,368,4118,365,386,116,324,111,62,62,3732,352,21747,831,15467,789,9352,626,0,64,9352,626,8464,589,888,193,6115,521,6280,452,328,104,261,94,67,70,5952,447
BK29,Bensonhurst East,29012,1085,13854,669,10450,662,8583,592,0,51,8583,592,7758,568,825,213,1867,292,3404,300,253,98,227,97,26,52,3151,289,15158,690,10787,680,6864,544,0,51,6864,544,6138,521,726,171,3923,424,4371,346,178,70,176,71,2,50,4193,343
