area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
BK09,Brooklyn Heights-Cobble Hill,501,162,217,106,217,106,165,96,0,29,165,96,142,90,23,46,52,47,0,29,0,29,0,29,0,29,0,29,284,128,284,128,173,106,0,29,173,106,173,106,0,29,111,78,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,394,217,159,101,152,100,124,92,0,55,124,92,94,81,30,70,28,60,7,55,7,55,7,55,0,55,0,55,235,137,225,136,95,83,0,55,95,83,50,65,45,67,130,101,10,56,0,55,0,55,0,55,10,56
BK19,Brighton Beach,667,332,290,148,290,148,157,94,0,38,157,94,157,94,0,38,133,127,0,38,0,38,0,38,0,38,0,38,377,207,377,207,215,118,0,38,215,118,201,118,14,43,162,109,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,347,197,201,160,157,155,74,72,0,38,74,72,41,51,33,63,83,117,44,49,0,38,0,38,0,38,44,49,146,80,113,78,69,64,0,38,69,64,63,64,6,37,44,56,33,53,0,38,0,38,0,38,33,53
BK23,West Brighton,37,48,24,35,17,31,17,31,9,28,8,28,0,27,8,28,0,27,7,26,0,27,0,27,0,27,7,26,13,31,7,27,7,27,0,27,7,27,7,27,0,27,0,27,6,26,0,27,0,27,0,27,6,26
BK25,Homecrest,405,311,249,223,231,222,96,89,0,48,96,89,36,55,60,85,135,149,18,50,6,47,6,47,0,48,12,51,156,112,145,112,41,58,0,48,41,58,41,58,0,48,104,96,11,50,0,48,0,48,0,48,11,50
BK26,Gravesend,208,125,88,80,88,80,40,54,0,36,40,54,40,54,0,36,48,52,0,36,0,36,0,36,0,36,0,36,120,86,99,71,17,42,0,36,17,42,17,42,0,36,82,57,21,39,14,40,14,40,0,36,7,35
BK27,Bath Beach,221,115,152,84,136,82,136,82,0,40,136,82,128,76,8,43,0,40,16,41,0,40,0,40,0,40,16,41,69,52,52,48,48,49,0,40,48,49,48,49,0,40,4,38,17,41,0,40,0,40,0,40,17,41
BK28,Bensonhurst West,379,136,213,98,197,97,160,89,0,64,160,89,141,88,19,65,37,72,16,62,8,64,8,64,0,64,8,62,166,85,153,82,124,82,0,64,124,82,114,80,10,64,29,64,13,66,0,64,0,64,0,64,13,66
BK29,Bensonhurst East,524,227,290,154,270,153,210,135,0,51,210,135,181,124,29,59,60,66,20,52,9,52,9,52,0,51,11,51,234,107,224,106,104,73,0,51,104,73,70,64,34,61,120,91,10,50,0,51,0,51,0,51,10,50
BK30,Dyker Heights,282,178,140,125,109,96,69,62,0,51,69,62,62,62,7,50,40,63,31,59,26,59,26,59,0,51,5,50,142,96,138,95,53,55,0,51,53,55,53,55,0,51,85,78,4,50,0,51,0,51,0,51,4,50
BK31,Bay Ridge,938,281,512,177,499,177,375,130,27,73,348,126,326,124,22,68,124,111,13,67,4,65,4,65,0,66,9,66,426,154,426,154,234,98,0,66,234,98,176,85,58,76,192,123,0,66,0,66,0,66,0,66,0,66
BK32,Sunset Park West,1159,304,744,228,714,226,403,178,0,49,403,178,386,169,17,55,311,130,30,53,10,51,10,51,0,49,20,52,415,137,370,133,219,98,0,49,219,98,156,82,63,69,151,88,45,54,0,49,0,49,0,49,45,54
BK33,Carroll Gardens-Columbia Street-Red Hook,826,250,299,116,288,114,252,102,0,45,252,102,210,91,42,57,36,64,11,47,11,47,11,47,0,45,0,45,527,206,510,205,455,195,0,45,455,195,441,195,14,47,55,67,17,45,0,45,0,45,0,45,17,45
BK34,Sunset Park East,776,247,343,174,312,159,218,148,7,57,211,149,211,149,0,59,94,75,31,70,31,70,31,70,0,59,0,59,433,155,410,151,201,106,0,59,201,106,184,102,17,63,209,110,23,58,16,59,7,58,9,58,7,57
BK35,Stuyvesant Heights,738,220,389,152,377,151,290,123,0,51,290,123,228,113,62,69,87,80,12,53,0,51,0,51,0,51,12,53,349,127,310,121,229,105,0,51,229,105,191,97,38,57,81,71,39,59,0,51,0,51,0,51,39,59
BK37,Park Slope-Gowanus,1571,282,770,201,764,200,588,169,30,75,558,162,530,159,28,63,176,116,6,58,0,58,0,58,0,58,6,58,801,186,676,175,577,170,0,58,577,170,549,167,28,65,99,65,125,75,77,72,77,72,0,58,48,61
