area_id,area_name,c24060001,c24060001_moe,c24060002,c24060002_moe,c24060003,c24060003_moe,c24060004,c24060004_moe,c24060005,c24060005_moe,c24060006,c24060006_moe,c24060007,c24060007_moe,c24060008,c24060008_moe,c24060009,c24060009_moe,c24060010,c24060010_moe,c24060011,c24060011_moe,c24060012,c24060012_moe,c24060013,c24060013_moe,c24060014,c24060014_moe,c24060015,c24060015_moe,c24060016,c24060016_moe,c24060017,c24060017_moe,c24060018,c24060018_moe,c24060019,c24060019_moe,c24060020,c24060020_moe,c24060021,c24060021_moe,c24060022,c24060022_moe,c24060023,c24060023_moe,c24060024,c24060024_moe,c24060025,c24060025_moe,c24060026,c24060026_moe,c24060027,c24060027_moe,c24060028,c24060028_moe,c24060029,c24060029_moe,c24060030,c24060030_moe,c24060031,c24060031_moe,c24060032,c24060032_moe,c24060033,c24060033_moe,c24060034,c24060034_moe,c24060035,c24060035_moe,c24060036,c24060036_moe
BK09,Brooklyn Heights-Cobble Hill,14060,750,10086,602,910,250,2568,405,282,143,214,105,8146,604,5528,489,417,143,1925,349,165,103,111,82,674,180,552,163,5,28,117,78,0,29,0,29,2024,325,1760,303,64,62,166,98,0,29,34,45,1569,282,1193,230,184,137,115,77,57,65,20,36,1647,317,1053,237,240,142,245,148,60,81,49,56
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26811,977,11525,747,4198,491,6251,537,1795,291,3042,392,17676,865,6985,575,2723,417,4687,491,1228,251,2053,329,1011,233,589,197,81,74,237,103,47,61,57,66,1480,247,921,202,172,107,311,100,47,61,29,59,5272,502,2546,337,983,222,786,198,324,119,633,186,1372,276,484,146,239,119,230,99,149,90,270,167
BK19,Brighton Beach,13095,751,4841,477,3035,423,2845,390,992,234,1382,263,9415,651,3070,397,2337,391,2108,342,766,214,1134,253,509,181,297,156,19,47,131,78,9,39,53,52,831,179,543,154,103,61,142,67,12,40,31,47,1709,288,729,170,414,131,303,115,158,78,105,67,631,208,202,109,162,87,161,105,47,57,59,59
BK21,Seagate-Coney Island,9752,735,1779,306,2976,422,2813,399,819,224,1365,313,6719,641,865,213,2084,360,2205,372,746,214,819,210,151,72,39,46,16,37,72,59,12,41,12,37,731,197,362,135,217,123,110,63,21,49,21,48,1488,294,374,135,446,157,366,128,21,47,281,164,663,227,139,97,213,120,60,60,19,43,232,157
BK23,West Brighton,6332,661,2602,426,1356,320,1451,275,400,149,523,183,4333,572,1676,335,1000,266,1006,239,223,119,428,177,208,100,82,56,20,39,38,35,51,47,17,31,500,186,170,89,168,148,136,72,20,41,6,26,1046,263,543,196,114,81,240,129,90,73,59,46,245,114,131,90,54,59,31,42,16,36,13,33
BK25,Homecrest,16644,810,6011,485,3203,448,4763,463,1301,266,1366,235,11609,762,3559,383,2223,377,3701,418,1089,250,1037,211,810,188,418,121,52,94,281,109,59,79,0,48,1381,233,834,178,299,125,199,83,14,48,35,60,1598,250,757,169,343,125,286,94,89,66,123,75,1246,243,443,118,286,138,296,120,50,58,171,85
BK26,Gravesend,10646,704,3266,414,2397,382,2636,355,927,219,1420,270,7434,620,1868,296,1748,350,2158,325,729,203,931,208,396,138,161,101,39,51,104,63,55,60,37,48,558,167,350,119,137,86,67,52,0,36,4,35,1806,313,810,192,384,142,246,93,106,62,260,119,452,186,77,91,89,87,61,67,37,56,188,132
BK27,Bath Beach,12340,830,4200,498,2381,387,3439,394,986,300,1334,277,8921,717,2619,376,1872,361,2510,344,865,290,1055,226,455,152,241,103,18,42,159,96,5,40,32,53,632,157,290,93,128,75,199,101,8,40,7,40,1841,332,932,214,221,97,427,144,65,57,196,129,491,166,118,81,142,81,144,94,43,56,44,49
BK28,Bensonhurst West,36452,1278,9166,622,9292,801,9070,657,3735,511,5189,488,27782,1150,5708,476,7475,670,7322,592,3014,460,4263,450,1022,211,386,134,106,99,233,106,96,78,201,89,1812,263,916,194,342,108,458,124,41,69,55,76,3878,417,1697,260,795,214,767,174,201,79,418,148,1958,380,459,191,574,223,290,117,383,214,252,117
BK29,Bensonhurst East,26753,1045,7199,584,6361,620,6346,563,2994,414,3853,425,19710,969,4324,449,5125,567,4851,510,2381,386,3029,376,965,217,361,126,74,73,273,133,109,93,148,80,1115,195,523,133,189,92,311,110,50,56,42,50,3484,377,1546,237,679,179,744,176,209,93,306,113,1479,265,445,148,294,129,167,86,245,109,328,125
BK30,Dyker Heights,19964,923,5869,465,5078,560,4739,469,2406,421,1872,310,14062,856,3228,362,3948,486,3547,405,1881,404,1458,292,937,206,343,115,108,73,257,118,135,73,94,84,1312,213,913,184,86,62,231,88,42,56,40,61,2566,325,1254,211,612,162,432,132,186,96,82,71,1087,277,131,73,324,145,272,120,162,94,198,98
