area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
BK09,Brooklyn Heights-Cobble Hill,1713,400,107,94,107,94,0,29,1492,351,1224,290,268,150,114,85,114,85,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9815,1118,2088,414,2088,414,0,55,6613,745,5893,682,720,265,1114,256,1045,249,69,84
BK19,Brighton Beach,4162,737,1013,281,1013,281,0,38,2811,506,2328,471,483,186,338,122,338,122,0,38
BK21,Seagate-Coney Island,3078,595,659,211,645,209,14,36,2004,476,1840,451,164,90,415,139,403,139,12,40
BK23,West Brighton,110,99,13,32,13,32,0,27,59,57,59,57,0,27,38,51,38,51,0,27
BK25,Homecrest,4336,805,982,336,969,335,13,51,2858,543,2283,450,575,258,496,189,409,163,87,107
BK26,Gravesend,6585,924,1553,376,1492,375,61,65,4563,621,3904,550,659,223,469,187,469,187,0,36
BK27,Bath Beach,9224,1059,2369,400,2161,387,208,115,6366,733,5210,673,1156,301,489,150,476,148,13,43
BK28,Bensonhurst West,32298,1825,7574,711,7247,700,327,158,22133,1330,17968,1214,4165,574,2591,366,2271,331,320,182
BK29,Bensonhurst East,23673,1641,5373,665,5042,640,331,198,16097,1138,13702,1098,2395,463,2203,334,2180,332,23,58
BK30,Dyker Heights,16714,1424,4291,637,3959,619,332,198,11193,933,9560,889,1633,346,1230,259,1191,259,39,65
BK31,Bay Ridge,11657,1109,2111,366,2079,366,32,72,8104,813,6932,762,1172,287,1442,262,1279,249,163,108
BK32,Sunset Park West,8567,1023,1889,379,1760,368,129,118,5832,777,4687,685,1145,333,846,205,846,205,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,2338,571,366,157,366,157,0,45,1833,496,1671,468,162,123,139,85,139,85,0,45
BK34,Sunset Park East,35196,1808,8374,742,7839,726,535,224,24324,1328,17400,1165,6924,845,2498,366,2284,356,214,134
BK35,Stuyvesant Heights,1874,547,443,208,402,199,41,70,1330,384,1030,300,300,175,101,94,101,94,0,51
BK37,Park Slope-Gowanus,4666,634,373,143,373,143,0,58,4074,576,3553,492,521,198,219,162,219,162,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2966,475,375,162,317,122,58,99,2388,374,2045,309,343,182,203,83,154,81,49,54
BK40,Windsor Terrace,2208,511,337,186,312,181,25,50,1533,407,1171,304,362,201,338,110,325,107,13,35
BK41,Kensington-Ocean Parkway,8825,1194,2696,556,2598,544,98,106,5810,767,4779,702,1031,287,319,122,265,107,54,69
BK42,Flatbush,8821,1076,2522,537,2373,526,149,120,5801,701,4143,540,1658,461,498,168,445,163,53,79
BK43,Midwood,5155,802,1427,346,1396,342,31,60,3268,564,2802,485,466,216,460,138,443,138,17,55
BK44,Madison,8472,942,1812,357,1696,346,116,98,5707,631,5103,611,604,185,953,199,941,196,12,48
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2298,602,525,217,525,217,0,55,1561,402,1464,391,97,71,212,100,182,93,30,62
