area_id,area_name,c27004001,c27004001_moe,c27004002,c27004002_moe,c27004003,c27004003_moe,c27004004,c27004004_moe,c27004005,c27004005_moe,c27004006,c27004006_moe,c27004007,c27004007_moe,c27004008,c27004008_moe,c27004009,c27004009_moe,c27004010,c27004010_moe,c27004011,c27004011_moe,c27004012,c27004012_moe,c27004013,c27004013_moe,c27004014,c27004014_moe,c27004015,c27004015_moe,c27004016,c27004016_moe,c27004017,c27004017_moe,c27004018,c27004018_moe,c27004019,c27004019_moe,c27004020,c27004020_moe,c27004021,c27004021_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,11805,792,1575,318,1320,302,255,114,8901,619,7108,585,1793,311,1329,226,653,149,676,192,11693,644,1431,222,1245,213,186,85,8710,519,7020,471,1690,313,1552,275,820,195,732,186
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61288,1616,28604,1040,5832,618,3767,517,2065,418,18282,762,12967,688,5315,520,4490,365,1432,213,3058,322,32684,1097,5452,579,3583,497,1869,373,20510,766,13768,694,6742,579,6722,462,1896,219,4826,433
BK19,Brighton Beach,31530,1324,14441,819,2612,394,1400,340,1212,273,9360,609,5416,503,3944,481,2469,271,533,131,1936,251,17089,793,2642,418,1491,343,1151,278,10148,604,6222,581,3926,451,4299,339,594,142,3705,323
BK21,Seagate-Coney Island,29406,1273,13579,846,3216,497,1374,370,1842,385,8067,718,3639,458,4428,622,2296,299,444,135,1852,283,15827,793,3239,477,1371,335,1868,382,9227,607,4301,478,4926,512,3361,317,557,147,2804,298
BK23,West Brighton,15410,683,6490,437,661,155,380,138,281,119,3420,411,2274,375,1146,241,2409,275,1044,247,1365,214,8920,499,626,187,411,170,215,106,4737,474,3363,424,1374,292,3557,314,1258,250,2299,277
BK25,Homecrest,41893,1458,20736,892,5126,559,3050,464,2076,357,12627,633,7359,516,5268,513,2983,291,1047,192,1936,243,21157,817,5010,548,2715,412,2295,403,12162,532,7304,476,4858,438,3985,312,1003,191,2982,279
BK26,Gravesend,27759,1258,12635,731,2320,423,827,211,1493,377,7551,548,3509,399,4042,485,2764,319,998,208,1766,275,15124,795,2883,454,1221,314,1662,375,8764,536,4445,413,4319,442,3477,305,1132,220,2345,292
BK27,Bath Beach,29100,1245,14358,791,3054,422,1440,262,1614,360,9103,620,4833,444,4270,522,2201,261,886,174,1315,203,14742,689,2636,360,1252,260,1384,248,9255,549,5273,486,3982,449,2851,277,784,158,2067,254
BK28,Bensonhurst West,86412,2161,41776,1354,8782,674,3747,449,5035,559,27587,1076,12745,710,14842,925,5407,418,1557,222,3850,367,44636,1292,9346,730,3920,466,5426,592,27595,895,13324,703,14271,763,7695,502,1637,235,6058,475
BK29,Bensonhurst East,61057,1648,30037,1009,5940,536,2518,371,3422,438,19479,790,9839,613,9640,692,4618,363,1515,229,3103,317,31020,1010,5676,531,2808,357,2868,451,19765,791,10173,642,9592,658,5579,381,1275,194,4304,348
BK30,Dyker Heights,44934,1499,22269,950,4869,490,2194,318,2675,408,14321,749,6677,481,7644,675,3079,301,1413,206,1666,238,22665,882,4424,485,1920,287,2504,409,14291,654,7400,507,6891,551,3950,317,1606,213,2344,275
BK31,Bay Ridge,83453,1976,39627,1247,8615,674,4387,454,4228,557,26694,917,15766,715,10928,768,4318,334,1926,233,2392,265,43826,1227,8417,738,4377,463,4040,628,27993,847,17178,734,10815,711,7416,421,2467,271,4949,377
BK32,Sunset Park West,52486,1676,27186,1140,6611,610,1526,315,5085,559,18878,937,6327,518,12551,886,1697,271,347,109,1350,249,25300,1030,6215,604,1621,307,4594,565,16477,687,6034,476,10443,679,2608,292,411,107,2197,284
BK33,Carroll Gardens-Columbia Street-Red Hook,38965,1308,18296,974,4029,516,2682,418,1347,345,12772,741,8398,600,4374,529,1495,246,588,133,907,212,20669,864,3665,396,2315,332,1350,277,14720,716,9991,600,4729,502,2284,280,876,169,1408,246
BK34,Sunset Park East,71445,2070,36548,1338,9491,758,1811,335,7680,713,24616,1051,5809,575,18807,1028,2441,289,359,110,2082,269,34897,1175,8177,711,1415,298,6762,687,23402,817,6212,515,17190,827,3318,322,317,104,3001,314
BK35,Stuyvesant Heights,64237,2087,28780,1352,7855,774,2588,435,5267,675,18787,1021,7754,641,11033,852,2138,293,563,152,1575,256,35457,1336,8403,743,2549,412,5854,674,22982,885,11173,721,11809,740,4072,347,905,172,3167,316
BK37,Park Slope-Gowanus,72707,1868,34796,1212,6422,589,4868,517,1554,313,25692,969,18641,849,7051,646,2682,300,1359,221,1323,232,37911,1230,6550,614,5179,531,1371,342,28052,930,21297,836,6755,603,3309,328,1516,253,1793,266
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34719,1232,16769,852,3580,437,1758,279,1822,383,12103,693,7605,553,4498,533,1086,191,400,106,686,172,17950,772,2799,373,1495,250,1304,303,13234,628,8754,513,4480,463,1917,234,431,105,1486,232
BK40,Windsor Terrace,22563,968,10694,637,2067,350,1346,234,721,294,7651,444,5477,410,2174,309,976,177,401,111,575,147,11869,590,2116,324,1535,274,581,192,8159,437,6197,424,1962,360,1594,188,546,120,1048,182
