area_id,area_name,b01001b001,b01001b001_moe,b01001b002,b01001b002_moe,b01001b003,b01001b003_moe,b01001b004,b01001b004_moe,b01001b005,b01001b005_moe,b01001b006,b01001b006_moe,b01001b007,b01001b007_moe,b01001b008,b01001b008_moe,b01001b009,b01001b009_moe,b01001b010,b01001b010_moe,b01001b011,b01001b011_moe,b01001b012,b01001b012_moe,b01001b013,b01001b013_moe,b01001b014,b01001b014_moe,b01001b015,b01001b015_moe,b01001b016,b01001b016_moe,b01001b017,b01001b017_moe,b01001b018,b01001b018_moe,b01001b019,b01001b019_moe,b01001b020,b01001b020_moe,b01001b021,b01001b021_moe,b01001b022,b01001b022_moe,b01001b023,b01001b023_moe,b01001b024,b01001b024_moe,b01001b025,b01001b025_moe,b01001b026,b01001b026_moe,b01001b027,b01001b027_moe,b01001b028,b01001b028_moe,b01001b029,b01001b029_moe,b01001b030,b01001b030_moe,b01001b031,b01001b031_moe
1.1,Arbor Heights,69,59,69,59,0,17,0,17,0,17,0,17,0,17,0,17,28,47,0,17,12,23,15,25,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,217,116,119,71,0,24,0,24,0,24,13,26,0,24,0,24,23,42,0,24,18,34,35,38,30,38,0,24,0,24,0,24,98,79,20,36,0,24,14,28,0,24,0,24,0,24,0,24,0,24,14,29,7,24,42,70,0,24,0,24,1,17
1.3,West Seattle Junction/Genesee Hill,328,172,188,124,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,69,58,92,101,9,31,0,29,0,29,5,26,140,106,0,29,0,29,0,29,0,29,0,29,0,29,41,49,0,29,23,35,0,29,76,95,0,29,0,29,0,29
1.4,Alki/Admiral,304,173,184,126,0,24,38,43,0,24,0,24,0,24,0,24,0,24,98,78,48,56,0,24,0,24,0,24,0,24,0,24,120,92,0,24,0,24,0,24,0,24,0,24,0,24,40,44,4,20,43,69,24,42,0,24,0,24,5,20,4,20
2.1,North Delridge,434,329,166,151,52,76,0,12,0,12,0,12,0,12,0,12,0,12,71,84,18,29,0,12,25,27,0,12,0,12,0,12,268,201,56,81,0,12,0,12,0,12,0,12,0,12,83,97,55,80,37,59,0,12,37,44,0,12,0,12,0,12
2.2,High Point,2132,408,1072,261,244,169,259,151,123,93,18,25,25,40,99,91,76,64,9,19,100,54,60,53,43,46,16,30,0,17,0,17,1060,211,130,84,31,57,76,75,72,45,35,37,82,54,151,115,75,69,217,123,77,56,50,46,56,86,8,18,0,17
2.3,Riverview,532,243,287,135,0,12,37,41,96,67,28,45,0,12,47,38,0,12,0,12,28,37,1,4,50,70,0,12,0,12,0,12,245,133,0,12,0,12,29,48,44,64,0,12,0,12,0,12,0,12,125,90,25,33,22,25,0,12,0,12,0,12
2.4,Roxhill/Westwood,1087,345,467,188,38,49,28,46,47,55,0,21,0,21,0,21,94,98,0,21,66,64,33,42,110,87,23,33,28,33,0,21,620,245,20,37,59,71,69,77,0,21,0,21,27,32,54,71,179,132,61,85,77,59,11,26,37,38,26,33,0,21
2.5,Highland Park,509,128,271,76,0,21,0,21,0,21,26,30,31,33,36,31,27,44,14,25,66,63,12,25,18,30,41,35,0,21,0,21,238,74,0,21,0,21,0,21,0,21,0,21,26,29,72,41,6,20,47,48,20,35,48,30,17,30,2,13,0,21
3.1,South Park,209,127,72,61,0,17,6,16,0,17,16,29,0,17,0,17,0,17,0,17,0,17,12,23,23,30,15,27,0,17,0,17,137,85,0,17,16,31,16,31,15,29,0,17,10,22,0,17,0,17,15,24,33,37,32,33,0,17,0,17,0,17
