area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
1.1,Arbor Heights,111,127,75,86,0,17,0,17,42,57,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,19,31,0,17,0,17,36,46,0,17,0,17,0,17,36,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,26,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,28,2,19,0,24,0,24,0,24,24,28,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24,12,26,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,151,116,69,79,14,33,0,29,0,29,0,29,0,29,0,29,0,29,50,79,0,29,0,29,0,29,5,22,0,29,0,29,82,72,0,29,0,29,0,29,0,29,0,29,0,29,44,53,15,34,0,29,23,33,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,49,50,31,41,0,24,0,24,0,24,10,23,0,24,0,24,0,24,21,35,0,24,0,24,0,24,0,24,0,24,0,24,18,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,18,34,0,24,0,24,0,24,0,24
2.1,North Delridge,42,49,18,29,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,44,67,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,0,12,0,12,0,12,0,12,0,12,23,34,0,12,0,12,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,62,97,0,21,0,21,22,38,0,21,40,65,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,39,44,0,21,0,21,0,21,0,21,0,21,0,21,3,19,0,21,18,34,0,21,18,34,0,21,0,21,0,21
2.5,Highland Park,37,47,9,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,18,0,21,0,21,0,21,28,45,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,28,45,0,21,0,21,0,21
3.1,South Park,28,47,14,26,0,17,0,17,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,26,0,17,0,17,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,18,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,22,31,0,12,0,12,0,12,15,26,0,12,0,12,0,12,0,12,0,12,0,12,7,17,0,12,0,12,0,12,44,76,0,12,0,12,0,12,18,32,0,12,0,12,0,12,0,12,12,22,0,12,0,12,0,12,14,22,0,12
3.4,South Beacon Hill/NewHolly,249,199,114,114,0,24,16,33,20,34,34,52,0,24,0,24,0,24,0,24,14,31,20,34,10,27,0,24,0,24,0,24,135,96,46,50,0,24,0,24,0,24,0,24,0,24,17,33,0,24,0,24,37,36,13,30,13,28,9,25,0,24
3.5,Beacon Hill,36,39,35,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,39,7,17,0,17,0,17,0,17,0,17,1,12,0,17,0,17,0,17,0,17,0,17,1,12,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
