area_id,area_name,b05001001,b05001001_moe,b05001002,b05001002_moe,b05001003,b05001003_moe,b05001004,b05001004_moe,b05001005,b05001005_moe,b05001006,b05001006_moe
1.1,Arbor Heights,6254,299,5659,323,0,17,81,56,340,107,174,86
1.2,Fauntleroy/Seaview,13775,587,12554,620,0,24,298,139,607,152,316,150
1.3,West Seattle Junction/Genesee Hill,18076,645,16259,641,52,77,208,94,796,202,761,241
1.4,Alki/Admiral,11229,569,10064,505,0,24,241,111,645,225,279,128
2.1,North Delridge,4760,357,3960,354,0,12,45,45,444,239,311,189
2.2,High Point,6489,426,4830,432,22,38,26,30,1172,253,439,199
2.3,Riverview,4691,295,3710,304,0,12,63,39,665,122,253,153
2.4,Roxhill/Westwood,12555,705,9166,642,86,95,158,93,1358,307,1787,421
2.5,Highland Park,5836,461,4285,445,137,108,0,21,880,289,534,240
3.1,South Park,4402,608,2473,306,184,155,74,76,639,215,1032,476
3.2,Georgetown,1184,151,853,154,0,12,33,39,89,42,209,96
3.3,Duwamish/SODO,2381,378,1726,303,0,12,8,17,387,161,260,146
3.4,South Beacon Hill/NewHolly,15604,1277,7396,735,100,98,175,93,5485,811,2448,631
3.5,Beacon Hill,9357,703,4570,541,14,24,134,106,3429,499,1210,339
3.6,North Beacon Hill/Jefferson Park,14254,731,8857,634,27,33,193,99,3308,396,1869,527
4.1,Rainier Beach,15163,980,10531,872,18,37,265,183,2601,455,1748,496
4.2,Columbia City,16534,862,10643,736,152,142,381,150,2835,448,2523,548
4.3,Seward Park,8790,580,6403,428,33,42,140,67,1285,216,929,331
4.4,Mt. Baker/North Rainier,5485,466,4328,439,0,17,121,76,584,251,452,203
5.1,Madrona/Leschi,10109,542,8817,571,0,21,305,161,597,187,390,197
5.2,Judkins Park,2864,281,1689,240,0,12,82,63,637,191,456,187
5.3,Central Area/Squire Park,16725,782,14119,740,16,26,165,67,1148,263,1277,411
6.1,First Hill,14725,750,11451,720,32,36,219,86,1205,227,1818,360
6.2,Capitol Hill,20237,771,16790,744,38,48,356,162,1103,285,1950,479
6.3,North Capitol Hill,3918,239,3382,288,20,31,122,91,260,102,134,86
6.4,Miller Park,7321,368,6454,344,6,16,250,97,266,89,345,119
6.5,Madison Park,5108,379,4432,404,0,17,217,101,305,138,154,97
7.1,Montlake/Portage Bay,9399,467,8353,491,0,21,157,78,564,167,325,122
7.2,University District,19410,1383,15624,1313,8,28,472,157,1185,265,2121,415
7.3,Ravenna/Bryant,24628,833,20882,772,86,92,454,128,1713,435,1493,373
7.4,Wedgwood/View Ridge,15006,465,12711,432,8,27,279,102,1063,190,945,264
7.5,Laurelhurst/Sand Point,10809,536,8984,558,1,12,157,81,883,224,784,273
8.1,Northgate/Maple Leaf,13302,596,9792,550,62,67,262,111,1544,286,1642,364
8.2,Olympic Hills/Victory Heights,14597,681,11410,641,52,60,180,104,1447,289,1508,483
8.3,Cedar Park/Meadowbrook,12114,599,9796,555,14,31,138,97,891,223,1275,363
9.1,Broadview/Bitter Lake,13626,739,11240,706,0,27,178,82,1256,294,952,336
9.2,Licton Springs,9005,503,7112,496,60,49,271,120,822,204,740,289
9.3,Greenwood/Phinney Ridge,23716,812,20854,785,22,36,454,140,1330,234,1056,294
9.4,Green Lake,13820,615,12048,602,55,74,213,132,746,203,758,202
9.5,Haller Lake,9796,514,7548,435,0,21,75,55,1250,284,923,338
10.1,North Beach/Blue Ridge,11519,481,10023,387,17,32,217,97,711,186,551,270
10.2,Whittier Heights,11802,443,10842,446,22,27,159,79,375,130,404,146
10.3,Sunset Hill/Loyal Heights,13976,595,12617,603,49,59,83,54,784,211,443,176
10.4,Ballard,7173,508,6056,461,21,33,152,99,355,177,589,353
11.1,Fremont,15498,538,13552,539,59,72,398,144,633,192,856,214
11.2,Wallingford,16385,902,14399,860,14,41,324,172,697,178,951,241
11.3,Cascade/Eastlake,12421,809,9867,740,61,42,235,118,689,208,1569,516
12.1,Magnolia,12590,649,10782,599,0,24,295,130,872,221,641,201
12.2,Interbay,10022,523,8447,514,0,21,193,106,744,250,638,251
12.3,Queen Anne,37065,1129,32424,1163,84,88,808,207,1828,327,1921,377
13.1,Belltown,8266,580,6516,461,28,39,177,101,437,147,1108,360
13.2,Downtown Commercial Core,3887,428,2985,405,28,36,126,107,294,128,454,174
13.3,Pioneer Square/International District,5258,566,2729,382,1,13,58,48,1467,340,1003,231
