area_id,area_name,b05003b001,b05003b001_moe,b05003b002,b05003b002_moe,b05003b003,b05003b003_moe,b05003b004,b05003b004_moe,b05003b005,b05003b005_moe,b05003b006,b05003b006_moe,b05003b007,b05003b007_moe,b05003b008,b05003b008_moe,b05003b009,b05003b009_moe,b05003b010,b05003b010_moe,b05003b011,b05003b011_moe,b05003b012,b05003b012_moe,b05003b013,b05003b013_moe,b05003b014,b05003b014_moe,b05003b015,b05003b015_moe,b05003b016,b05003b016_moe,b05003b017,b05003b017_moe,b05003b018,b05003b018_moe,b05003b019,b05003b019_moe,b05003b020,b05003b020_moe,b05003b021,b05003b021_moe,b05003b022,b05003b022_moe,b05003b023,b05003b023_moe
1.1,Arbor Heights,69,59,69,59,0,17,0,17,0,17,0,17,0,17,69,59,41,38,28,47,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,217,116,119,71,13,26,13,26,0,24,0,24,0,24,106,68,65,52,41,51,41,51,0,24,98,79,34,39,34,39,0,24,0,24,0,24,64,75,64,75,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,328,172,188,124,0,29,0,29,0,29,0,29,0,29,188,124,173,120,15,27,5,26,10,30,140,106,0,29,0,29,0,29,0,29,0,29,140,106,135,107,5,26,0,29,5,26
1.4,Alki/Admiral,304,173,184,126,38,43,38,43,0,24,0,24,0,24,146,102,82,83,64,57,64,57,0,24,120,92,0,24,0,24,0,24,0,24,0,24,120,92,80,84,40,44,40,44,0,24
2.1,North Delridge,434,329,166,151,52,76,52,76,0,12,0,12,0,12,114,83,62,51,52,77,52,77,0,12,268,201,56,81,56,81,0,12,0,12,0,12,212,147,157,126,55,80,55,80,0,12
2.2,High Point,2132,408,1072,261,644,214,626,224,18,35,0,17,18,35,428,153,233,123,195,98,137,66,58,77,1060,211,309,98,286,104,23,35,0,17,23,35,751,196,442,182,309,143,162,80,147,124
2.3,Riverview,532,243,287,135,161,84,133,71,28,45,0,12,28,45,126,82,126,82,0,12,0,12,0,12,245,133,73,80,44,64,29,48,0,12,29,48,172,84,135,73,37,46,10,16,27,43
2.4,Roxhill/Westwood,1087,345,467,188,113,93,113,93,0,21,0,21,0,21,354,139,223,111,131,90,90,81,41,43,620,245,148,108,79,79,69,77,0,21,69,77,472,173,235,116,237,138,139,105,98,88
2.5,Highland Park,509,128,271,76,26,30,0,21,26,30,0,21,26,30,245,63,90,64,155,74,148,74,7,20,238,74,0,21,0,21,0,21,0,21,0,21,238,74,95,66,143,90,116,112,27,48
3.1,South Park,209,127,72,61,22,29,22,29,0,17,0,17,0,17,50,45,38,39,12,23,12,23,0,17,137,85,47,52,47,52,0,17,0,17,0,17,90,54,90,54,0,17,0,17,0,17
3.2,Georgetown,27,36,11,19,0,12,0,12,0,12,0,12,0,12,11,19,11,19,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,16,21,16,21,0,12,0,12,0,12
3.3,Duwamish/SODO,394,273,241,160,0,12,0,12,0,12,0,12,0,12,241,160,159,129,82,83,11,18,71,78,153,158,70,79,70,79,0,12,0,12,0,12,83,81,16,21,67,77,67,77,0,12
3.4,South Beacon Hill/NewHolly,4895,1096,2193,508,871,351,727,309,144,88,69,39,75,79,1322,278,568,187,754,235,538,188,216,127,2702,714,1199,597,869,358,330,354,25,49,305,351,1503,293,616,226,887,244,600,226,287,139
3.5,Beacon Hill,901,352,417,211,177,116,158,115,19,30,0,17,19,30,240,128,149,112,91,59,70,62,21,32,484,213,60,56,60,56,0,17,0,17,0,17,424,197,247,156,177,141,0,17,177,141
3.6,North Beacon Hill/Jefferson Park,2135,436,1102,280,462,213,434,198,28,35,0,24,28,35,640,198,504,179,136,115,77,83,59,84,1033,275,329,135,313,133,16,32,0,24,16,32,704,179,420,146,284,130,267,127,17,33
4.1,Rainier Beach,5061,778,2544,444,861,278,861,278,0,27,0,27,0,27,1683,338,1141,320,542,251,183,129,359,194,2517,557,758,315,717,313,41,65,0,27,41,65,1759,377,1380,307,379,246,189,139,190,143
4.2,Columbia City,4541,815,2303,524,526,231,445,190,81,96,6,26,75,96,1777,382,1002,237,775,302,390,201,385,248,2238,409,410,197,395,197,15,30,8,28,7,29,1828,337,1303,279,525,223,371,197,154,130
4.3,Seward Park,1340,287,616,161,97,73,57,61,40,37,33,37,7,16,519,133,375,115,144,79,51,39,93,71,724,185,145,105,132,104,13,22,13,22,0,17,579,145,493,138,86,56,17,19,69,52
4.4,Mt. Baker/North Rainier,736,316,322,160,65,58,28,33,37,52,36,51,1,3,257,131,190,98,67,85,67,85,0,17,414,198,82,89,62,82,20,28,20,28,0,17,332,165,244,136,88,107,70,83,18,25
5.1,Madrona/Leschi,2264,570,1139,361,263,158,263,158,0,21,0,21,0,21,876,299,844,281,32,59,16,34,16,33,1125,364,162,121,162,121,0,21,0,21,0,21,963,320,963,320,0,21,0,21,0,21
5.2,Judkins Park,691,226,385,146,17,29,17,29,0,12,0,12,0,12,368,137,308,126,60,59,16,28,44,50,306,159,66,91,66,91,0,12,0,12,0,12,240,99,211,96,29,38,0,12,29,38
5.3,Central Area/Squire Park,3561,618,1768,398,374,205,263,141,111,150,15,33,96,148,1394,314,954,230,440,214,271,163,169,112,1793,345,350,147,318,139,32,53,0,24,32,53,1443,265,1258,232,185,131,84,72,101,111
6.1,First Hill,1567,315,1112,260,80,72,71,69,9,24,3,22,6,24,1032,248,735,181,297,154,109,67,188,138,455,147,44,43,33,40,11,27,11,27,0,24,411,134,264,108,147,85,118,79,29,38
6.2,Capitol Hill,1321,437,690,238,180,103,133,97,47,62,15,37,32,58,510,187,419,161,91,100,0,29,91,100,631,287,113,117,113,117,0,29,0,29,0,29,518,214,371,178,147,132,33,67,114,117
6.3,North Capitol Hill,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29,0,12,0,12,0,12,0,12,0,12,20,29,20,29,0,12,0,12,0,12
6.4,Miller Park,854,277,469,160,154,85,154,85,0,17,0,17,0,17,315,111,308,110,7,20,7,20,0,17,385,142,148,97,148,97,0,17,0,17,0,17,237,87,237,87,0,17,0,17,0,17
6.5,Madison Park,116,105,52,53,32,41,32,41,0,17,0,17,0,17,20,23,20,23,0,17,0,17,0,17,64,57,12,21,12,21,0,17,0,17,0,17,52,45,41,40,11,19,0,17,11,19
7.1,Montlake/Portage Bay,242,132,181,123,24,42,24,42,0,21,0,21,0,21,157,102,157,102,0,21,0,21,0,21,61,78,0,21,0,21,0,21,0,21,0,21,61,78,61,78,0,21,0,21,0,21
7.2,University District,402,150,168,80,19,49,19,49,0,29,0,29,0,29,149,75,111,66,38,42,27,35,11,33,234,129,0,29,0,29,0,29,0,29,0,29,234,129,173,110,61,70,45,68,16,29
7.3,Ravenna/Bryant,531,245,250,138,19,32,3,30,16,33,0,32,16,33,231,135,155,90,76,68,53,65,23,37,281,157,91,76,65,74,26,35,0,32,26,35,190,103,121,79,69,71,51,65,18,42
7.4,Wedgwood/View Ridge,320,185,209,150,7,27,7,27,0,27,0,27,0,27,202,149,193,149,9,28,0,27,9,28,111,92,14,32,14,32,0,27,0,27,0,27,97,85,54,54,43,58,21,33,22,41
