area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
1.1,Arbor Heights,424,142,131,70,29,32,14,24,15,25,15,25,0,17,102,57,38,42,64,42,38,32,26,30,293,108,48,38,13,23,35,33,35,33,0,17,245,101,103,67,142,81,49,36,93,76
1.2,Fauntleroy/Seaview,558,167,159,89,31,43,31,43,0,24,0,24,0,24,128,62,82,51,46,41,20,26,26,45,399,115,29,36,6,23,23,32,23,32,0,24,370,108,122,71,248,95,203,94,45,39
1.3,West Seattle Junction/Genesee Hill,846,237,293,121,74,54,51,43,23,43,0,29,23,43,219,95,150,85,69,48,17,24,52,47,553,170,147,94,102,85,45,46,11,29,34,43,406,134,109,62,297,120,163,91,134,76
1.4,Alki/Admiral,486,170,157,106,9,27,9,27,0,24,0,24,0,24,148,99,0,24,148,99,122,95,26,31,329,113,15,29,15,29,0,24,0,24,0,24,314,105,115,62,199,83,141,77,58,43
2.1,North Delridge,524,281,244,162,82,90,82,90,0,12,0,12,0,12,162,98,102,70,60,62,60,62,0,12,280,144,14,23,14,23,0,12,0,12,0,12,266,138,84,68,182,118,101,81,81,58
2.2,High Point,1332,293,546,159,111,65,111,65,0,17,0,17,0,17,435,137,108,79,327,131,249,121,78,73,786,220,121,86,73,52,48,71,48,71,0,17,665,198,106,76,559,161,483,164,76,47
2.3,Riverview,997,224,506,132,121,61,121,61,0,12,0,12,0,12,385,92,102,54,283,73,242,63,41,32,491,120,94,53,77,52,17,18,17,18,0,12,397,89,41,40,356,89,293,67,63,50
2.4,Roxhill/Westwood,1455,347,588,169,85,44,64,37,21,27,8,21,13,26,503,153,90,69,413,141,285,111,128,81,867,208,172,97,138,87,34,46,8,21,26,45,695,155,101,54,594,153,446,138,148,86
2.5,Highland Park,1246,370,681,224,250,123,187,118,63,57,0,21,63,57,431,131,78,50,353,141,247,149,106,65,565,182,164,111,110,96,54,79,0,21,54,79,401,130,50,42,351,118,259,116,92,95
3.1,South Park,757,225,331,144,82,43,57,46,25,27,17,23,8,18,249,120,0,17,249,120,180,73,69,60,426,120,101,66,71,51,30,28,16,22,14,21,325,98,43,39,282,78,210,74,72,42
3.2,Georgetown,156,100,51,32,12,9,0,12,12,9,0,12,12,9,39,26,0,12,39,26,25,20,14,10,105,69,51,31,15,19,36,24,12,8,24,16,54,39,13,16,41,26,27,18,14,17
3.3,Duwamish/SODO,522,140,226,75,47,50,47,50,0,12,0,12,0,12,179,55,60,39,119,56,104,55,15,21,296,90,27,34,27,34,0,12,0,12,0,12,269,83,81,73,188,87,153,87,35,38
3.4,South Beacon Hill/NewHolly,7652,972,3752,563,937,275,531,181,406,244,333,181,73,113,2815,388,426,117,2389,390,1718,355,671,241,3900,514,937,227,751,215,186,90,102,63,84,72,2963,401,379,120,2584,381,2013,324,571,165
3.5,Beacon Hill,5919,780,2924,460,474,173,421,162,53,61,53,61,0,17,2450,410,521,205,1929,400,1576,339,353,207,2995,466,502,195,493,192,9,19,0,17,9,19,2493,345,426,159,2067,288,1601,243,466,180
3.6,North Beacon Hill/Jefferson Park,5733,592,2802,394,402,178,310,150,92,89,70,86,22,34,2400,321,553,156,1847,281,1244,227,603,254,2931,315,496,142,435,143,61,81,13,30,48,79,2435,238,550,164,1885,234,1396,196,489,183
4.1,Rainier Beach,4300,733,2094,424,520,236,424,208,96,81,34,44,62,72,1574,268,404,163,1170,236,960,267,210,133,2206,381,343,134,270,138,73,69,29,53,44,52,1863,321,554,173,1309,252,851,184,458,154
