area_id,area_name,b05008001,b05008001_moe,b05008002,b05008002_moe,b05008003,b05008003_moe,b05008004,b05008004_moe,b05008005,b05008005_moe,b05008006,b05008006_moe,b05008007,b05008007_moe,b05008008,b05008008_moe,b05008009,b05008009_moe,b05008010,b05008010_moe,b05008011,b05008011_moe,b05008012,b05008012_moe,b05008013,b05008013_moe,b05008014,b05008014_moe,b05008015,b05008015_moe,b05008016,b05008016_moe,b05008017,b05008017_moe,b05008018,b05008018_moe,b05008019,b05008019_moe,b05008020,b05008020_moe,b05008021,b05008021_moe,b05008022,b05008022_moe,b05008023,b05008023_moe,b05008024,b05008024_moe,b05008025,b05008025_moe,b05008026,b05008026_moe,b05008027,b05008027_moe,b05008028,b05008028_moe,b05008029,b05008029_moe,b05008030,b05008030_moe,b05008031,b05008031_moe,b05008032,b05008032_moe,b05008033,b05008033_moe,b05008034,b05008034_moe,b05008035,b05008035_moe,b05008036,b05008036_moe,b05008037,b05008037_moe,b05008038,b05008038_moe,b05008039,b05008039_moe,b05008040,b05008040_moe,b05008041,b05008041_moe,b05008042,b05008042_moe,b05008043,b05008043_moe,b05008044,b05008044_moe,b05008045,b05008045_moe,b05008046,b05008046_moe,b05008047,b05008047_moe,b05008048,b05008048_moe,b05008049,b05008049_moe,b05008050,b05008050_moe,b05008051,b05008051_moe,b05008052,b05008052_moe,b05008053,b05008053_moe,b05008054,b05008054_moe,b05008055,b05008055_moe,b05008056,b05008056_moe,b05008057,b05008057_moe,b05008058,b05008058_moe,b05008059,b05008059_moe,b05008060,b05008060_moe,b05008061,b05008061_moe,b05008062,b05008062_moe,b05008063,b05008063_moe,b05008064,b05008064_moe,b05008065,b05008065_moe,b05008066,b05008066_moe,b05008067,b05008067_moe,b05008068,b05008068_moe,b05008069,b05008069_moe
1.1,Arbor Heights,514,123,223,82,58,38,0,17,0,17,58,38,69,45,0,17,26,30,43,36,56,54,0,17,0,17,56,54,28,47,0,17,0,17,28,47,13,23,13,23,0,17,0,17,13,23,0,17,0,17,0,17,0,17,15,24,0,17,0,17,15,24,40,33,0,17,0,17,40,33,291,91,44,30,0,17,16,22,28,24,197,80,27,40,21,26,149,68,6,16,0,17,0,17,6,16,0,17,0,17,0,17,0,17,6,16,6,16,0,17,0,17,6,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,44,33,0,17,0,17,44,33
1.2,Fauntleroy/Seaview,923,218,330,122,132,77,0,24,0,24,132,77,60,48,0,24,0,24,60,48,32,36,0,24,0,24,32,36,0,24,0,24,0,24,0,24,32,36,15,30,0,24,0,24,15,30,17,31,0,24,0,24,17,31,0,24,0,24,0,24,0,24,106,73,0,24,36,46,70,59,593,154,182,95,0,24,63,78,119,61,255,97,0,24,31,36,224,91,68,68,0,24,0,24,68,68,0,24,0,24,0,24,0,24,68,68,68,68,0,24,0,24,68,68,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,88,65,0,24,19,34,69,58
1.3,West Seattle Junction/Genesee Hill,1557,300,623,189,306,147,0,29,108,78,198,122,109,59,33,40,29,33,47,46,68,52,0,29,24,41,44,39,16,28,0,29,0,29,16,28,52,47,28,34,0,29,0,29,28,34,24,41,0,29,24,41,0,29,0,29,0,29,0,29,0,29,140,78,14,33,27,37,99,65,934,208,381,158,0,29,121,84,260,132,361,124,0,29,221,108,140,75,26,32,0,29,0,29,26,32,0,29,0,29,0,29,0,29,26,32,26,32,0,29,0,29,26,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,166,83,0,29,47,44,119,70
1.4,Alki/Admiral,924,264,380,144,122,98,19,33,22,38,81,82,148,99,11,25,0,24,137,98,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,110,67,0,24,22,29,88,63,544,176,192,121,0,24,73,85,119,90,191,76,0,24,58,49,133,61,49,57,0,24,0,24,49,57,0,24,0,24,0,24,0,24,25,40,25,40,0,24,0,24,25,40,0,24,0,24,0,24,0,24,24,40,0,24,0,24,24,40,112,69,0,24,76,59,36,42
2.1,North Delridge,755,309,354,159,76,95,0,12,8,15,68,92,77,64,0,12,0,12,77,64,128,104,0,12,101,108,27,31,0,12,0,12,0,12,0,12,128,104,117,101,0,12,101,108,16,26,11,18,0,12,0,12,11,18,0,12,0,12,0,12,0,12,73,85,0,12,21,33,52,77,401,178,96,94,0,12,0,12,96,94,196,122,0,12,74,94,122,83,54,81,0,12,54,81,0,12,0,12,0,12,0,12,0,12,54,81,54,81,0,12,54,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,80,0,12,0,12,55,80
2.2,High Point,1611,297,598,160,15,22,0,17,0,17,15,22,340,130,0,17,37,48,303,122,30,33,0,17,16,30,14,18,16,30,0,17,16,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,18,0,17,0,17,14,18,213,96,0,17,85,81,128,66,1013,224,29,35,0,17,0,17,29,35,620,170,0,17,70,75,550,162,14,21,0,17,0,17,14,21,0,17,0,17,0,17,0,17,10,22,10,22,0,17,0,17,10,22,0,17,0,17,0,17,0,17,4,16,0,17,0,17,4,16,350,146,0,17,290,138,60,52
2.3,Riverview,918,204,385,87,8,13,0,12,8,13,0,12,283,73,0,12,26,22,257,73,27,22,0,12,0,12,27,22,0,12,0,12,0,12,0,12,27,22,27,22,0,12,0,12,27,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,67,53,0,12,37,47,30,28,533,137,11,19,0,12,0,12,11,19,405,105,0,12,88,48,317,86,28,32,0,12,1,2,27,32,0,12,0,12,0,12,0,12,28,32,1,2,0,12,1,2,0,12,27,32,0,12,0,12,27,32,0,12,0,12,0,12,0,12,89,97,0,12,56,91,33,33
2.4,Roxhill/Westwood,3145,529,1648,366,101,59,0,21,0,21,101,59,432,143,0,21,124,83,308,114,914,351,0,21,449,279,465,172,13,28,0,21,0,21,13,28,867,350,798,345,0,21,396,280,402,166,69,114,0,21,45,76,24,43,34,45,0,21,8,23,26,39,201,103,26,46,91,81,84,52,1497,278,58,59,0,21,9,22,49,57,683,167,0,21,202,119,481,142,388,135,0,21,143,100,245,104,16,29,0,21,0,21,16,29,321,142,321,142,0,21,141,100,180,106,0,21,0,21,0,21,0,21,51,49,0,21,2,19,49,48,368,185,30,53,210,160,128,89
2.5,Highland Park,1414,294,650,182,11,22,0,21,0,21,11,22,416,152,48,74,90,90,278,162,56,61,0,21,16,33,40,48,14,25,0,21,14,25,0,21,42,57,0,21,0,21,0,21,0,21,42,57,0,21,2,24,40,48,0,21,0,21,0,21,0,21,167,93,0,21,7,20,160,93,764,160,71,54,0,21,24,36,47,45,423,136,0,21,157,132,266,120,84,75,0,21,39,48,45,45,0,21,0,21,0,21,0,21,69,72,67,69,0,21,39,48,28,33,2,23,0,21,0,21,2,23,15,29,0,21,0,21,15,29,186,93,0,21,33,47,153,114
3.1,South Park,1671,541,978,395,7,16,0,17,0,17,7,16,274,123,0,17,67,53,207,101,661,389,0,17,442,280,219,132,0,17,0,17,0,17,0,17,661,389,631,367,0,17,412,257,219,132,30,49,0,17,30,49,0,17,0,17,0,17,0,17,0,17,36,40,0,17,6,16,30,38,693,225,7,16,0,17,0,17,7,16,312,85,0,17,101,61,211,73,355,218,0,17,214,154,141,90,0,17,0,17,0,17,0,17,338,217,323,215,0,17,206,151,117,88,15,28,0,17,0,17,15,28,17,23,0,17,8,18,9,19,19,32,0,17,19,32,0,17
