area_id,area_name,b06002001,b06002001_moe,b06002002,b06002002_moe,b06002003,b06002003_moe,b06002004,b06002004_moe,b06002005,b06002005_moe
1.1,Arbor Heights,84,4,68,5,102,6,96,51,85,22
1.2,Fauntleroy/Seaview,86,2,70,7,94,4,79,20,87,15
1.3,West Seattle Junction/Genesee Hill,122,3,92,6,140,6,126,23,123,17
1.4,Alki/Admiral,90,4,77,16,94,3,71,44,88,18
2.1,North Delridge,36,3,29,4,41,8,38,17,40,8
2.2,High Point,29,3,17,5,36,5,32,6,38,3
2.3,Riverview,37,1,25,4,49,4,33,7,47,7
2.4,Roxhill/Westwood,75,4,53,6,84,7,70,18,77,14
2.5,Highland Park,38,2,29,6,47,6,54,4,37,7
3.1,South Park,31,3,15,3,38,4,29,45,35,4
3.2,Georgetown,41,5,36,7,50,3,24,15,33,14
3.4,South Beacon Hill/NewHolly,100,6,43,7,128,28,131,18,120,10
3.5,Beacon Hill,82,4,36,8,73,19,113,69,93,8
3.6,North Beacon Hill/Jefferson Park,109,4,56,6,114,12,131,69,147,12
4.1,Rainier Beach,75,5,38,5,95,8,57,42,89,8
4.2,Columbia City,118,4,69,13,136,15,135,25,129,8
4.3,Seward Park,83,5,54,10,94,7,58,48,91,11
4.4,Mt. Baker/North Rainier,42,2,18,4,52,2,40,40,43,2
5.1,Madrona/Leschi,81,3,50,11,97,6,63,65,80,6
5.2,Judkins Park,40,2,30,8,41,7,30,23,49,16
5.3,Central Area/Squire Park,140,6,109,8,162,7,127,18,144,19
6.1,First Hill,134,8,117,19,148,9,195,62,156,27
6.2,Capitol Hill,128,4,119,10,131,8,125,34,137,14
6.3,North Capitol Hill,41,3,38,7,41,3,39,16,48,8
6.4,Miller Park,72,3,42,3,77,3,67,21,79,8
6.5,Madison Park,45,2,38,9,49,6,40,21,52,15
7.1,Montlake/Portage Bay,74,3,52,8,84,7,76,49,88,9
7.2,University District,64,1,63,1,66,2,62,11,68,4
7.3,Ravenna/Bryant,200,5,146,7,237,7,223,45,219,32
7.4,Wedgwood/View Ridge,165,4,114,12,182,9,118,61,178,17
7.5,Laurelhurst/Sand Point,75,4,47,3,94,8,93,53,85,11
8.1,Northgate/Maple Leaf,110,5,91,10,126,12,91,26,118,8
8.2,Olympic Hills/Victory Heights,113,5,94,9,124,9,157,24,126,20
8.3,Cedar Park/Meadowbrook,115,6,85,18,142,8,116,44,104,12
9.1,Broadview/Bitter Lake,137,10,116,10,162,10,123,41,143,10
9.2,Licton Springs,63,3,53,4,65,3,63,14,79,12
9.3,Greenwood/Phinney Ridge,228,7,175,9,252,8,207,50,266,21
9.4,Green Lake,107,5,85,6,119,6,90,49,132,12
9.5,Haller Lake,79,5,55,10,90,6,88,18,80,13
10.1,North Beach/Blue Ridge,128,4,108,14,137,5,110,31,154,17
10.2,Whittier Heights,73,2,56,7,79,4,74,23,77,7
10.3,Sunset Hill/Loyal Heights,79,4,61,5,86,6,86,40,88,9
10.4,Ballard,33,2,28,3,34,2,54,22,35,4
11.1,Fremont,99,3,86,5,104,5,104,15,105,7
11.2,Wallingford,127,5,109,6,138,8,134,34,143,14
11.3,Cascade/Eastlake,96,3,84,5,107,7,131,45,94,9
12.1,Magnolia,88,4,66,12,101,7,81,16,92,6
12.2,Interbay,72,4,60,7,74,5,94,52,77,6
12.3,Queen Anne,240,6,182,9,268,11,267,58,260,15
13.1,Belltown,80,3,65,15,88,8,64,24,73,14
13.2,Downtown Commercial Core,45,3,50,12,47,4,45,12,35,4
13.3,Pioneer Square/International District,94,12,64,24,85,19,79,32,107,14
