area_id,area_name,b06004h001,b06004h001_moe,b06004h002,b06004h002_moe,b06004h003,b06004h003_moe,b06004h004,b06004h004_moe,b06004h005,b06004h005_moe
1.1,Arbor Heights,4935,355,2981,332,1714,212,72,54,168,64
1.2,Fauntleroy/Seaview,11843,622,5816,592,5369,502,229,127,429,167
1.3,West Seattle Junction/Genesee Hill,15271,639,7331,581,6730,534,204,93,1006,278
1.4,Alki/Admiral,9397,513,4160,421,4686,407,122,76,429,205
2.1,North Delridge,3206,431,1456,303,1508,253,35,42,207,187
2.2,High Point,2557,364,1256,290,1200,221,13,23,88,68
2.3,Riverview,2385,258,1235,245,1073,203,22,22,55,38
2.4,Roxhill/Westwood,6556,542,2760,366,3477,388,47,38,272,119
2.5,Highland Park,2976,327,1571,277,1262,249,0,21,143,77
3.1,South Park,1119,221,529,158,542,140,28,38,20,26
3.2,Georgetown,700,147,289,111,374,125,33,39,4,8
3.3,Duwamish/SODO,1156,256,450,147,636,185,0,12,70,56
3.4,South Beacon Hill/NewHolly,1827,378,968,294,641,189,109,79,109,63
3.5,Beacon Hill,1797,357,752,225,878,273,37,35,130,116
3.6,North Beacon Hill/Jefferson Park,4272,457,1467,338,2622,350,33,41,150,95
4.1,Rainier Beach,3422,464,1625,341,1747,309,0,27,50,50
4.2,Columbia City,5337,563,2463,422,2469,379,155,88,250,118
4.3,Seward Park,4574,376,1979,244,2139,253,56,42,400,146
4.4,Mt. Baker/North Rainier,3249,334,1200,239,1809,250,103,71,137,83
5.1,Madrona/Leschi,6087,468,2224,339,3264,363,163,111,436,176
5.2,Judkins Park,661,148,235,99,364,112,0,12,62,38
5.3,Central Area/Squire Park,9984,644,3249,470,6022,460,68,49,645,167
6.1,First Hill,8928,690,2827,390,5347,481,197,92,557,164
6.2,Capitol Hill,14986,800,4151,497,9395,753,287,159,1153,356
6.3,North Capitol Hill,3226,335,873,172,2072,245,73,65,208,120
6.4,Miller Park,5457,371,1830,266,3169,272,162,82,296,107
6.5,Madison Park,4503,408,2092,296,1975,365,182,95,254,126
7.1,Montlake/Portage Bay,7971,454,3119,315,4354,440,82,54,416,156
7.2,University District,12236,1206,5892,887,5553,597,339,133,452,141
7.3,Ravenna/Bryant,19316,773,8946,653,8845,575,382,118,1143,252
7.4,Wedgwood/View Ridge,11682,499,5540,431,5189,436,232,96,721,200
7.5,Laurelhurst/Sand Point,8426,589,4303,463,3485,429,114,63,524,187
8.1,Northgate/Maple Leaf,9053,554,4293,406,3719,359,66,44,975,276
8.2,Olympic Hills/Victory Heights,9350,616,4490,464,4142,446,141,97,577,224
8.3,Cedar Park/Meadowbrook,8465,506,3912,418,4027,372,67,43,459,137
9.1,Broadview/Bitter Lake,9966,714,4959,564,4086,461,123,67,798,296
9.2,Licton Springs,5804,513,2697,389,2752,316,143,85,212,108
9.3,Greenwood/Phinney Ridge,18599,664,7828,556,9586,600,294,101,891,212
9.4,Green Lake,11403,632,4873,464,5700,560,153,101,677,191
9.5,Haller Lake,6253,462,2883,398,2762,315,38,35,570,240
10.1,North Beach/Blue Ridge,9637,405,4823,397,4088,378,166,78,560,146
10.2,Whittier Heights,10286,450,4528,451,5228,414,84,50,446,135
10.3,Sunset Hill/Loyal Heights,12116,606,5814,563,5497,481,54,45,751,209
10.4,Ballard,5682,458,2058,417,3014,354,110,83,500,316
11.1,Fremont,12806,515,4653,466,7083,519,397,154,673,197
11.2,Wallingford,12766,854,5034,544,6901,550,267,164,564,154
11.3,Cascade/Eastlake,8228,688,2291,416,5210,613,88,61,639,222
12.1,Magnolia,11065,639,5062,515,4811,435,195,117,997,244
12.2,Interbay,7925,555,2684,388,4421,403,106,82,714,332
12.3,Queen Anne,29408,1088,11338,879,16005,847,494,160,1571,271
13.1,Belltown,5866,507,1442,333,3869,424,69,73,486,150
13.2,Downtown Commercial Core,2649,296,630,170,1678,247,47,60,294,134
13.3,Pioneer Square/International District,1704,221,576,157,968,199,15,25,145,92
